wave,record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
post-refactor-20c,PR137-M0026,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: bin/lib,bounded recursive surface group,evidence/accountability,context/accountability group,bin/lib/core.sh,2e70aed86b2a0d75b0cbe3748fcd02d067ed1b79f9e99f3b3a08bc16d421f030,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains script.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0027,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: bin/lib/core,bounded recursive surface group,evidence/accountability,context/accountability group,bin/lib/core/build.sh,4b4e3ec3cd40ec2ded13d3558f41f66a3cc654e11b40b6886241b17bbe824450,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains script.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0028,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: bin/plugin,bounded recursive surface group,evidence/accountability,context/accountability group,bin/plugin/naive.sh,02cd2c0ffaeb31842d2aa9844bf92890afe08d2f3cbce7232084a93e083d1d74,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains script.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0029,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: bin/plugin/naive,bounded recursive surface group,evidence/accountability,context/accountability group,bin/plugin/naive/arm64-v8a.sh,8e7ad791db2c734cfc0fd03b56b8a1f4a2bd371163a07d83cb7e86f97c928f5e,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains script.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0030,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: bin/plugin/shadowquic,bounded recursive surface group,evidence/accountability,context/accountability group,bin/plugin/shadowquic/arm64-v8a.sh,2ed5feadb54060c14b77d6839afe9d0781ec9395fdd15b347ba91d08d6eceaf2,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains script.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0031,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: bin/rust-linker,bounded recursive surface group,evidence/accountability,context/accountability group,bin/rust-linker/linker-wrapper.bat,f94f07dbd9ce4131ffc8d2d23e8ec38937aa8d6c83f0edd302c2a5b52b25b2cb,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains script.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0032,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: app/src/main,bounded recursive surface group,evidence/accountability,context/accountability group,app/src/main/java/io/nekohasekai/sagernet/bg/test/DebugInstance.kt,e8b946fcd2c82688e499a425a359bab9e784f97e8417a755d58f3ff75c23913f,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains test-or-fixture.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0033,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: app,bounded recursive surface group,evidence/accountability,context/accountability group,app/.gitignore,5c3174b74edc6f2b9e0743594b8bd3c7f31e4f4405758cc9872b3fe1de1d28b4,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains ui-or-product.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0034,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: app/schemas/io.nekohasekai.sagernet.database.SagerDatabase,bounded recursive surface group,evidence/accountability,context/accountability group,app/schemas/io.nekohasekai.sagernet.database.SagerDatabase/1.json,2a01e5630bbbdd1b6dd970b4950f9be1cc6ddd5ac44a4ce1eb634f52ace7ae9e,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains ui-or-product.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0035,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: app/schemas/io.nekohasekai.sagernet.database.preference.InMemoryDatabase,bounded recursive surface group,evidence/accountability,context/accountability group,app/schemas/io.nekohasekai.sagernet.database.preference.InMemoryDatabase/1.json,8d3a5f0c0269a0f1f99cef4b7523295621f4b5cc7f672bfd871fb4acfb223a7e,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains ui-or-product.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0036,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: app/schemas/io.nekohasekai.sagernet.database.preference.PublicDatabase,bounded recursive surface group,evidence/accountability,context/accountability group,app/schemas/io.nekohasekai.sagernet.database.preference.PublicDatabase/1.json,8d3a5f0c0269a0f1f99cef4b7523295621f4b5cc7f672bfd871fb4acfb223a7e,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains ui-or-product.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0037,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: app/src/main,bounded recursive surface group,evidence/accountability,context/accountability group,app/src/main/AndroidManifest.xml,0d90a8ff2cd8773f26458aeccb186206a720f2e1f509005a6cf45d08b45ad2f7,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains ui-or-product.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0038,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: app/src/main,bounded recursive surface group,evidence/accountability,context/accountability group,app/src/main/java/io/nekohasekai/sagernet/fmt/gson/JsonOr.java,b6b8a41a94e78622cc6a932fcbef7c6bbc543d7ffe966ca74b8978aa9a82116b,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains ui-or-product.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0039,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: app/src/main,bounded recursive surface group,evidence/accountability,context/accountability group,app/src/main/java/io/nekohasekai/sagernet/ui/TrafficFragment.kt,f0dfd316b4566c832dcde62e240d0004a717061c8b03ce240759950bd668eb46,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains ui-or-product.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0040,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: app/src/main,bounded recursive surface group,evidence/accountability,context/accountability group,app/src/main/res/drawable/ic_baseline_compare_arrows_24.xml,7235f3daed6de13bf55fb1d8d17a0669f275b8b8c91c757bbd3de38569fda1d2,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains ui-or-product.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
