target_capability,contributing_records,donors,dispositions,target_nodes,second_order_result
gateway composition planning,PR228-GW001;PR228-GW002,paas-gateway;reverse-tls,recomposed,src/apps/daemon/internal/analysis/diagnostics/gateway_composition_plan.go#BuildGatewayCompositionPlan,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
local rule-set normalization,PR228-RULE001,subconverter,adapted,src/apps/daemon/internal/analysis/diagnostics/local_ruleset_plan.go#BuildLocalRuleSetPlan,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
platform raw-packet capability,PR228-SNI002,sni-spoofing-rust,reference-only,src/apps/daemon/internal/runtime/proxy/evasion_divert_stub.go,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
policy preset provenance boundary,PR228-GROUP002,subconverter,reference-only,src/apps/daemon/internal/adapters/api/handlers_seventh_planners.go#GetConvergencePresets,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
provider corpus/clean-IP evidence,PR228-TOOLS001,tools,reference-only,src/apps/daemon/internal/analysis/scanner/cleanip_finder.go;src/packages/control-ui/src/pages/Capabilities.tsx,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
routing policy-group planning,PR228-GROUP001,subconverter,inspired-native,src/apps/daemon/internal/analysis/diagnostics/routing_policy_group_plan.go#BuildRoutingPolicyGroupPlan,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
second-order convergence evidence,PR228-R001,target-requirement,recomposed,governance/convergence/post-refactor-228-second-order-review.csv,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
subscription fetch/revalidation,PR228-CACHE001,srsc,superseded,src/apps/daemon/internal/integrations/sub/profile_service.go;src/apps/daemon/internal/integrations/sub/egress.go,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
subscription node runtime capability,PR228-SSR001,shadowsocksr,guardrail-derived,src/apps/daemon/internal/networking/proxyconfig/core_compat.go#EvaluateExternalCoreCompatibility;src/apps/daemon/internal/integrations/sub/node_catalogue.go#catalogueNodeView;src/packages/control-ui/src/pages/Profiles.tsx,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
worker affinity/recovery planning,PR228-WORK001;PR228-WORK002;PR228-WORK003,tsheadroom,inspired-native,src/apps/daemon/internal/analysis/diagnostics/worker_affinity_plan.go#BuildWorkerAffinityPlan,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
