path,change_type,accountability_class,fifth_order_record_ids,reason,verification_node,fourth_order_sha256,current_sha256
src/apps/daemon/internal/adapters/api/handlers_update_discover.go,added,update-discovery,F5-003,Promote signed update manifest URL discovery into the update-admission workflow,src/apps/daemon/internal/foundation/updateadmission/discover_test.go#TestDiscoverFetchesBoundedEnvelope,n/a,5fe70fb81f1fb80845d973acea5b5665d1aee76b27df15bd0119ed13d9e9ffeb
src/apps/daemon/internal/adapters/api/handlers_update_stage.go,added,update-staging,F5-004,Promote verified update artifact staging and receipts,src/apps/daemon/internal/foundation/updateadmission/stage_test.go#TestStageDownloadsVerifiesAndReusesArtifact,n/a,d98c84978a0fbad7a2bd70385dac7cf0eb459497602ca596a8799c428428d996
src/apps/daemon/internal/adapters/api/routes_system.go,modified,api-routing,F5-001;F5-002;F5-003;F5-004,Expose SSTP/port-preflight/update discovery+staging through the existing system API router,scripts/checks/check_fifth_order_convergence.py#main,de0c71fd6dd5bac1d11d0467831d3fd8cc7225d12f917257a8e29636580ddbc4,f74bba67dc04aac743e187af08787542e9bca4247106247e8bc7f9cdd59c343a
src/apps/daemon/internal/foundation/updateadmission/.context,modified,update-plane,F5-003;F5-004,Expand update-admission navigation/contract from plan-only to discovery plus verified staging,scripts/checks/check_fifth_order_convergence.py#main,431448e653dd7edb631d6a1ffae487af6fd95351d661700e6c5595d017ddd904,67a39c1628fd101d9a01aff35b0b93fc084ac1acecd3fcf689a39b640aee300c
src/apps/daemon/internal/foundation/updateadmission/discover.go,added,update-discovery,F5-003,Promote signed update manifest URL discovery into the update-admission workflow,src/apps/daemon/internal/foundation/updateadmission/discover_test.go#TestDiscoverFetchesBoundedEnvelope,n/a,42382f2daf56ef42acb2f184ae06e33f378249504a153c1524fcabe4ea0ca05b
src/apps/daemon/internal/foundation/updateadmission/discover_test.go,added,update-discovery,F5-003,Promote signed update manifest URL discovery into the update-admission workflow,src/apps/daemon/internal/foundation/updateadmission/discover_test.go#TestDiscoverFetchesBoundedEnvelope,n/a,b454b8184e229bcefd2b4569877761fa1870683dc5b670b21d2c540a930d5ab8
src/apps/daemon/internal/foundation/updateadmission/stage.go,added,update-staging,F5-004,Promote verified update artifact staging and receipts,src/apps/daemon/internal/foundation/updateadmission/stage_test.go#TestStageDownloadsVerifiesAndReusesArtifact,n/a,5b0446978a88d39ff2e8598b7bc96586372c4930ed3147de06e1216495c09a51
src/apps/daemon/internal/foundation/updateadmission/stage_test.go,added,update-staging,F5-004,Promote verified update artifact staging and receipts,src/apps/daemon/internal/foundation/updateadmission/stage_test.go#TestStageDownloadsVerifiesAndReusesArtifact,n/a,dbf69ff535956194f7d790cbc438f8883b46ed0ed6385ac554a7f0ed9181203f
src/apps/daemon/internal/foundation/updateadmission/updateadmission.go,modified,update-plane,F5-003;F5-004,Expand update-admission navigation/contract from plan-only to discovery plus verified staging,scripts/checks/check_fifth_order_convergence.py#main,01ab33dfd37dad1daf752577c68841abf5f695958d71d84235d335f5485058a4,00e4fb71d389cd28692c663486895ab7db95ea578b5ee220283e89eb81588d2e
src/apps/daemon/internal/platform/process/kill_unix.go,added,runtime-capability,F5-001,"Promote SSTP as a first-class runtime engine with availability probing, rich profile fields and process-tree lifecycle",src/apps/daemon/internal/runtime/runtimecore/sstp_engine_test.go#TestSSTPEngineStartsAndStopsExternalClient,n/a,d0b207a91c4481c0d8ed29fa87349ba7f73ac5f24fb774856700217fff344744
src/apps/daemon/internal/platform/process/kill_windows.go,added,runtime-capability,F5-001,"Promote SSTP as a first-class runtime engine with availability probing, rich profile fields and process-tree lifecycle",src/apps/daemon/internal/runtime/runtimecore/sstp_engine_test.go#TestSSTPEngineStartsAndStopsExternalClient,n/a,dab91eeb807f963cece149151891f68150f87f980d9da91196dd975263403345
src/apps/daemon/internal/platform/system/port_preflight.go,added,operator-preflight,F5-002,Promote local TCP port collision preflight through system owner and API,src/apps/daemon/internal/platform/system/port_preflight_test.go#TestCheckLocalTCPPortReportsOccupiedAndFree,n/a,5f2491de828eb9757f9310b3ff6b978832fcb444a3574329a679bd396b2fdb05
src/apps/daemon/internal/platform/system/port_preflight_test.go,added,operator-preflight,F5-002,Promote local TCP port collision preflight through system owner and API,src/apps/daemon/internal/platform/system/port_preflight_test.go#TestCheckLocalTCPPortReportsOccupiedAndFree,n/a,05e2a708b50dd223e678bca711318db38649bc28fbbe4a91e54dd8cd3eea2d69
src/apps/daemon/internal/runtime/runtimecore/.context,modified,runtime-capability,F5-001,"Promote SSTP as a first-class runtime engine with availability probing, rich profile fields and process-tree lifecycle",src/apps/daemon/internal/runtime/runtimecore/sstp_engine_test.go#TestSSTPEngineStartsAndStopsExternalClient,0be57212c01631a2374c07d82c8c3147396b67d6710bf2aa5a9c2236ffbaf6a0,c8175c7e381f16ae97defd56d9f21f22a48b1c1a490c3cfa99a81ebacd8578c2
src/apps/daemon/internal/runtime/runtimecore/adapters.go,modified,runtime-capability,F5-001,"Promote SSTP as a first-class runtime engine with availability probing, rich profile fields and process-tree lifecycle",src/apps/daemon/internal/runtime/runtimecore/sstp_engine_test.go#TestSSTPEngineStartsAndStopsExternalClient,09fbdbaf8da73dd690e6d4234200a7ea32d9b8ba1ebb6e2a8a9090fe6d7fffe2,1a6229d692b4d61772c4beebc395dc42fa6f71a057b96429899317d2a30eb5f4
src/apps/daemon/internal/runtime/runtimecore/capability.go,added,runtime-capability,F5-001,"Promote SSTP as a first-class runtime engine with availability probing, rich profile fields and process-tree lifecycle",src/apps/daemon/internal/runtime/runtimecore/sstp_engine_test.go#TestSSTPEngineStartsAndStopsExternalClient,n/a,7635dcd232941ae111e24723067cce1bb586e670dfd84e610aeff14c84b6aa65
src/apps/daemon/internal/runtime/runtimecore/capability_test.go,added,runtime-capability,F5-001,"Promote SSTP as a first-class runtime engine with availability probing, rich profile fields and process-tree lifecycle",src/apps/daemon/internal/runtime/runtimecore/sstp_engine_test.go#TestSSTPEngineStartsAndStopsExternalClient,n/a,51028d63f3848e8f2832c30ba5797419f8e3ba3899477324749ac0e1c8a7d9bb
src/apps/daemon/internal/runtime/runtimecore/manager.go,modified,runtime-capability,F5-001,"Promote SSTP as a first-class runtime engine with availability probing, rich profile fields and process-tree lifecycle",src/apps/daemon/internal/runtime/runtimecore/sstp_engine_test.go#TestSSTPEngineStartsAndStopsExternalClient,fa8fb82c284968c565f39e0a786490b4c58fe30a77e110fb57f7d73060f45f40,97e422ea96301cec47a2284715d63962091441b118cedfe1fea9f8ac723e8912
src/apps/daemon/internal/runtime/runtimecore/sstp_engine.go,added,runtime-capability,F5-001,"Promote SSTP as a first-class runtime engine with availability probing, rich profile fields and process-tree lifecycle",src/apps/daemon/internal/runtime/runtimecore/sstp_engine_test.go#TestSSTPEngineStartsAndStopsExternalClient,n/a,2fca63fb28974346f6c6c79a53aecbaca198b6d2e1c27f00bb02d48005fc2f0b
src/apps/daemon/internal/runtime/runtimecore/sstp_engine_test.go,added,runtime-capability,F5-001,"Promote SSTP as a first-class runtime engine with availability probing, rich profile fields and process-tree lifecycle",src/apps/daemon/internal/runtime/runtimecore/sstp_engine_test.go#TestSSTPEngineStartsAndStopsExternalClient,n/a,337cf55e89aa0231a32ffe77c84d20b9ca020273ae8d2c85d60d76dee42b7d56
src/packages/control-ui/index.html,modified,pwa-shell,F5-010,Promote installable/offline static control shell,src/packages/control-ui/scripts/test-pwa.mjs#PWA characterization,c489ca10e39dee2c944678c7cbe29c05c1464f0d3ad331829be0616dfe292ada,b21232d377b8bd60c7d9c56015acf6abd144dcef6262a7296c40d0be084ad4bc
src/packages/control-ui/package.json,modified,ui-verification-wiring,F5-005;F5-006;F5-009;F5-010;F5-011,Wire feature/PWA characterization into control UI test surface,scripts/checks/check_fifth_order_convergence.py#main,4322e990be5625d9ed70e4a0fe5aae7bbf6edb70948af04efd10c142f289e1d4,7825a02a0f3ecd5bbeca2193a9a3a60ecd65e1677029a47abdcb81678c957dd0
src/packages/control-ui/public/manifest.webmanifest,added,pwa-shell,F5-010,Promote installable/offline static control shell,src/packages/control-ui/scripts/test-pwa.mjs#PWA characterization,n/a,64a6b4889a8d9a70d35e83dc39db7abf31dd6cb59a87c12400ee3def125fa289
src/packages/control-ui/public/sw.js,added,pwa-shell,F5-010,Promote installable/offline static control shell,src/packages/control-ui/scripts/test-pwa.mjs#PWA characterization,n/a,23b79a491e6a87a9a5cf5f530e94d761bd02f31d6f3590bb68d2fe43f634fcb4
src/packages/control-ui/scripts/.context,modified,ui-verification-wiring,F5-005;F5-006;F5-009;F5-010;F5-011,Wire feature/PWA characterization into control UI test surface,scripts/checks/check_fifth_order_convergence.py#main,4829d8e641aed54b59c95d517c54b6421b51698e2b387c3582714423a2056f32,de2cae498283fcb11576aa04f0df94010ad799792950b73c7e2c873b5e8d86b2
src/packages/control-ui/scripts/test-contracts.mjs,modified,acceptance-evidence,F5-002;F5-003;F5-004;F5-006;F5-007;F5-008,"Exercise promoted API contracts, trace parsers and profile metadata",src/packages/control-ui/scripts/test-contracts.mjs#tooManyTraceEvents,cd128723ae0ec40935507f139a5c4fcf41669842b789d1d459e88f33ece6d08a,5f52a9f7d76ce80dd564d2026d4a13c5c96428a248ded4c5d94d523ecbf8eef6
src/packages/control-ui/scripts/test-feature-promotions.mjs,added,acceptance-evidence,F5-001;F5-003;F5-004;F5-005;F5-006;F5-009;F5-011,Exercise feature/widget richness and navigation surfaces,src/packages/control-ui/scripts/test-feature-promotions.mjs#checkOperationsRuntimeAndUpdates,n/a,7b836ddfbf22391c1ed4f927f1ae81b2e171fcf3bdd03f77230a2389ce42464e
src/packages/control-ui/scripts/test-pwa.mjs,added,acceptance-evidence,F5-010,Exercise PWA manifest/service-worker shell contract,src/packages/control-ui/scripts/test-pwa.mjs#PWA characterization,n/a,59c56bf596d2d858541e734edfc9849f8d3935b1f58cc307911c3d61ca2ab21b
src/packages/control-ui/src/App.tsx,modified,navigation-product,F5-005;F5-006,Expose Operations and Profiles as first-class control UI routes/navigation,src/packages/control-ui/scripts/test-feature-promotions.mjs#checkNavigation,bfc189c155cb65407c80987bfc68685468b820dd40e8216672d0f287743d49b5,fb52f09b2885e16968b63b5eb35473ed2e48bca4bd11bbdb622e13e79888bb12
src/packages/control-ui/src/AppLayout.tsx,modified,navigation-product,F5-005;F5-006,Expose Operations and Profiles as first-class control UI routes/navigation,src/packages/control-ui/scripts/test-feature-promotions.mjs#checkNavigation,8d43d814e6b12024a6db1b822a9b45eee7f905696b78b703fb5a7217dd1b5626,1f8371d105354c8ca3a11aad5fd972ed625afb0fe4aeda4028fd1c8c615cd0d4
src/packages/control-ui/src/api/contracts.ts,modified,ui-contracts,F5-002;F5-003;F5-004;F5-005;F5-006,Add typed parsers for promoted operations/update/profile capabilities,src/packages/control-ui/scripts/test-contracts.mjs#parseRuntimeEngines,3ee1c19405758a6fc8e7444d02bb90af475f6fdfd4b1156dd3d700810fef7e50,14613a2ccfd51c872f3ccb93c04d9a181f8521d7f5a3910c8c34ec94a65b5bef
src/packages/control-ui/src/api/qlog.ts,added,telemetry-product,F5-007;F5-008,Add bounded local QLOG and NetLog normalization,src/packages/control-ui/scripts/test-contracts.mjs#tooManyTraceEvents,n/a,c75cb46d50712dc259d09c7bcdf03f5a412572942a9ba6606bc9d5cd88d9ed0f
src/packages/control-ui/src/index.css,modified,ui-system,F5-005;F5-006,Add reusable field styling for richer operational/profile forms,src/packages/control-ui/scripts/test-feature-promotions.mjs#checkProfilesRichness,30b20d3b1a5e8a5caa91d5e1d857d4b0d1ab881986a4bbf36690154305977650,4185f945142d1f407d2eae5855e2698ffe08b2d950ae62ff406f5a2267584afa
src/packages/control-ui/src/main.tsx,modified,pwa-shell,F5-010,Promote installable/offline static control shell,src/packages/control-ui/scripts/test-pwa.mjs#PWA characterization,ae46da18737fa5936ccced73d31639b86a27d9a005a1b574cdbb1f7ab3fe764b,af15e8071d92c7f112feb783a4efa36717d921e9f881abae1e5dff29ac2f1efd
src/packages/control-ui/src/pages/.context,modified,navigation-product,F5-005;F5-006,Expose Operations and Profiles as first-class control UI routes/navigation,src/packages/control-ui/scripts/test-feature-promotions.mjs#checkNavigation,345427db4fd01b754cb5c8d4ac8b9cbb1005cf3a9814b9965c1d45539f0504c0,3ccd44fd2371d6cf817a233bf2e325f3a4591169788a0c2af726c57a104b73eb
src/packages/control-ui/src/pages/Operations.tsx,added,product-workspace,F5-001;F5-002;F5-003;F5-004;F5-005;F5-009,"Add feature-rich Operations workspace for engines, preflight, diagnostics, update workflow and transport traces",src/packages/control-ui/scripts/test-feature-promotions.mjs#checkOperationsRuntimeAndUpdates,n/a,38c19c0c24f42f3181041449504a33477f7591677ee1c9f2c1b173d900859ef8
src/packages/control-ui/src/pages/Profiles.tsx,added,product-workspace,F5-006;F5-011,Add rich subscription profile/source-health/quota management and confirmed provider actions,src/packages/control-ui/scripts/test-feature-promotions.mjs#checkProfilesRichness,n/a,d288add5c19540e4584f1747dc962461f0e6bd41bb5b91a606e5e6dc2776c874
