donor,classification,surfaces
Vwarp,routing-policy,1
Vwarp,runtime-core,9
Vwarp,test-evaluation,24
Vwarp,vpn-overlay-tun,1
Vwarp,warp-wireguard-masque,114
WarpScanner,build-tooling,1
WarpScanner,documentation-governance,7
WarpScanner,media-assets,1
WarpScanner,runtime-core,2
WarpScanner,warp-wireguard-masque,30
Yacd-meta,configuration,8
Yacd-meta,control-plane-admin,5
Yacd-meta,deployment-release,4
Yacd-meta,documentation-governance,3
Yacd-meta,localization,5
Yacd-meta,media-assets,5
Yacd-meta,observability-health,2
Yacd-meta,persistence-state,1
Yacd-meta,routing-policy,5
Yacd-meta,runtime-core,52
Yacd-meta,scraping-collection,1
Yacd-meta,ui-operator,135
gotk4,build-tooling,2
gotk4,configuration,7
gotk4,deployment-release,3
gotk4,documentation-governance,6
gotk4,localization,1
gotk4,media-assets,2
gotk4,network-diagnostics-scanning,2
gotk4,observability-health,3
gotk4,persistence-state,2
gotk4,routing-policy,2
gotk4,runtime-core,132
gotk4,test-evaluation,6
ipscan,build-tooling,4
ipscan,configuration,7
ipscan,deployment-release,11
ipscan,dns-name-resolution,4
ipscan,documentation-governance,6
ipscan,media-assets,36
ipscan,network-diagnostics-scanning,183
ipscan,packet-protocol-evasion,2
ipscan,persistence-state,1
ipscan,routing-policy,1
ipscan,runtime-core,25
ipscan,subscription-profile,1
ipscan,ui-operator,68
ipscan,warp-wireguard-masque,1
libcrafter,build-tooling,4
libcrafter,configuration,25
libcrafter,deployment-release,14
libcrafter,dns-name-resolution,54
libcrafter,documentation-governance,100
libcrafter,http-transport,1
libcrafter,identity-auth,4
libcrafter,media-assets,3
libcrafter,network-diagnostics-scanning,36
libcrafter,observability-health,4
libcrafter,packet-protocol-evasion,42
libcrafter,persistence-state,4
libcrafter,repository-administration,2
libcrafter,routing-policy,216
libcrafter,runtime-core,341
libcrafter,test-evaluation,433
libcrafter,warp-wireguard-masque,1
mylg,build-tooling,1
mylg,configuration,2
mylg,deployment-release,2
mylg,dns-name-resolution,1
mylg,documentation-governance,2
mylg,http-transport,2
mylg,media-assets,10
mylg,network-diagnostics-scanning,13
mylg,packet-protocol-evasion,3
mylg,routing-policy,4
mylg,runtime-core,7
mylg,test-evaluation,11
mylg,ui-operator,15
mylg,vendored,319
obfuscated-openssh,build-tooling,9
obfuscated-openssh,configuration,38
obfuscated-openssh,control-plane-admin,6
obfuscated-openssh,dns-name-resolution,2
obfuscated-openssh,documentation-governance,14
obfuscated-openssh,http-transport,5
obfuscated-openssh,identity-auth,8
obfuscated-openssh,network-diagnostics-scanning,6
obfuscated-openssh,observability-health,11
obfuscated-openssh,packet-protocol-evasion,4
obfuscated-openssh,routing-policy,6
obfuscated-openssh,runtime-core,330
obfuscated-openssh,test-evaluation,5
obfuscated-openssh,vpn-overlay-tun,6
okhttp,build-tooling,31
okhttp,configuration,5
okhttp,control-plane-admin,9
okhttp,deployment-release,3
okhttp,dns-name-resolution,10
okhttp,documentation-governance,52
okhttp,http-transport,377
okhttp,identity-auth,9
okhttp,media-assets,11
okhttp,network-diagnostics-scanning,1
okhttp,persistence-state,26
okhttp,routing-policy,9
okhttp,runtime-core,16
okhttp,scraping-collection,4
okhttp,test-evaluation,53
subconverter,build-tooling,1
subconverter,configuration,14
subconverter,control-plane-admin,10
subconverter,deployment-release,9
subconverter,dns-name-resolution,2
subconverter,documentation-governance,8
subconverter,http-transport,3
subconverter,media-assets,41
subconverter,network-diagnostics-scanning,2
subconverter,observability-health,2
subconverter,routing-policy,331
subconverter,runtime-core,75
subconverter,scraping-collection,5
subconverter,subscription-profile,1
subconverter,test-evaluation,1
subconverter,warp-wireguard-masque,3
tailscale-rs,build-tooling,45
tailscale-rs,configuration,10
tailscale-rs,control-plane-admin,4
tailscale-rs,deployment-release,9
tailscale-rs,documentation-governance,58
tailscale-rs,http-transport,11
tailscale-rs,identity-auth,2
tailscale-rs,media-assets,4
tailscale-rs,network-diagnostics-scanning,12
tailscale-rs,observability-health,5
tailscale-rs,packet-protocol-evasion,30
tailscale-rs,persistence-state,3
tailscale-rs,routing-policy,9
tailscale-rs,runtime-core,180
tailscale-rs,scraping-collection,1
tailscale-rs,test-evaluation,23
tailscale-rs,vpn-overlay-tun,61
tailscale-rs,warp-wireguard-masque,18
tsidp,build-tooling,7
tsidp,configuration,3
tsidp,control-plane-admin,17
tsidp,deployment-release,6
tsidp,documentation-governance,6
tsidp,http-transport,5
tsidp,identity-auth,10
tsidp,media-assets,9
tsidp,packet-protocol-evasion,1
tsidp,persistence-state,1
tsidp,routing-policy,1
tsidp,runtime-core,10
tsidp,test-evaluation,10
