role,project,archive_sha256,surface_count,exact_historical_matches,reopened_surfaces,root_record_ids,resolution,boundary
donor,goida-vpn-configs-main.zip,e3f4d0fc05d6adc0121decfa73af6605d1567a355683a5fabeef22e97d88902d,74,74,0,PR222-S007,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,HackingDetectingSystemOfUnauthorizedLoginDevices-master.zip,a1675b6d1536b604851916a850e2a09128deac2ecbb4bf3f3615e8b0806de16d,212,0,212,PR222-S038;PR222-S035;PR222-S036;PR222-S037;PR222-S034,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,Kloak_platform-master(1).zip,5b71d70201a5b467eb63ade6645d23c6f54569105a529cb43fb029191b69075a,317,2,315,PR222-S010;PR222-S043;PR222-S044;PR222-S039;PR222-S040;PR222-S041;PR222-S042,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,Marz-main.zip,5f9da88968b1167e4a696e3364d6cda765a527d68e96b036b62e26aa1d530e4a,5,0,5,PR222-S045,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,Marzban-node-master.zip,d038b404e4e55bb59916b132c5d793d7ef99a9e01a877b0afce29133d8e69065,17,0,17,PR222-S046;PR222-S047;PR222-S048;PR222-S049;PR222-S050,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,mission-improbable-master.zip,5b46ca1f1473c6b47994c87a6e833db71c50af16e9282ecf3bd513029919d63d,40,0,40,PR222-S051;PR222-S054;PR222-S052;PR222-S053;PR222-S055;PR222-S080,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,Nabzram-master.zip,a4f84f73f6a5cb70cb67635d5b0f7e2c8be6872638bd99632c1f5a37655ff258,79,1,78,PR222-S011;PR222-S058;PR222-S060;PR222-S059;PR222-S056;PR222-S057,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,stealthspanner-master(1).zip,23d03626b554c256a5de6ceafa9b7d189df01509d7977db3999eec310c8efcc9,10,0,10,PR222-S063;PR222-S061;PR222-S064;PR222-S062,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,TaoConnect-main.zip,bdbab777c2e1a8298873d7df5b597f726e14542693bf8d8a29afc03aed9f2983,29,2,27,PR222-S012;PR222-S068;PR222-S065;PR222-S066;PR222-S067,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,torrent-live-master(1).zip,7061135e69d856c27f5244328426cc648874376fb8117441744cd599bf791f4e,96,20,76,PR222-S013;PR222-S020;PR222-S018;PR222-S019;PR222-S017;PR222-S016,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,VpnDad-main.zip,4fbcbca4b76f041e0ed8b81559f14d82aedb7a4eceac9c7d9a9266990981337e,38,3,35,PR222-S014;PR222-S072;PR222-S071;PR222-S069;PR222-S070;PR222-S073,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,ZedPass-main(1).zip,e1218a1d83d582221c82cbe55e4a6df662a867f7592d845e1eb9c72d8dc8d39c,136,136,0,PR222-S008,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
