path,change_type,accountability_class,sixth_order_record_ids,reason,verification_node,fifth_order_sha256,current_sha256
scripts/checks/check_sixth_order_convergence.py,added,evidence-gate,S6-001;S6-002;S6-003;S6-004;S6-005;S6-006;S6-007;S6-008;S6-009;S6-010;S6-011;S6-012;S6-013;S6-014;S6-015;S6-016;S6-017;S6-018;S6-019;S6-020;S6-021;S6-022;S6-023;S6-024;S6-025;S6-026;S6-027;S6-028,"Mechanically enforce donor, target, corpus, supersession, delta and operator invariants",scripts/checks/check_sixth_order_convergence.py#main,n/a,05b7b8e692ada12e7b4e707022e62bd8155208e37f90ec6c388f7810ef45f6d8
scripts/generate/generate_source_context.py,modified,target-local-repair,n/a,Make source-context exclusions repository-relative so checkouts under a directory named target remain discoverable,scripts/checks/check_source_context.py#main,c29fa7909fa394a2ac652c23fa32550a0dcbbe71753e73a3b4a87c91d67b40db,6a5f56799d437f4bb3e702b7d181c519db9e2ac574a91b65f044dec4b96910ea
src/apps/daemon/internal/adapters/api/.context,modified,navigation-context,S6-001;S6-002;S6-003;S6-004;S6-005;S6-006;S6-009;S6-012,Refresh API navigation for sixth-order routes and handlers,scripts/checks/check_source_context.py#main,4a9d2f2a86d91201b38ac7f47eb90b21a52a6668aad8c351101888319d1eba59,ff77b4a3ba75f5c0bbe35103ee3ad8406ae52b9c0567e6aaecbbe7f7370c4cff
src/apps/daemon/internal/adapters/api/handlers_circumvention_catalog.go,added,semantic-owner,S6-012;S6-013;S6-014;S6-015,Expose target-native circumvention capability catalog,src/apps/daemon/internal/analysis/provider/circumvention_catalog_test.go#TestCircumventionCatalogHasUniqueIDsAndDefensiveTags,n/a,c0b5b4b5b7a0b83f29337d6644793ee9f07e2aa71d3b344b7f1793ff5b5f1ef2
src/apps/daemon/internal/adapters/api/handlers_provision.go,modified,transitive-api,S6-009,Expose read-only VLESS/XHTTP devcontainer generation,src/apps/daemon/internal/integrations/provision/devcontainer_vless_test.go#TestGenerateVLESSDevcontainerUsesXHTTPAndPinnedVersion,1aca4c43708cca97dc26291603a6e2da34c4f62dabde428bc6389c710df2e757,95ff6fab36fe857f486538137441ef474a91c45513690089617983c515ac4ab5
src/apps/daemon/internal/adapters/api/handlers_sni_spoof.go,modified,transitive-api,S6-004;S6-005,Expose stability runs and curated SNI corpus through existing diagnostics owner,src/apps/daemon/internal/analysis/diagnostics/sni_spoof_scan_test.go#TestRunSniSpoofStabilityScanRanksStableLowLatencyCandidates,ceaff2db74272f6cb39b9cf23b103c53a867bd1e3f8ea64aa88285dbc62892f1,d68b3a20b9a22f982c209840cbcab0063fa85f329bde1a486fc7e948934316b9
src/apps/daemon/internal/adapters/api/handlers_system_engines.go,modified,transitive-api,S6-001,Expose Tor identity rotation through runtime engine API,src/apps/daemon/internal/platform/system/tor_controller_newnym_test.go#TestSignalNewNymSendsBoundedControlCommand,bf28fd4193cde709b6b8e2ce0a1138e76c7cfce9f6fa120e7e6e80f2e69f1131,f7eefaa5e5acf46fa1e7bbeb865a52b1a7ec0b42a0ebfdb7520c0cd027ba3074
src/apps/daemon/internal/adapters/api/handlers_tor_ops.go,added,transitive-api,S6-002;S6-003,Expose bounded onion probe and metadata analysis,src/apps/daemon/internal/analysis/diagnostics/onion_probe_test.go#TestValidOnionV3HostAndStableAffinity,n/a,d48aa32d9293a21ef07720772c7b47d9af5dd979b23aedce44ea0dd3c4c77692
src/apps/daemon/internal/adapters/api/handlers_vpngate.go,added,transitive-api,S6-006,Expose read-only ranked VPNGate provider catalog,src/apps/daemon/internal/integrations/vpngate/client_test.go#TestParseFiltersAndRanksServers,n/a,22c96292b3e6dd85a707a3b948bb0910d92ddd9f75ecc0e87399a41e0bf7bb4e
src/apps/daemon/internal/adapters/api/route_catalog.go,modified,route-wiring,S6-006;S6-012;S6-013;S6-014;S6-015,Register VPNGate and circumvention catalog routes,scripts/checks/check_sixth_order_convergence.py#main,382c166b0ea3629e0ba421ae1ceceed645df1ce56bad03a83b1d38d79eded0fd,aa6a627be49785cfff0f9f0f85d88823c11903d1e67ed6f8b0bc93404927ad9a
src/apps/daemon/internal/adapters/api/routes_system.go,modified,route-wiring,S6-001;S6-002;S6-003;S6-009,Register Tor identity/probe and provisioning template routes,scripts/checks/check_sixth_order_convergence.py#main,f74bba67dc04aac743e187af08787542e9bca4247106247e8bc7f9cdd59c343a,524446a6361d8e0d36abb612f4b33dfbb8f6bc503229d560cee2c51307cd27d8
src/apps/daemon/internal/analysis/diagnostics/.context,modified,navigation-context,S6-002;S6-003;S6-004;S6-005,Refresh diagnostics navigation for onion and SNI capabilities,scripts/checks/check_source_context.py#main,da6af8008acf8c45232ab5f6c18ea155392528810b520cdfaea5c514b1e4cbc2,f5cea092db7f20167f1d369daab60afa51e97245d241b50b87006e344e51aa25
src/apps/daemon/internal/analysis/diagnostics/onion_probe.go,added,semantic-owner,S6-002;S6-003;S6-020;S6-022;S6-024,"Bounded v3-onion validation, stable proxy affinity, reachability and metadata extraction",src/apps/daemon/internal/analysis/diagnostics/onion_probe_test.go#TestExtractOnionHTMLMetadataCountsOnlyV3OnionLinks,n/a,5e4bc9d630e66d08237b3afef077eebc874f973a2899a496568a82ce37439334
src/apps/daemon/internal/analysis/diagnostics/onion_probe_test.go,added,acceptance-evidence,S6-002;S6-003;S6-020;S6-022,"Exercise onion validation, affinity and metadata/link analysis",src/apps/daemon/internal/analysis/diagnostics/onion_probe_test.go#TestExtractOnionHTMLMetadataCountsOnlyV3OnionLinks,n/a,d713cd83b71c8915305a42a30f9afa146300cd2bfff4a62e63066aec1aac3faa
src/apps/daemon/internal/analysis/diagnostics/sni_candidates.go,added,semantic-owner,S6-005,Embed validated unique RKh SNI candidate corpus in existing diagnostics owner,src/apps/daemon/internal/analysis/diagnostics/sni_candidates_test.go#TestCuratedSniCandidatesAreValidUniqueAndDefensiveCopy,n/a,23fa90f3b72d0e9f35b4219818ae609f45bfb60e0599e27ecb80c72d6cd67fdb
src/apps/daemon/internal/analysis/diagnostics/sni_candidates_test.go,added,acceptance-evidence,S6-005,"Verify curated SNI corpus count, validity, uniqueness and defensive copy",src/apps/daemon/internal/analysis/diagnostics/sni_candidates_test.go#TestCuratedSniCandidatesAreValidUniqueAndDefensiveCopy,n/a,948744585027c4aa9cea208502c02f494d0e07f9b3e6cd62d76008fedce58985
src/apps/daemon/internal/analysis/diagnostics/sni_spoof_scan.go,modified,semantic-owner,S6-004;S6-025,Add bounded multi-run SNI stability ranking without replacing existing scanner authority,src/apps/daemon/internal/analysis/diagnostics/sni_spoof_scan_test.go#TestRunSniSpoofStabilityScanRanksStableLowLatencyCandidates,4a9d47823a7d73b2bf010060f81548b3ee20fedf6497d5775a45212a5f02c38e,b89d2fe3a03f0e1c85663240ecc66a14256f8b5c08408fb689d1e31c428a4cfd
src/apps/daemon/internal/analysis/diagnostics/sni_spoof_scan_test.go,modified,acceptance-evidence,S6-004,Prove stable low-latency candidates rank ahead under bounded repeated probes,src/apps/daemon/internal/analysis/diagnostics/sni_spoof_scan_test.go#TestRunSniSpoofStabilityScanRanksStableLowLatencyCandidates,2bbf829fb1253d013eb12d3c3fb3e10c385b32eaceff4f46877185b6bfcad485,06c4aab582f540abea7d2f4963af22f88a3aef585433741c694fe662c3a7a3ac
src/apps/daemon/internal/analysis/provider/.context,modified,navigation-context,S6-012;S6-013;S6-014;S6-015,Refresh provider-analysis navigation for circumvention catalog,scripts/checks/check_source_context.py#main,2b3115f3fbdef4f035b91e5ee0144bf4b18a29971be2ba4d4acd5f95300fc299,378a8f2fcf89422c9e57570b69d769bdf45e89074277b35ab2f3c4077b1b548e
src/apps/daemon/internal/analysis/provider/circumvention_catalog.go,added,semantic-owner,S6-012;S6-013;S6-014;S6-015,Normalize donor taxonomies into target capability discovery,src/apps/daemon/internal/analysis/provider/circumvention_catalog_test.go#TestCircumventionCatalogHasUniqueIDsAndDefensiveTags,n/a,c31e7ea1abdf3744ef7c6b398df7808c8d429769d32acaa4d4821dfb5c2ac980
src/apps/daemon/internal/analysis/provider/circumvention_catalog_test.go,added,acceptance-evidence,S6-012;S6-013;S6-014;S6-015,Verify capability IDs and tags are unique/defensively copied,src/apps/daemon/internal/analysis/provider/circumvention_catalog_test.go#TestCircumventionCatalogHasUniqueIDsAndDefensiveTags,n/a,1ff8e8cb07b6c77fd4c0a6d8de0fd2da48e9796d513f684c7f1d77c018fad15a
src/apps/daemon/internal/integrations/.context,modified,navigation-context,S6-006;S6-009,Refresh integration navigation for VPNGate and provision template capabilities,scripts/checks/check_source_context.py#main,8f891d239e1db3db6e1b9ea41bd69829fbf0137ca7549641ea6ad23436199811,33bd87a9485d0b0629100833dfaf24a8e16382561e3a4271ca967a2409c6401b
src/apps/daemon/internal/integrations/provision/.context,modified,navigation-context,S6-009,Refresh provisioning navigation for VLESS/XHTTP devcontainer generator,scripts/checks/check_source_context.py#main,9104a4dd2ff22f29bcf6e140b513a5be952e9a5eb37f467afaf3733865682991,7001520f9d3afe9f39bc817bff853c46fd003ad2f8857a9f89b5bd8db7d0fc44
src/apps/daemon/internal/integrations/provision/devcontainer_vless.go,added,semantic-owner,S6-009,Generate bounded reviewable VLESS/XHTTP devcontainer bundle with pinned Xray version,src/apps/daemon/internal/integrations/provision/devcontainer_vless_test.go#TestGenerateVLESSDevcontainerUsesXHTTPAndPinnedVersion,n/a,662f74645150cebf4ea5fd7910d258de218c6365d3ce2ae725bf627340e2d9d1
src/apps/daemon/internal/integrations/provision/devcontainer_vless_test.go,added,acceptance-evidence,S6-009,"Verify XHTTP settings, pinned version and invalid-input rejection",src/apps/daemon/internal/integrations/provision/devcontainer_vless_test.go#TestGenerateVLESSDevcontainerUsesXHTTPAndPinnedVersion,n/a,232ea0410b346de19c283261dc92455a86f3d21ac9a785564c89a490b563d280
src/apps/daemon/internal/integrations/vpngate/.context,added,navigation-context,S6-006,Document new VPNGate integration owner,scripts/checks/check_source_context.py#main,n/a,bd092e0b1543507287b9cf2ec0cef2a6f6eae88a2c9f3ebacdfc247097df2d24
src/apps/daemon/internal/integrations/vpngate/client.go,added,semantic-owner,S6-006;S6-024,"Bound, parse, filter and rank VPNGate catalog for SSTP handoff",src/apps/daemon/internal/integrations/vpngate/client_test.go#TestParseFiltersAndRanksServers,n/a,a776ec5b39f98578977bcba2fde2d283644da42192fe57f0f8bb48caa7caa4b5
src/apps/daemon/internal/integrations/vpngate/client_test.go,added,acceptance-evidence,S6-006,Verify VPNGate filtering/ranking and SSTP metadata mapping,src/apps/daemon/internal/integrations/vpngate/client_test.go#TestParseFiltersAndRanksServers,n/a,7b45777faea457f3b4e5cc9783c65f7551633a9098727c0cf88c566e4543d22e
src/apps/daemon/internal/networking/dns/dns_fallback_test.go,modified,acceptance-evidence,S6-007,Prove target DNS UDP fallback emits truncated no-error response that forces TCP retry,src/apps/daemon/internal/networking/dns/dns_fallback_test.go#TestDNSUDPFallbackListenerReturnsTruncatedNoErrorResponse,dea5181f547879ef2b5f48745d8e1067da35e71ccbb2c6a92fda754f31767d72,4a6607afffc3c477a9edeb3f584c54e4f1a812a959aa4ac66c77cb50ca9a8de3
src/apps/daemon/internal/platform/system/.context,modified,navigation-context,S6-001;S6-007,Refresh platform navigation for Tor control and DNS fallback acceptance evidence,scripts/checks/check_source_context.py#main,c487a5c0c80b18f5bd6dc94c77bdb80600399bf1c062981ea15ef78c1f49b8d5,76354f2cf795a7942619137eec52aaf9753eb07519f51b37b06fcebd03166757
src/apps/daemon/internal/platform/system/tor_controller_newnym_test.go,added,acceptance-evidence,S6-001,Prove exact bounded SIGNAL NEWNYM control command,src/apps/daemon/internal/platform/system/tor_controller_newnym_test.go#TestSignalNewNymSendsBoundedControlCommand,n/a,39f46464f268d9dba2fc54b65986df22ff645a607f195a7f0cf999b4f91e18eb
src/apps/daemon/internal/runtime/runtimecore/manager.go,modified,semantic-owner,S6-001,Add Tor identity rotation to existing runtime manager without implicit engine start,src/apps/daemon/internal/platform/system/tor_controller_newnym_test.go#TestSignalNewNymSendsBoundedControlCommand,97e422ea96301cec47a2284715d63962091441b118cedfe1fea9f8ac723e8912,92fa9d6fd4267078876b8aced0102100de118d0b441bb69ad2d17673f478a444
src/apps/daemon/internal/runtime/runtimecore/tor_engine.go,modified,semantic-owner,S6-001;S6-026,Enable SAFECOOKIE-compatible Tor control and target-owned identity rotation,src/apps/daemon/internal/platform/system/tor_controller_newnym_test.go#TestSignalNewNymSendsBoundedControlCommand,f4ab2d79044cbf591215ed46b3cea8bab0e8e69941c34ff6da3892ef0865d950,8db93dce26d2b785695fd53cd5cff8b00acebc77dd6dc6fd6ecd5fd22c0ce456
src/packages/control-ui/package.json,modified,verification-wiring,S6-001;S6-002;S6-003;S6-004;S6-005;S6-006;S6-009;S6-010;S6-012;S6-014;S6-015,Attach sixth-order feature-richness characterization to control-ui test command,src/packages/control-ui/scripts/test-sixth-order-promotions.mjs#checks,7825a02a0f3ecd5bbeca2193a9a3a60ecd65e1677029a47abdcb81678c957dd0,b21ad36ce9b47767555d35b005556794a8a81345e4c6c73ecdcf1fe30a741903
src/packages/control-ui/scripts/.context,modified,navigation-context,S6-001;S6-002;S6-003;S6-004;S6-005;S6-006;S6-009;S6-010;S6-012;S6-014;S6-015,Refresh UI characterization navigation for sixth-order promotion gate,scripts/checks/check_source_context.py#main,de2cae498283fcb11576aa04f0df94010ad799792950b73c7e2c873b5e8d86b2,17250d18a604634154b9fc2c8e523fdd18d1bdc7ab9d526fe20871252b25f60a
src/packages/control-ui/scripts/test-sixth-order-promotions.mjs,added,acceptance-evidence,S6-001;S6-002;S6-003;S6-004;S6-005;S6-006;S6-009;S6-010;S6-012;S6-014;S6-015,Characterize sixth-order Operations and Profiles affordances,src/packages/control-ui/scripts/test-sixth-order-promotions.mjs#checks,n/a,64c4a48a5011bd257aa9b0bd833d6f7e5f4c64551ea540057d92c2f3314e2a8e
src/packages/control-ui/src/pages/Operations.tsx,modified,operator-surface,S6-001;S6-002;S6-003;S6-004;S6-005;S6-006;S6-009;S6-011;S6-012;S6-014;S6-015;S6-017;S6-026,"Expose Tor, onion, SNI, VPNGate, XHTTP devcontainer and capability catalog workflows",src/packages/control-ui/scripts/test-sixth-order-promotions.mjs#checks,38c19c0c24f42f3181041449504a33477f7591677ee1c9f2c1b173d900859ef8,2d0da6e24fb088aa6514ddafa14cb5224cf1a6774fbf400b6612d7f417274db8
src/packages/control-ui/src/pages/Profiles.tsx,modified,operator-surface,S6-010;S6-011;S6-017;S6-028,Add bounded subscription profile export/import atop existing profile authority,src/packages/control-ui/scripts/test-sixth-order-promotions.mjs#checks,d288add5c19540e4584f1747dc962461f0e6bd41bb5b91a606e5e6dc2776c874,ccd8844b115f19c7b51f4e02dac4876697daffe16eee96571cbd8db411c405e7
