path,change_type,baseline_sha256,current_sha256
src/apps/daemon/internal/adapters/api/routes_system.go,modified,e64fa204f4d60920ad33db2fb3e3297fb94161f0ab16b0d9c2faf18102871c96,5f6f024cafd9b8ac03c550990ab128621a71476f043eda30986d8b4395e9f307
src/apps/daemon/internal/analysis/diagnostics/dns_transport_integrity.go,modified,0ccecfb1a0ca3d7a735846852daaa9b63c31134388ec2e3da2b6a806784ea1fc,9a53b09374f462f17fad93aab16f21bc1c99542baebdcb38131725e4aafc13a1
src/apps/daemon/internal/analysis/diagnostics/dns_transport_integrity_test.go,modified,9c17a1ce240e99eb1192522ab02da382a5bc472ab3d0134baec4fdc7218e7a9a,7e5d82a367275a0a9c5caee1e0dbbd7b99cb955f1865829fde30ca21be66bff8
src/apps/daemon/internal/analysis/diagnostics/post_refactor_234_plans.go,modified,a9ad1c50397034457f01dfd786045c9a2a6ae2d663f4aa748126ad4073ff3832,fd72bbdb45e821daeb5051d471d3952b4026b7705e0c27136eefe40d77710314
src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans.go,added,n/a,e4cbc73e0c3d4eca9d8623c71dabdce41e5c1b5b53a43eb453a9a3ecb45ab47e
src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans_test.go,added,n/a,c5364e5ee73fa9b51a8375d78385322131afb9033ebc2af98d378edb7adc0b38
src/apps/daemon/internal/analysis/scanner/.context,modified,4dac91d73b63d8ce0f695df77ef21810666e93e9d62a529978d83bb001fe2fed,90a8043fb00ff860a349b411406475db005b99b7f13aa4033abc37149ac8b597
src/apps/daemon/internal/analysis/scanner/adaptive_throttle.go,deleted,ee7a7bb6c68518c30dc6c0577e8bf32df88dd9e0693ce100cdaf7d9ea3eb6cde,n/a
src/apps/daemon/internal/analysis/scanner/adaptive_throttle_alignment_test.go,deleted,a5c5f0e6363d48ed42b6bd03fafe20ecf7fc0f55d576ab171df20b2c52359106,n/a
src/packages/control-ui/package.json,modified,4c8a60a0aa97b54eb5aca6047f2a4ae179e4323f20d9b63add44504846ece5cf,97b1a9e0a46062a7a94cf621f78608bae8fdaf4256b3168350c233aa52076a9e
src/packages/control-ui/scripts/test-post-refactor-231.mjs,modified,a1fec6d6c08f7631e0ff7c78d95a0d489be1bce778ca0f1914e4214c9e77b204,e2a741d543b1c7186974871d0e7f76be29b66e43132ac8dfaeac26293981586e
src/packages/control-ui/scripts/test-post-refactor-232.mjs,modified,f6f978a7685a4dfe907fa5414e176a25b584e63f483f7ea3b04c4725c56f5eac,5fa3a91d9a150dee6490e2e47e7bce2742ef0b70ec163a50a6ece252369b8619
src/packages/control-ui/scripts/test-post-refactor-233.mjs,modified,667252aab827e75de55cee38967f989f65e95588c19d42bb7935e48b904a0f11,07f57ea7cc9f0403b8da4e0d75e318e1c0d8bd2d01b08ab7fc110d60e6b34c7a
src/packages/control-ui/scripts/test-post-refactor-234.mjs,modified,7fb38a129bb4e3d7692a078212dd3755b991434cd28998bc1906ec6f959b2d8d,3c72eed843860a414ef71415fd69471cfcb904d04dda52e1a79f7f7690bfabab
src/packages/control-ui/scripts/test-post-refactor-235.mjs,added,n/a,ed0b1d9681653d1b01cf6949007fb6d02dc5184bb8cf6a5cf8af2eb641617a84
src/packages/control-ui/src/pages/Operations.tsx,modified,e0f47cfe6b5f49d3a99d0e96bee828a1c97319c7b021c9efc61b674dee3c58c8,f562d1d0bd9b6790730c3495ab26b3dd87001529f55dc6ca90cf08db4829cedb
