donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,surface_disposition,surface_rationale
mitm-proxy,go.sum,dbf19ab834e2f4c8b8c89f83de040d634ca662d740a509874eaf0d7c51438b67,5411,file,other,configuration,authoritative-source,PR225-R022;PR225-M023;PR225-F0006,focused-file-configuration,independent file-level semantic disposition
mitm-proxy,logger.go,931e058cc6a3515eac3658acd7d2eed4f29cee8c8b4054a703d31e0274ab8d70,2387,file,Go,implementation,authoritative-source,PR225-R022;PR225-M023;PR225-F0007,focused-file-implementation,independent file-level semantic disposition
mitm-proxy,main.go,ba113c839f2e66c752386743326065b10b77d378af14dff9fd4d01d70b4fffe6,396,file,Go,implementation,authoritative-source,PR225-R022;PR225-M023;PR225-F0008,focused-file-implementation,independent file-level semantic disposition
mitm-proxy,proxy.go,e90ae31b098cacc2c924f339202dbcf6cfd987f389b4cc1f47a694c5938a0479,4846,file,Go,implementation,authoritative-source,PR225-R022;PR225-M023;PR225-F0009,focused-file-implementation,independent file-level semantic disposition
mitm-relay,.gitignore,669a93c2c8713f66580d6eda384b2552c47d0cfb1024ba237f6f77f32f256d38,25,file,other,repository-administration,supporting-evidence,PR225-R024;PR225-M025,focused-module-repository-administration,focused module-level disposition
mitm-relay,LICENSE,b40930bbcf80744c86c46a12bc9da056641d722716c378f5659b9e555ef833e1,11357,file,other,documentation,supporting-evidence,PR225-R024;PR225-M025,focused-module-documentation,focused module-level disposition
mitm-relay,README.md,4a83818971565376dd82df9df6d54f5148ac368d07788dc2151f589ae8099c91,10153,file,Markdown,documentation,supporting-evidence,PR225-R024;PR225-M025,focused-module-documentation,focused module-level disposition
mitm-relay,gen_certs.sh,a4627413ec4d8eebb16fe767c9860c76ba630d40bb2b7b5d34052b4010b1032c,217,file,Shell,script,authoritative-source,PR225-R024;PR225-M025;PR225-F0010,focused-file-script,independent file-level semantic disposition
mitm-relay,mitm_relay.py,375b6679205c7b31e7fb4dbd5fe959abb11c07f122aae73b0d2fc6c9526225e4,14470,file,Python,implementation,authoritative-source,PR225-R024;PR225-M025;PR225-F0011,focused-file-implementation,independent file-level semantic disposition
mitm-relay,sample_script.py,6fa07d3a10c07b501da864d8776199365a15701c9b0bb38dd39f3a33aacaa4ad,603,file,Python,implementation,authoritative-source,PR225-R024;PR225-M025;PR225-F0012,focused-file-implementation,independent file-level semantic disposition
routing-list,LICENSE,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,35149,file,other,documentation,supporting-evidence,PR225-R034;PR225-M035,focused-module-documentation,focused module-level disposition
routing-list,README.md,94a5fb1a53ac8f8f6bb0296cb266538e89f3abf592780a7e66314cee6c783d7d,27,file,Markdown,documentation,supporting-evidence,PR225-R034;PR225-M035,focused-module-documentation,focused module-level disposition
routing-list,block,b4ba055b32802c6add3a7b1f33e1670271725f8fda0d06dc0ec4437cea880bb9,25,file,other,repository-administration,supporting-evidence,PR225-R034;PR225-M035,focused-module-repository-administration,focused module-level disposition
routing-list,custom_routing_rules,64891c16ecef311cb4ccaf03fa223e018c1e1ffd676f92ca75ae1db740e9638a,609,file,other,repository-administration,supporting-evidence,PR225-R034;PR225-M035,focused-module-repository-administration,focused module-level disposition
routing-list,custom_routing_rules_blacklist,c2369c7c3483a4b0bcb4842dab8f78daf909ab16545c82b2aa637421c56b267d,3014,file,other,repository-administration,supporting-evidence,PR225-R034;PR225-M035,focused-module-repository-administration,focused module-level disposition
routing-list,custom_routing_rules_whitelist,4a99bdd789849f52142a9ac8467c8f5ea587fe4257b6ad853b0fa4717b85a3b9,1853,file,other,repository-administration,supporting-evidence,PR225-R034;PR225-M035,focused-module-repository-administration,focused module-level disposition
routing-list,direct,d3b774a506d98bfff43ba2b3ffd1e4c9d499323f155760beee783c140641c54d,35,file,other,repository-administration,supporting-evidence,PR225-R034;PR225-M035,focused-module-repository-administration,focused module-level disposition
routing-list,proxy,5b27c48754973202615e37d6527633b8ce9330cbdf76b57067581fb70cff535a,24,file,other,repository-administration,supporting-evidence,PR225-R034;PR225-M035,focused-module-repository-administration,focused module-level disposition
routing-list,singbox_custom_ruleset_example.json,ba1d4008443b820edd50b948083580dbc228784db5da3951cc309d7d8ab098ae,581,file,JSON,configuration,authoritative-source,PR225-R034;PR225-M035;PR225-F0013,focused-file-configuration,independent file-level semantic disposition
routing-list,template,a1927c52a43a0ed289533b42f7de1b593274cf8de1294e169ad853adc090798b,90,file,other,repository-administration,supporting-evidence,PR225-R034;PR225-M035,focused-module-repository-administration,focused module-level disposition
sing-box-rules,.github/release-rule-set.sh,288cad4e71ba731ee2fac461529a23862c7e864eaa6bc873a9bfdd1dd4ae19ef,806,file,Shell,repository-administration,supporting-evidence,PR225-R026,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sing-box-rules,.github/update_dependencies.sh,66b1846412a31e95a4fd7edbae870059a6dbe55408e64542670cca35e006c19e,148,file,Shell,repository-administration,supporting-evidence,PR225-R026,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sing-box-rules,.github/workflows/release.yaml,a55c5927ea3dc7767aa7696b3c24b877c0eeeb10a182f5188c67d985209bc67d,2371,file,YAML,repository-administration,supporting-evidence,PR225-R026,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sing-box-rules,.gitignore,6c485c8be6f9910a644d9596fc2d0433963529acca4af5d94b1fba652687a260,13,file,other,repository-administration,supporting-evidence,PR225-R026,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sing-box-rules,README.md,1160ddaee3efb052033d83aca467dde51ebe7b7a6ba5c164cf19026c332b0aa8,631,file,Markdown,documentation,supporting-evidence,PR225-R026,accounted-supporting-documentation,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sing-box-rules,sing-geoip/LICENSE,2f02b7486bcfa90d115c71a20437f3906b6fd5bef81c5dc0efd341399e89d0fd,674,file,other,documentation,supporting-evidence,PR225-R026;PR225-M027,focused-module-documentation,focused module-level disposition
sing-box-rules,sing-geoip/format.go,1ea0845592d540426588a2abc30feb36b06bf6d6562ba581a848940c9a040cb2,210,file,Go,implementation,authoritative-source,PR225-R026;PR225-M027;PR225-F0014,focused-file-implementation,independent file-level semantic disposition
sing-box-rules,sing-geoip/go.mod,ee356f8b6d82a1c5a0015c727835308d11b1f7b323ba30084234cd3793e6f508,839,file,other,configuration,authoritative-source,PR225-R026;PR225-M027;PR225-F0015,focused-file-configuration,independent file-level semantic disposition
sing-box-rules,sing-geoip/go.sum,1d70f0d1b618aae3d53500bc41c3fc1bc43f8d1302fed2826849342441f05c61,3618,file,other,configuration,authoritative-source,PR225-R026;PR225-M027;PR225-F0016,focused-file-configuration,independent file-level semantic disposition
sing-box-rules,sing-geoip/main.go,9646bef4e804fed9dd4da4e16b91ca043ccd83d9b4dda0a20ec3ad7111c90274,7129,file,Go,implementation,authoritative-source,PR225-R026;PR225-M027;PR225-F0017,focused-file-implementation,independent file-level semantic disposition
sing-box-rules,sing-geosite/LICENSE,2f02b7486bcfa90d115c71a20437f3906b6fd5bef81c5dc0efd341399e89d0fd,674,file,other,documentation,supporting-evidence,PR225-R026;PR225-M028,focused-module-documentation,focused module-level disposition
sing-box-rules,sing-geosite/format.go,1ea0845592d540426588a2abc30feb36b06bf6d6562ba581a848940c9a040cb2,210,file,Go,implementation,authoritative-source,PR225-R026;PR225-M028;PR225-F0018,focused-file-implementation,independent file-level semantic disposition
sing-box-rules,sing-geosite/go.mod,6a62b488fb9e8e37429dd9dd0529f33340f8799cf834b64aa21b2f2648b7736a,4401,file,other,configuration,authoritative-source,PR225-R026;PR225-M028;PR225-F0019,focused-file-configuration,independent file-level semantic disposition
sing-box-rules,sing-geosite/go.sum,9dc617fc7cf5e687378fbd130d647c70784019074c0a3cfc8c30c0f69deaff2f,19677,file,other,configuration,authoritative-source,PR225-R026;PR225-M028;PR225-F0020,focused-file-configuration,independent file-level semantic disposition
sing-box-rules,sing-geosite/main.go,7469b6c6d9b1ed0ebaee8b91507ee0d74e8f43785a52d277d663f2fe8b3c718c,8314,file,Go,implementation,authoritative-source,PR225-R026;PR225-M028;PR225-F0021,focused-file-implementation,independent file-level semantic disposition
sing-dns,.github/renovate.json,93a1651c9727c22d2301f0934605a2235bc9a4126038a4585cfdf923e121d4ea,349,file,JSON,repository-administration,supporting-evidence,PR225-R029,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sing-dns,.github/update_dependencies.sh,c4c5f89f2fd7bfcbb33ed0bd674d23f6b06a3d0f7ade26f9f7601174c4bf1c0f,135,file,Shell,repository-administration,supporting-evidence,PR225-R029,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sing-dns,.github/workflows/lint.yml,b580939cfbb00e1d50c90cd654cf1a2bed3c8f6462a3d20ff05b57b7b47fb341,730,file,YAML,repository-administration,supporting-evidence,PR225-R029,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sing-dns,.github/workflows/test.yml,202d7fa6130fc083493b017dc92a003d7a2e8e36f921b708b06078812837f900,2321,file,YAML,repository-administration,supporting-evidence,PR225-R029,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sing-dns,.gitignore,73b134205f4ed9e6350d789d3d067ea1a936ae377c04a1d47aab76a83065278f,27,file,other,repository-administration,supporting-evidence,PR225-R029;PR225-M031,focused-module-repository-administration,focused module-level disposition
sing-dns,.golangci.yml,6a2b6fe0867c925adf34fc14ca6f39d6eed459ed6161a8c1d259aa005b07e146,281,file,YAML,configuration,authoritative-source,PR225-R029;PR225-M031;PR225-F0022,focused-file-configuration,independent file-level semantic disposition
sing-dns,LICENSE,2f02b7486bcfa90d115c71a20437f3906b6fd5bef81c5dc0efd341399e89d0fd,674,file,other,documentation,supporting-evidence,PR225-R029;PR225-M031,focused-module-documentation,focused module-level disposition
sing-dns,Makefile,7bb06130de435e7bcb71c2ce2f56003f7a6fee8e6197573c114ee58c80475385,531,file,other,configuration,authoritative-source,PR225-R029;PR225-M031;PR225-F0023,focused-file-configuration,independent file-level semantic disposition
sing-dns,README.md,7760d99492808b696bcd7506e5523e05035bb1194aba8ccba9330c5c89ef7246,731,file,Markdown,documentation,supporting-evidence,PR225-R029;PR225-M031,focused-module-documentation,focused module-level disposition
sing-dns,client.go,b61ca9f4ff6cb09cbd46040fbb4f43b0ee76522ed675c4d1a7c12852e0a92712,20205,file,Go,implementation,authoritative-source,PR225-R029;PR225-M031;PR225-F0024,focused-file-implementation,independent file-level semantic disposition
sing-dns,client_options.go,13be6de58b2638b2a2c9c7c5b0e818b3e5832c8dffbd8ed16e52d6c5a3b752cc,159,file,Go,implementation,authoritative-source,PR225-R029;PR225-M031;PR225-F0025,focused-file-implementation,independent file-level semantic disposition
sing-dns,client_truncate.go,8cef42430af0698bd4005ea58d6fd8199b3e7ded1220a452d0117b0e490d72b7,746,file,Go,implementation,authoritative-source,PR225-R029;PR225-M031;PR225-F0026,focused-file-implementation,independent file-level semantic disposition
sing-dns,dialer.go,9b7c45a34a46aa7915bcffbc27369fcb6bce0d38d0b640af9a5f8a849e59591d,1498,file,Go,implementation,authoritative-source,PR225-R029;PR225-M031;PR225-F0027,focused-file-implementation,independent file-level semantic disposition
sing-dns,extension_edns0_subnet.go,52cf9703f31322a07f886dab4a5b97a58850c5a659e8a65ea60640ec20b60bac,1785,file,Go,implementation,authoritative-source,PR225-R029;PR225-M031;PR225-F0028,focused-file-implementation,independent file-level semantic disposition
sing-dns,go.mod,ab970db1263a78c7ad359fa5cbd7120a7ca5d99327f95792eac3dd5c0afa2c3d,977,file,other,configuration,authoritative-source,PR225-R029;PR225-M031;PR225-F0029,focused-file-configuration,independent file-level semantic disposition
sing-dns,go.sum,789025a429a5421c89ba800678939a28ebda6b15ab199c1c5f80af59f94063b5,4433,file,other,configuration,authoritative-source,PR225-R029;PR225-M031;PR225-F0030,focused-file-configuration,independent file-level semantic disposition
sing-dns,log.go,82f65aa1f9c408bc8e2aa2d512c5e18ca122ea5ac9d83319cc1288784d557689,2211,file,Go,implementation,authoritative-source,PR225-R029;PR225-M031;PR225-F0031,focused-file-implementation,independent file-level semantic disposition
sing-dns,quic/transport_http3.go,de70df415ec126b2bd7d54ce72a42703df03e79340c34a01e3bf801587351fd4,3352,file,Go,implementation,authoritative-source,PR225-R029;PR225-M030;PR225-F0032,focused-file-implementation,independent file-level semantic disposition
sing-dns,quic/transport_quic.go,ab816d3cad34a3510567c78558ef91134eecf0697cb80dbea1cafa8ab3bf2e5e,4902,file,Go,implementation,authoritative-source,PR225-R029;PR225-M030;PR225-F0033,focused-file-implementation,independent file-level semantic disposition
sing-dns,rcode.go,cf8d417fb90d135c80f4a7552add4fa620b5a1ad2fac7388988021cb7ffca6ec,772,file,Go,implementation,authoritative-source,PR225-R029;PR225-M031;PR225-F0034,focused-file-implementation,independent file-level semantic disposition
sing-dns,strategy.go,017d88307d8265fab23560f90b7e8ff6a7576f4eb3505d144076077ef2e6d961,192,file,Go,implementation,authoritative-source,PR225-R029;PR225-M031;PR225-F0035,focused-file-implementation,independent file-level semantic disposition
sing-dns,transport.go,44679c336c037de2675b6f711c8fc3349a251c8262d83630ff28393b1314c9f1,1713,file,Go,implementation,authoritative-source,PR225-R029;PR225-M031;PR225-F0036,focused-file-implementation,independent file-level semantic disposition
sing-dns,transport_hosts.go,57abf1fcf69f714a4090e140c2005376e4bcb94575267287128f9868ddbb296c,874,file,Go,implementation,authoritative-source,PR225-R029;PR225-M031;PR225-F0037,focused-file-implementation,independent file-level semantic disposition
sing-dns,transport_https.go,bb6a4a3a659f768f923021f1e99e6cc97c6532c32721b802e8a2dc7881600327,2858,file,Go,implementation,authoritative-source,PR225-R029;PR225-M031;PR225-F0038,focused-file-implementation,independent file-level semantic disposition
sing-dns,transport_local.go,4647500fcde58b54534bdc47321e52a400c777d825563bbe5588427660f74c56,2074,file,Go,implementation,authoritative-source,PR225-R029;PR225-M031;PR225-F0039,focused-file-implementation,independent file-level semantic disposition
sing-dns,transport_rcode.go,30cdcf664fc7f1bc8937d3f8d73b6e5ceaa8636cfb8b56b4dbb2a874a389ed46,1748,file,Go,implementation,authoritative-source,PR225-R029;PR225-M031;PR225-F0040,focused-file-implementation,independent file-level semantic disposition
sing-dns,transport_tcp.go,180241c15cd69e9f749975a7d03089e24467ae7ec7ef9c6f142910c6f2fbcc0e,2897,file,Go,implementation,authoritative-source,PR225-R029;PR225-M031;PR225-F0041,focused-file-implementation,independent file-level semantic disposition
sing-dns,transport_test.go,8c1d6f4cbb9c2d3575509a1344ea38c55bc6e0cf4f6d0b85150c3b1b6a4ebe19,1199,file,Go,test,authoritative-source,PR225-R029;PR225-M031;PR225-F0042,focused-file-test,independent file-level semantic disposition
sing-dns,transport_tls.go,360d804f16cf79f3a7b38b21abd90a6bdf2d3f9a32098915a77e0fec8017bae5,3043,file,Go,implementation,authoritative-source,PR225-R029;PR225-M031;PR225-F0043,focused-file-implementation,independent file-level semantic disposition
sing-dns,transport_udp.go,47afc36da2e967675cf3e61a40044b496958698be95f7aaa6c75a3689f68fcea,5670,file,Go,implementation,authoritative-source,PR225-R029;PR225-M031;PR225-F0044,focused-file-implementation,independent file-level semantic disposition
sing-mux,.github/renovate.json,93a1651c9727c22d2301f0934605a2235bc9a4126038a4585cfdf923e121d4ea,349,file,JSON,repository-administration,supporting-evidence,PR225-R032,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sing-mux,.github/update_dependencies.sh,c4c5f89f2fd7bfcbb33ed0bd674d23f6b06a3d0f7ade26f9f7601174c4bf1c0f,135,file,Shell,repository-administration,supporting-evidence,PR225-R032,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sing-mux,.github/workflows/lint.yml,d7c7b085849abb14ac9329d1b9d99800e320a932d8e8b6a9882b870402b9f918,774,file,YAML,repository-administration,supporting-evidence,PR225-R032,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sing-mux,.github/workflows/test.yml,202d7fa6130fc083493b017dc92a003d7a2e8e36f921b708b06078812837f900,2321,file,YAML,repository-administration,supporting-evidence,PR225-R032,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sing-mux,.gitignore,73b134205f4ed9e6350d789d3d067ea1a936ae377c04a1d47aab76a83065278f,27,file,other,repository-administration,supporting-evidence,PR225-R032;PR225-M033,focused-module-repository-administration,focused module-level disposition
sing-mux,.golangci.yml,6a2b6fe0867c925adf34fc14ca6f39d6eed459ed6161a8c1d259aa005b07e146,281,file,YAML,configuration,authoritative-source,PR225-R032;PR225-M033;PR225-F0045,focused-file-configuration,independent file-level semantic disposition
sing-mux,LICENSE,2f02b7486bcfa90d115c71a20437f3906b6fd5bef81c5dc0efd341399e89d0fd,674,file,other,documentation,supporting-evidence,PR225-R032;PR225-M033,focused-module-documentation,focused module-level disposition
sing-mux,Makefile,c1800d7f9cc2a000ff2320309304c06a904f018f0e60c30c6f7850fcf7cc5510,499,file,other,configuration,authoritative-source,PR225-R032;PR225-M033;PR225-F0046,focused-file-configuration,independent file-level semantic disposition
sing-mux,README.md,6298ab23ef879af84acd1ff91e6ecf705b9ab2ee1f5396e823d49c01c7269681,37,file,Markdown,documentation,supporting-evidence,PR225-R032;PR225-M033,focused-module-documentation,focused module-level disposition
sing-mux,brutal.go,9e7b0ffe66dc569aa27968111c5dd1dbab8668a785fd7688f6335f9cdef1b82d,1496,file,Go,implementation,authoritative-source,PR225-R032;PR225-M033;PR225-F0047,focused-file-implementation,independent file-level semantic disposition
sing-mux,brutal_linux.go,f32f53f1f8f5005537c4547be1f843c6da7e1f54d4cb4a5235fb603c4bf005bc,1491,file,Go,implementation,authoritative-source,PR225-R032;PR225-M033;PR225-F0048,focused-file-implementation,independent file-level semantic disposition
sing-mux,brutal_stub.go,6679a7aec8724697fa3cdaf21ef5026de7532cced2cc28b6fb36ecb9c6c71322,249,file,Go,implementation,authoritative-source,PR225-R032;PR225-M033;PR225-F0049,focused-file-implementation,independent file-level semantic disposition
sing-mux,client.go,14f156a8f0b67765ef877bd7f5f27b954a7a4d892c601ccd8b645f3f493e281d,6234,file,Go,implementation,authoritative-source,PR225-R032;PR225-M033;PR225-F0050,focused-file-implementation,independent file-level semantic disposition
sing-mux,client_conn.go,05cfc90bc9d1b7be55dad91f5b29c09fd632f41cbc357c984dffe9368fb38c23,9995,file,Go,implementation,authoritative-source,PR225-R032;PR225-M033;PR225-F0051,focused-file-implementation,independent file-level semantic disposition
sing-mux,client_conn_wait.go,70edbdaa0db6b1700a2f93343ac3b44eb27932fcf525516ee737ac1068f8c0b0,1720,file,Go,implementation,authoritative-source,PR225-R032;PR225-M033;PR225-F0052,focused-file-implementation,independent file-level semantic disposition
sing-mux,error.go,c853eb49bd00e1c87cc4da8e9eba93b97817470d3728abc829a52f69d3b5b4f2,859,file,Go,implementation,authoritative-source,PR225-R032;PR225-M033;PR225-F0053,focused-file-implementation,independent file-level semantic disposition
sing-mux,go.mod,862a24d85eed1bab60ea1ad2dfd371da35ba23805c48d518ddb611468fdb8564,275,file,other,configuration,authoritative-source,PR225-R032;PR225-M033;PR225-F0054,focused-file-configuration,independent file-level semantic disposition
sing-mux,go.sum,0d19a733ae627d91aa4b5de4129e4260db79d89a1fa8177acbb258c99f0b2a7d,3580,file,other,configuration,authoritative-source,PR225-R032;PR225-M033;PR225-F0055,focused-file-configuration,independent file-level semantic disposition
sing-mux,h2mux.go,69199f66f928d135c5829c4174b815920f104eecf164f1f80a3b218857570b77,5523,file,Go,implementation,authoritative-source,PR225-R032;PR225-M033;PR225-F0056,focused-file-implementation,independent file-level semantic disposition
sing-mux,h2mux_conn.go,4ff03148968a65cf625a4a7c52f7f8328a667421193ba2b6001e028025a768b5,1671,file,Go,implementation,authoritative-source,PR225-R032;PR225-M033;PR225-F0057,focused-file-implementation,independent file-level semantic disposition
sing-mux,padding.go,07806ea92bb07d0a4e5813889c2395210952bba8a1a9bf505a5e98a242cc42bc,5421,file,Go,implementation,authoritative-source,PR225-R032;PR225-M033;PR225-F0058,focused-file-implementation,independent file-level semantic disposition
sing-mux,protocol.go,339cc11139095f2080701e2f71b538cf722195541774d1e26ab84874dcc0c5d5,4010,file,Go,implementation,authoritative-source,PR225-R032;PR225-M033;PR225-F0059,focused-file-implementation,independent file-level semantic disposition
sing-mux,protocol_conn.go,a85c5e2aad78458529c9ac8df24fcdef09ec7b9490ce2ee4da8b70c415936546,1365,file,Go,implementation,authoritative-source,PR225-R032;PR225-M033;PR225-F0060,focused-file-implementation,independent file-level semantic disposition
sing-mux,server.go,3e7edbfb1c5641c0cea3f91885fa3b152970fb8d114eac6145dfea3afd079b7d,5601,file,Go,implementation,authoritative-source,PR225-R032;PR225-M033;PR225-F0061,focused-file-implementation,independent file-level semantic disposition
sing-mux,server_conn.go,f8020677eb0289a132e1fd88ca0bcaf4130d8648d1952d9e5abc431da35bf349,7061,file,Go,implementation,authoritative-source,PR225-R032;PR225-M033;PR225-F0062,focused-file-implementation,independent file-level semantic disposition
sing-mux,session.go,e9b005161f02e2f0514b9852211517636d5762b0d3e5e7ef851eabe5e6e95799,2922,file,Go,implementation,authoritative-source,PR225-R032;PR225-M033;PR225-F0063,focused-file-implementation,independent file-level semantic disposition
sni-bypass,.git/HEAD,28d25bf82af4c0e2b72f50959b2beb859e3e60b9630a5e8c603dad4ddb2b6e80,21,file,other,repository-administration,supporting-evidence,PR225-R001,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sni-bypass,.git/config,9bec182c45437f66647d70840333dee853d6ed51df9081db0243486aafe9d5e4,302,file,other,repository-administration,supporting-evidence,PR225-R001,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sni-bypass,.git/description,85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee,73,file,other,repository-administration,supporting-evidence,PR225-R001,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sni-bypass,.git/hooks/applypatch-msg.sample,0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7,478,file,other,repository-administration,supporting-evidence,PR225-R001,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sni-bypass,.git/hooks/commit-msg.sample,efc1401b0e99d1ff51494d154d98b46c1e99059bcd8bf9f73cecde19fd3eb23b,1972,file,other,repository-administration,supporting-evidence,PR225-R001,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sni-bypass,.git/hooks/fsmonitor-watchman.sample,9159720099ad5595b8e66645cbfd47763c1e920f46e0b50ae75e642bbec57ef0,4611,file,other,repository-administration,supporting-evidence,PR225-R001,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sni-bypass,.git/hooks/post-update.sample,81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5,189,file,other,repository-administration,supporting-evidence,PR225-R001,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sni-bypass,.git/hooks/pre-applypatch.sample,e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475,424,file,other,repository-administration,supporting-evidence,PR225-R001,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sni-bypass,.git/hooks/pre-commit.sample,57185b7b9f05239d7ab52db045f5b89eb31348d7b2177eab214f5eb872e1971b,1649,file,other,repository-administration,supporting-evidence,PR225-R001,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sni-bypass,.git/hooks/pre-merge-commit.sample,d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53,416,file,other,repository-administration,supporting-evidence,PR225-R001,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sni-bypass,.git/hooks/pre-push.sample,ecce9c7e04d3f5dd9d8ada81753dd1d549a9634b26770042b58dda00217d086a,1374,file,other,repository-administration,supporting-evidence,PR225-R001,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sni-bypass,.git/hooks/pre-rebase.sample,4febce867790052338076f4e66cc47efb14879d18097d1d61c8261859eaaa7b3,4898,file,other,repository-administration,supporting-evidence,PR225-R001,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sni-bypass,.git/hooks/pre-receive.sample,a4c3d2b9c7bb3fd8d1441c31bd4ee71a595d66b44fcf49ddb310252320169989,544,file,other,repository-administration,supporting-evidence,PR225-R001,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
sni-bypass,.git/hooks/prepare-commit-msg.sample,e9ddcaa4189fddd25ed97fc8c789eca7b6ca16390b2392ae3276f0c8e1aa4619,1492,file,other,repository-administration,supporting-evidence,PR225-R001,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
