record_id,wave,original_target_nodes,normalized_target_nodes,original_test_node,normalized_test_node,reason
E8-0023,ultimate-63,src/apps/daemon/internal/analysis/scanner/scan_orchestration.go#ScanBatchOrchestrator,src/apps/daemon/internal/analysis/scanner/scan_orchestration.go#ScanBatchOrchestrator,scripts/checks/check_eighth_order_convergence.py#main,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E8-0023-test,disambiguate historically shared test_node while preserving original referenced evidence
E8-0024,ultimate-63,n/a,n/a,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E8-0024-test,supply unique evidence node for historical verified status
E8-0026,ultimate-63,n/a,n/a,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E8-0026-test,supply unique evidence node for historical verified status
E8-0028,ultimate-63,src/apps/daemon/internal/analysis/scanner/scan_orchestration.go#ScanBatchOrchestrator,src/apps/daemon/internal/analysis/scanner/scan_orchestration.go#ScanBatchOrchestrator,scripts/checks/check_eighth_order_convergence.py#main,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E8-0028-test,disambiguate historically shared test_node while preserving original referenced evidence
E9-0003,ultimate-63,n/a,n/a,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0003-test,supply unique evidence node for historical verified status
E9-0010,ultimate-63,src/apps/daemon/internal/integrations/sub/profile_entitlement.go#EvaluateProfileEntitlement;src/apps/daemon/internal/adapters/api/handlers_subscription_profiles.go#SubscriptionProfileView,src/apps/daemon/internal/integrations/sub/profile_entitlement.go#EvaluateProfileEntitlement;src/apps/daemon/internal/adapters/api/handlers_subscription_profiles.go#SubscriptionProfileView,src/apps/daemon/internal/integrations/sub/profile_entitlement_test.go#TestEvaluateProfileEntitlementWarningsAndPrecedence,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0010-test,disambiguate historically shared test_node while preserving original referenced evidence
E9-0011,ultimate-63,src/apps/daemon/internal/integrations/sub/profile_entitlement.go#EvaluateProfileEntitlement;src/apps/daemon/internal/adapters/api/handlers_subscription_profiles.go#SubscriptionProfileView,src/apps/daemon/internal/integrations/sub/profile_entitlement.go#EvaluateProfileEntitlement;src/apps/daemon/internal/adapters/api/handlers_subscription_profiles.go#SubscriptionProfileView,src/apps/daemon/internal/integrations/sub/profile_entitlement_test.go#TestEvaluateProfileEntitlementWarningsAndPrecedence,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0011-test,disambiguate historically shared test_node while preserving original referenced evidence
E9-0012,ultimate-63,src/apps/daemon/internal/integrations/sub/profile_entitlement.go#EvaluateProfileEntitlement;src/apps/daemon/internal/adapters/api/handlers_subscription_profiles.go#SubscriptionProfileView,src/apps/daemon/internal/integrations/sub/profile_entitlement.go#EvaluateProfileEntitlement;src/apps/daemon/internal/adapters/api/handlers_subscription_profiles.go#SubscriptionProfileView,src/apps/daemon/internal/integrations/sub/profile_entitlement_test.go#TestEvaluateProfileEntitlementWarningsAndPrecedence,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0012-test,disambiguate historically shared test_node while preserving original referenced evidence
E9-0013,ultimate-63,src/apps/daemon/internal/integrations/sub/profile_entitlement.go#EvaluateProfileEntitlement;src/apps/daemon/internal/adapters/api/handlers_subscription_profiles.go#SubscriptionProfileView,src/apps/daemon/internal/integrations/sub/profile_entitlement.go#EvaluateProfileEntitlement;src/apps/daemon/internal/adapters/api/handlers_subscription_profiles.go#SubscriptionProfileView,src/apps/daemon/internal/integrations/sub/profile_entitlement_test.go#TestEvaluateProfileEntitlementWarningsAndPrecedence,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0013-test,disambiguate historically shared test_node while preserving original referenced evidence
E9-0014,ultimate-63,src/apps/daemon/internal/integrations/sub/profile_entitlement.go#ProfileEntitlement,src/apps/daemon/internal/integrations/sub/profile_entitlement.go#ProfileEntitlement,scripts/checks/check_ninth_order_convergence.py#main,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0014-test,disambiguate historically shared test_node while preserving original referenced evidence
E9-0015,ultimate-63,src/apps/daemon/internal/integrations/sub/profile_entitlement.go#ProfileEntitlement,src/apps/daemon/internal/integrations/sub/profile_entitlement.go#ProfileEntitlement,scripts/checks/check_ninth_order_convergence.py#main,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0015-test,disambiguate historically shared test_node while preserving original referenced evidence
E9-0016,ultimate-63,src/apps/daemon/internal/integrations/sub/profile_entitlement.go#ProfileEntitlement,src/apps/daemon/internal/integrations/sub/profile_entitlement.go#ProfileEntitlement,scripts/checks/check_ninth_order_convergence.py#main,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0016-test,disambiguate historically shared test_node while preserving original referenced evidence
E9-0017,ultimate-63,n/a,n/a,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0017-test,supply unique evidence node for historical verified status
E9-0018,ultimate-63,src/apps/daemon/internal/platform/system/tor_controller.go#SignalNewNym,src/apps/daemon/internal/platform/system/tor_controller.go#SignalNewNym,src/apps/daemon/internal/platform/system/tor_controller_newnym_test.go#TestSignalNewNymSendsBoundedControlCommand,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0018-test,disambiguate historically shared test_node while preserving original referenced evidence
E9-0019,ultimate-63,src/apps/daemon/internal/runtime/runtimecore/tor_engine.go#rotateIdentity,src/apps/daemon/internal/runtime/runtimecore/tor_engine.go#rotateIdentity,src/apps/daemon/internal/platform/system/tor_controller_newnym_test.go#TestSignalNewNymSendsBoundedControlCommand,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0019-test,disambiguate historically shared test_node while preserving original referenced evidence
E9-0021,ultimate-63,n/a,n/a,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0021-test,supply unique evidence node for historical verified status
E9-0023,ultimate-63,n/a,n/a,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0023-test,supply unique evidence node for historical verified status
E9-0026,ultimate-63,n/a,n/a,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0026-test,supply unique evidence node for historical verified status
E9-0027,ultimate-63,n/a,n/a,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0027-test,supply unique evidence node for historical verified status
E9-0028,ultimate-63,n/a,n/a,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0028-test,supply unique evidence node for historical verified status
E9-0029,ultimate-63,n/a,n/a,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0029-test,supply unique evidence node for historical verified status
E9-0030,ultimate-63,n/a,n/a,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0030-test,supply unique evidence node for historical verified status
E9-0031,ultimate-63,deploy/server-bootstrap/x-ui-pro.sh#x_ui_pro,deploy/server-bootstrap/x-ui-pro.sh#x_ui_pro,scripts/checks/check_ninth_order_convergence.py#main,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E9-0031-test,disambiguate historically shared test_node while preserving original referenced evidence
FP-S001,ultimate-63,src/apps/daemon/internal/foundation/remoteaction/remoteaction.go#Policy;src/apps/daemon/internal/foundation/remoteaction/remoteaction.go#waitForCooldownAndAcquire;src/apps/daemon/internal/integrations/provision/cloudflare.go;src/apps/daemon/internal/analysis/scanner/cloudflare_deployer.go;src/apps/daemon/internal/runtime/proxy/google_drive_actions.go;src/apps/daemon/internal/runtime/warp/warp.go;src/apps/daemon/internal/networking/dns/ddns_updater.go,governance/convergence/post-refactor-117-historical-evidence-anchors.md#FP-S001-target,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go#TestExecutorSharesCooldownAcrossActionsInSameProviderScope,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go#TestExecutorSharesCooldownAcrossActionsInSameProviderScope,normalize historical path-only target node(s) to one exact successor evidence node
FP-S004,ultimate-63,src/apps/daemon/internal/foundation/config/config.go#SaveIfRevision;src/apps/daemon/internal/foundation/config/config.go#GetWithRevision;src/apps/daemon/internal/adapters/api/config_mutation.go#commitConfigSnapshot;src/apps/daemon/internal/adapters/api/config_mutation.go#expectedConfigRevision;src/apps/daemon/internal/adapters/api/handlers_system_startup.go;src/apps/daemon/internal/adapters/api/handlers_system_ddns.go;src/apps/daemon/internal/adapters/api/handlers_proxy_directory.go,governance/convergence/post-refactor-117-historical-evidence-anchors.md#FP-S004-target,src/apps/daemon/internal/foundation/config/revision_test.go#TestSaveIfRevisionRejectsStaleWriterWithoutLosingNewerState;src/apps/daemon/internal/adapters/api/config_mutation_test.go#TestParseConfigRevisionETag;src/apps/daemon/internal/adapters/api/config_mutation_test.go#TestConfigRevisionConflictStatus,src/apps/daemon/internal/foundation/config/revision_test.go#TestSaveIfRevisionRejectsStaleWriterWithoutLosingNewerState;src/apps/daemon/internal/adapters/api/config_mutation_test.go#TestParseConfigRevisionETag;src/apps/daemon/internal/adapters/api/config_mutation_test.go#TestConfigRevisionConflictStatus,normalize historical path-only target node(s) to one exact successor evidence node
FP-S007,ultimate-63,src/apps/daemon/internal/networking/dns/dnsproxy.go#RateLimiter;src/apps/daemon/internal/networking/dns/dnsproxy.go#PendingRequests;src/apps/daemon/internal/networking/dns/dohcache.go#fetchCoalesced,src/apps/daemon/internal/networking/dns/dnsproxy.go#RateLimiter;src/apps/daemon/internal/networking/dns/dnsproxy.go#PendingRequests;src/apps/daemon/internal/networking/dns/dohcache.go#fetchCoalesced,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#FP-S007-test,supply unique successor evidence node required by current disposition schema
U-S009,ultimate-63,src/apps/daemon/internal/runtime/runtimecore/manager.go#Manager;src/apps/daemon/internal/platform/system/host_network.go,governance/convergence/post-refactor-117-historical-evidence-anchors.md#U-S009-target,scripts/checks/check_runtime_core_ownership.py,governance/convergence/post-refactor-117-historical-evidence-anchors.md#U-S009-test,normalize historical path-only target node(s) to one exact successor evidence node; disambiguate historically shared test_node while preserving original referenced evidence
U-S014,ultimate-63,src/apps/daemon/internal/platform/system/host_network.go#ApplyHostNetwork,src/apps/daemon/internal/platform/system/host_network.go#ApplyHostNetwork,scripts/checks/check_host_network_ownership.py,governance/convergence/post-refactor-117-historical-evidence-anchors.md#U-S014-test,disambiguate historically shared test_node while preserving original referenced evidence
U-S015,ultimate-63,src/apps/daemon/internal/runtime/runtimecore/manager.go#EngineTor,src/apps/daemon/internal/runtime/runtimecore/manager.go#EngineTor,scripts/checks/check_runtime_core_ownership.py,governance/convergence/post-refactor-117-historical-evidence-anchors.md#U-S015-test,disambiguate historically shared test_node while preserving original referenced evidence
U-S016,ultimate-63,src/apps/daemon/internal/runtime/runtimecore/manager.go#EngineTor,src/apps/daemon/internal/runtime/runtimecore/manager.go#EngineTor,scripts/checks/check_runtime_core_ownership.py,governance/convergence/post-refactor-117-historical-evidence-anchors.md#U-S016-test,disambiguate historically shared test_node while preserving original referenced evidence
U-S021,ultimate-63,src/apps/daemon/internal/platform/system/host_network.go#ApplyHostNetwork,src/apps/daemon/internal/platform/system/host_network.go#ApplyHostNetwork,scripts/checks/check_host_network_ownership.py,governance/convergence/post-refactor-117-historical-evidence-anchors.md#U-S021-test,disambiguate historically shared test_node while preserving original referenced evidence
PR83-S004,post-refactor-20,src/apps/daemon/internal/runtime/proxy/wstunnel.go,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S004-target,src/apps/daemon/internal/runtime/proxy/wstunnel_test.go#TestStunnelRejectsUntrustedCertificateWithoutPin,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S004-test,normalize historical path-only target node(s) to one exact successor evidence node; disambiguate historically shared test_node while preserving original referenced evidence
PR83-S005,post-refactor-20,src/apps/daemon/internal/runtime/proxy/evasion_tunnel.go,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S005-target,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S005-test,normalize historical path-only target node(s) to one exact successor evidence node; supply unique successor evidence node required by current disposition schema
PR83-S006,post-refactor-20,src/apps/daemon/internal/runtime/runtimecore/manager.go;src/apps/daemon/internal/platform/system/process_supervisor.go,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S006-target,src/apps/daemon/internal/runtime/runtimecore/manager_test.go#TestManagerRestoresPreviousConfigurationWhenReplacementStartFails,src/apps/daemon/internal/runtime/runtimecore/manager_test.go#TestManagerRestoresPreviousConfigurationWhenReplacementStartFails,normalize historical path-only target node(s) to one exact successor evidence node
PR83-S007,post-refactor-20,src/apps/daemon/internal/runtime/warp/warp_scanner.go;src/apps/daemon/internal/runtime/proxy/node_latency_tester.go#EndpointQualityResult,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S007-target,src/apps/daemon/internal/runtime/warp/warp_scanner_test.go,src/apps/daemon/internal/runtime/warp/warp_scanner_test.go,normalize historical path-only target node(s) to one exact successor evidence node
PR83-S008,post-refactor-20,src/apps/daemon/internal/analysis/scanner/probe_pipeline_utils.go,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S008-target,scripts/checks/check_post_refactor_83_convergence.py,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S008-test,normalize historical path-only target node(s) to one exact successor evidence node; disambiguate historically shared test_node while preserving original referenced evidence
PR83-S009,post-refactor-20,src/apps/daemon/internal/runtime/proxy/node_latency_tester.go#EndpointQualityResult,src/apps/daemon/internal/runtime/proxy/node_latency_tester.go#EndpointQualityResult,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S009-test,supply unique successor evidence node required by current disposition schema
PR83-S010,post-refactor-20,src/apps/daemon/internal/runtime/proxy/kcp_transport.go,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S010-target,n/a,n/a,normalize historical path-only target node(s) to one exact successor evidence node
PR83-S011,post-refactor-20,src/apps/daemon/internal/runtime/proxy/kcp_transport.go,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S011-target,n/a,n/a,normalize historical path-only target node(s) to one exact successor evidence node
PR83-S014,post-refactor-20,src/apps/daemon/internal/adapters/api/handlers_tor_ops.go;src/apps/daemon/internal/platform/system/tor_controller.go,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S014-target,n/a,n/a,normalize historical path-only target node(s) to one exact successor evidence node
PR83-S015,post-refactor-20,governance/convergence/post-refactor-83-peer-synthesis.md,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S015-target,n/a,n/a,normalize historical path-only target node(s) to one exact successor evidence node
PR83-S016,post-refactor-20,src/apps/daemon/internal/runtime/runtimecore/tor_engine.go,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S016-target,scripts/checks/check_post_refactor_83_convergence.py,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S016-test,normalize historical path-only target node(s) to one exact successor evidence node; disambiguate historically shared test_node while preserving original referenced evidence
PR83-S017,post-refactor-20,src/apps/daemon/internal/runtime/proxy/evasion_tunnel_dial.go,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S017-target,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S017-test,normalize historical path-only target node(s) to one exact successor evidence node; supply unique successor evidence node required by current disposition schema
PR83-S018,post-refactor-20,src/apps/daemon/internal/platform/system/host_network.go#HostNetworkChange,src/apps/daemon/internal/platform/system/host_network.go#HostNetworkChange,scripts/checks/check_host_network_ownership.py,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S018-test,disambiguate historically shared test_node while preserving original referenced evidence
PR83-S019,post-refactor-20,src/apps/daemon/internal/runtime/proxy/wstunnel.go,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S019-target,src/apps/daemon/internal/runtime/proxy/wstunnel_test.go#TestStunnelRejectsUntrustedCertificateWithoutPin,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S019-test,normalize historical path-only target node(s) to one exact successor evidence node; disambiguate historically shared test_node while preserving original referenced evidence
PR83-S020,post-refactor-20,governance/convergence/post-refactor-83-peer-synthesis.md,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S020-target,n/a,n/a,normalize historical path-only target node(s) to one exact successor evidence node
PR83-S021,post-refactor-20,governance/convergence/post-refactor-83-peer-synthesis.md,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S021-target,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S021-test,normalize historical path-only target node(s) to one exact successor evidence node; supply unique successor evidence node required by current disposition schema
PR83-S022,post-refactor-20,src/packages/lumicore/src/crypto/mod.rs,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S022-target,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S022-test,normalize historical path-only target node(s) to one exact successor evidence node; supply unique successor evidence node required by current disposition schema
PR83-S023,post-refactor-20,src/apps/daemon/internal/integrations/sub/aggregate.go#AggregateSubscriptions,src/apps/daemon/internal/integrations/sub/aggregate.go#AggregateSubscriptions,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S023-test,supply unique successor evidence node required by current disposition schema
PR83-S024,post-refactor-20,governance/convergence/post-refactor-83-peer-synthesis.md,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S024-target,n/a,n/a,normalize historical path-only target node(s) to one exact successor evidence node
PR83-S025,post-refactor-20,governance/convergence/post-refactor-83-nested-archives.csv,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S025-target,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S025-test,normalize historical path-only target node(s) to one exact successor evidence node; supply unique evidence node for historical verified status
PR83-S026,post-refactor-20,governance/convergence/post-refactor-83-peer-synthesis.md,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S026-target,n/a,n/a,normalize historical path-only target node(s) to one exact successor evidence node
PR83-S027,post-refactor-20,src/apps/daemon/internal/platform/system/host_network.go#HostNetworkChange,src/apps/daemon/internal/platform/system/host_network.go#HostNetworkChange,scripts/checks/check_host_network_ownership.py,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S027-test,disambiguate historically shared test_node while preserving original referenced evidence
PR83-S028,post-refactor-20,governance/convergence/post-refactor-83-nested-archives.csv,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S028-target,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S028-test,normalize historical path-only target node(s) to one exact successor evidence node; supply unique evidence node for historical verified status
PR83-S029,post-refactor-20,n/a,n/a,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S029-test,supply unique successor evidence node required by current disposition schema
PR83-S030,post-refactor-20,src/apps/daemon/internal/foundation/remoteaction/remoteaction.go#Executor;src/apps/daemon/internal/adapters/api/middleware.go,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR83-S030-target,n/a,n/a,normalize historical path-only target node(s) to one exact successor evidence node
PR97-S006,tor-wave-14,src/apps/daemon/internal/platform/system/tor_controller_protocol_test.go,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR97-S006-target,src/apps/daemon/internal/platform/system/tor_controller_protocol_test.go#TestTorControllerBoundsWholeReply,src/apps/daemon/internal/platform/system/tor_controller_protocol_test.go#TestTorControllerBoundsWholeReply,normalize historical path-only target node(s) to one exact successor evidence node
PR97-S008,tor-wave-14,src/apps/daemon/internal/platform/system/tor_controller.go#SignalNewNym,src/apps/daemon/internal/platform/system/tor_controller.go#SignalNewNym,src/apps/daemon/internal/platform/system/tor_controller_newnym_test.go#TestSignalNewNymSendsBoundedControlCommand,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR97-S008-test,disambiguate historically shared test_node while preserving original referenced evidence
PR97-S009,tor-wave-14,governance/convergence/post-refactor-97-omission-audit.md,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR97-S009-target,scripts/checks/check_post_refactor_97_convergence.py#semantic-PR97-S009,scripts/checks/check_post_refactor_97_convergence.py#semantic-PR97-S009,normalize historical path-only target node(s) to one exact successor evidence node
PR97-S010,tor-wave-14,src/apps/daemon/internal/platform/system,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR97-S010-target,scripts/checks/check_post_refactor_97_convergence.py#semantic-PR97-S010,scripts/checks/check_post_refactor_97_convergence.py#semantic-PR97-S010,normalize historical path-only target node(s) to one exact successor evidence node
PR97-S011,tor-wave-14,src/apps/daemon/internal/runtime/runtimecore/tor_engine.go,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR97-S011-target,scripts/checks/check_post_refactor_97_convergence.py#semantic-PR97-S011,scripts/checks/check_post_refactor_97_convergence.py#semantic-PR97-S011,normalize historical path-only target node(s) to one exact successor evidence node
PR97-S012,tor-wave-14,src/apps/daemon/internal/platform/system,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR97-S012-target,scripts/checks/check_post_refactor_97_convergence.py#semantic-PR97-S012,scripts/checks/check_post_refactor_97_convergence.py#semantic-PR97-S012,normalize historical path-only target node(s) to one exact successor evidence node
PR97-S013,tor-wave-14,src/apps/daemon/internal/platform/system,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR97-S013-target,scripts/checks/check_post_refactor_97_convergence.py#semantic-PR97-S013,scripts/checks/check_post_refactor_97_convergence.py#semantic-PR97-S013,normalize historical path-only target node(s) to one exact successor evidence node
PR97-S014,tor-wave-14,src/apps/daemon/internal/platform/system,governance/convergence/post-refactor-117-historical-evidence-anchors.md#PR97-S014-target,scripts/checks/check_post_refactor_97_convergence.py#semantic-PR97-S014,scripts/checks/check_post_refactor_97_convergence.py#semantic-PR97-S014,normalize historical path-only target node(s) to one exact successor evidence node
