donor,path,language,kind,symbol,line,visibility,module_id,module_disposition,high_signal,high_signal_keywords,needs_semantic_review,resolution,semantic_record_ids,resolved_disposition,rationale
Aether,aether/src/account.rs,rust,fn,enroll_key,538,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,extract_wg_peer,588,internal,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,register_with_team,603,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,provision_team,653,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,provision_wg,663,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,fetch_device,668,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,endpoint_from,689,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,refresh_profile,703,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,finish_provision,744,internal,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,const,MASQUE_CERT_LIFETIME_DAYS,789,public,aether-owner-account,resolved-by-semantic-ledger,yes,cert,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,const,MASQUE_CERT_LIFETIME_SECS,790,public,aether-owner-account,resolved-by-semantic-ledger,yes,cert,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,const,MASQUE_CERT_RENEW_BEFORE_SECS,791,public,aether-owner-account,resolved-by-semantic-ledger,yes,cert,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,now_unix,793,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,masque_cert_expiring,800,public,aether-owner-account,resolved-by-semantic-ledger,yes,cert,no,semantic-child,SEM056,reference-only,"Strong lifecycle predicate, but LumiNet currently has no persisted MASQUE certificate owner to harden without introducing a new transport/auth plane."
Aether,aether/src/account.rs,rust,struct,MasqueEnrollment,812,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,ensure_masque_enrolled,819,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,cert_still_usable,863,public,aether-owner-account,resolved-by-semantic-ledger,yes,cert,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,private_key_bytes,878,public,aether-owner-account,resolved-by-semantic-ledger,yes,private,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,peer_public_key_bytes,882,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,has_masque_credentials,886,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,the_certificate_lives_far_longer_than_a_day,898,internal,aether-owner-account,resolved-by-semantic-ledger,yes,cert,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,a_missing_issue_time_counts_as_expiring,904,internal,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,a_fresh_certificate_is_not_expiring,909,internal,aether-owner-account,resolved-by-semantic-ledger,yes,cert,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,a_certificate_older_than_a_day_is_still_valid,914,internal,aether-owner-account,resolved-by-semantic-ledger,yes,valid;cert,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,a_certificate_inside_the_renewal_window_is_expiring,919,internal,aether-owner-account,resolved-by-semantic-ledger,yes,cert,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,a_certificate_issued_in_the_future_counts_as_expiring,925,internal,aether-owner-account,resolved-by-semantic-ledger,yes,cert,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,sample_identity,929,internal,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,a_certificate_inside_its_lifetime_is_still_usable_offline,948,internal,aether-owner-account,resolved-by-semantic-ledger,yes,cert,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,a_certificate_past_its_lifetime_is_not_usable,954,internal,aether-owner-account,resolved-by-semantic-ledger,yes,cert,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,a_missing_certificate_is_never_usable,960,internal,aether-owner-account,resolved-by-semantic-ledger,yes,cert,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,a_rate_limited_rejection_explains_the_wait,966,internal,aether-owner-account,resolved-by-semantic-ledger,yes,limit,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,a_forbidden_rejection_mentions_the_flagged_address,977,internal,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,only_transient_statuses_are_retried,983,internal,aether-owner-account,resolved-by-semantic-ledger,yes,status,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,the_backoff_grows_and_stays_bounded,991,internal,aether-owner-account,resolved-by-semantic-ledger,yes,backoff;bound,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,a_retry_after_header_is_honoured_but_capped,1000,internal,aether-owner-account,resolved-by-semantic-ledger,yes,retry,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,a_missing_retry_after_header_is_ignored,1013,internal,aether-owner-account,resolved-by-semantic-ledger,yes,retry,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,the_camouflaged_route_can_register_a_real_device,1020,internal,aether-owner-account,resolved-by-semantic-ledger,yes,route,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,a_generated_certificate_is_not_immediately_stale,1049,internal,aether-owner-account,resolved-by-semantic-ledger,yes,cert,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/aethernoize.rs,rust,struct,AetherNoizeConfig,9,public,aether-owner-aethernoize,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM070.
Aether,aether/src/aethernoize.rs,rust,fn,off,27,public,aether-owner-aethernoize,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM070.
Aether,aether/src/aethernoize.rs,rust,fn,light,46,public,aether-owner-aethernoize,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM070.
Aether,aether/src/aethernoize.rs,rust,fn,balanced,65,public,aether-owner-aethernoize,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM070.
Aether,aether/src/aethernoize.rs,rust,fn,aggressive,84,public,aether-owner-aethernoize,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM070.
Aether,aether/src/aethernoize.rs,rust,fn,is_enabled,103,public,aether-owner-aethernoize,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM070.
Aether,aether/src/aethernoize.rs,rust,fn,from_profile,108,public,aether-owner-aethernoize,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM070.
Aether,aether/src/aethernoize.rs,rust,fn,parse_range,117,internal,aether-owner-aethernoize,resolved-by-semantic-ledger,yes,parse;range,no,semantic-child,SEM070,superseded,Same responsibility already lives in target decoy/evasion owners.
Aether,aether/src/aethernoize.rs,rust,fn,parse_cps,129,public,aether-owner-aethernoize,resolved-by-semantic-ledger,yes,parse,no,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM070.
Aether,aether/src/aethernoize.rs,rust,fn,wrap_ikev2,201,internal,aether-owner-aethernoize,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM070.
Aether,aether/src/aethernoize.rs,rust,fn,generate_junk,243,internal,aether-owner-aethernoize,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM070.
Aether,aether/src/aethernoize.rs,rust,fn,send_connected,267,internal,aether-owner-aethernoize,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM070.
Aether,aether/src/aethernoize.rs,rust,fn,apply_obfuscation,271,public,aether-owner-aethernoize,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM070.
Aether,aether/src/aethernoize.rs,rust,fn,send_post_handshake_junk,316,public,aether-owner-aethernoize,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM070.
Aether,aether/src/aethernoize.rs,rust,fn,send_keepalive_junk,326,public,aether-owner-aethernoize,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM070.
Aether,aether/src/apifront.rs,rust,const,EDGE_PREFIX,12,internal,aether-owner-apifront,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM054.
Aether,aether/src/apifront.rs,rust,const,EDGE_SAMPLES,13,internal,aether-owner-apifront,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM054.
Aether,aether/src/apifront.rs,rust,const,RESOLVED_SAMPLES,14,internal,aether-owner-apifront,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM054.
Aether,aether/src/apifront.rs,rust,const,CONNECT_TIMEOUT,16,internal,aether-owner-apifront,resolved-by-semantic-ledger,yes,timeout,no,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM054.
Aether,aether/src/apifront.rs,rust,const,HANDSHAKE_TIMEOUT,17,internal,aether-owner-apifront,resolved-by-semantic-ledger,yes,timeout,no,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM054.
Aether,aether/src/apifront.rs,rust,const,EXCHANGE_TIMEOUT,18,internal,aether-owner-apifront,resolved-by-semantic-ledger,yes,timeout,no,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM054.
Aether,aether/src/apifront.rs,rust,const,MAX_BODY,19,internal,aether-owner-apifront,resolved-by-semantic-ledger,yes,max;body,no,semantic-child,SEM054,hardened,Target had unbounded provider/DNS/covert response reads; donor 512KiB ceiling exposed the broader missing invariant that every remote protocol/control reader needs an owner-specific payload ceiling.
Aether,aether/src/apifront.rs,rust,const,LEGACY_CIPHERS,21,internal,aether-owner-apifront,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM054.
Aether,aether/src/apifront.rs,rust,const,LEGACY_GROUPS,28,internal,aether-owner-apifront,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM054.
Aether,aether/src/apifront.rs,rust,const,MODERN_GROUPS,29,internal,aether-owner-apifront,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM054.
Aether,aether/src/apifront.rs,rust,const,CHROME_GROUPS,30,internal,aether-owner-apifront,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM054.
Aether,aether/src/apifront.rs,rust,const,ALPN_HTTP1,32,internal,aether-owner-apifront,resolved-by-semantic-ledger,yes,http,no,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM054.
Aether,aether/src/apifront.rs,rust,enum,Fingerprint,35,public,aether-owner-apifront,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM054.
Aether,aether/src/apifront.rs,rust,fn,label,42,public,aether-owner-apifront,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM054.
Aether,aether/src/apifront.rs,rust,fn,all,50,internal,aether-owner-apifront,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM054.
