donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,surface_disposition,surface_rationale,predecessor_wave,post_refactor_228_review,post_refactor_228_record_ids
browser-ext,online.png,a5440b73954477e35a46cde477466775de5c0742def2c5e86f1cd94871cf4395,11971,file,other,fixture,supporting-evidence,PR226-R133;PR226-M134,accounted-supporting-fixture,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,popup.html,43753e6302c1532abc25070ab3e17cd2f50309a8f3bd3a40315c019554e78934,12019,file,HTML,ui-or-product,authoritative-source,PR226-R133;PR226-M134;PR226-F0009,focused-file-ui-or-product,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,popup.js,150a929e35f1505a1fc4eee2866f38af461d3ef068310ffaa08dbe81d58284e4,3441,file,JavaScript,implementation,authoritative-source,PR226-R133;PR226-M134;PR226-F0010,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,ts-browser-ext.go,6a29f5094a0ac00a35db0a7765dfc0195dbbc5c49e3d225cdd6166639cf1b5e8,15558,file,Go,implementation,authoritative-source,PR226-R133;PR226-M134;PR226-F0011,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,.gitignore,d1c1339f840883337410e8282b506c44aacdce69ad1ded2b3608f2435fba40c5,44,file,other,repository-administration,supporting-evidence,PR226-R139;PR226-M140,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,LICENSE,55c78dbdc3784a1bf121bdefe0a6020265bed65c09b90d3e7f576ece5f85a9ea,1059,file,other,documentation,supporting-evidence,PR226-R139;PR226-M140,accounted-supporting-documentation,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,PRINCIPLES.md,3b997bbdbd39ff8e7e59a823051112edde1bdb6aef25bf7be31ea53e63687a87,6196,file,Markdown,documentation,supporting-evidence,PR226-R139;PR226-M140,accounted-supporting-documentation,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,PR228-WG002
mwgp,README.md,93a075b179920b2b43b3061833f5a4b0e12620b9d36da4b304f2a15fcc86f077,6114,file,Markdown,documentation,supporting-evidence,PR226-R139;PR226-M140,accounted-supporting-documentation,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,cache.go,61286e9666017326274c37b7e98122fe3239c20121b8a36c448335919f6bc53a,4264,file,Go,implementation,authoritative-source,PR226-R139;PR226-M140;PR226-F0012,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,client.go,592c6416dadd5690dc4300d86f7cde8488eae1f8fc5a54243f42dfc7583ad7fd,3637,file,Go,implementation,authoritative-source,PR226-R139;PR226-M140;PR226-F0013,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,cmd/mwgp/.gitignore,f552469ded8234c648806622edf052ec63750a348d8afe9df543c8a8f56202ff,14,file,other,repository-administration,supporting-evidence,PR226-R139;PR226-M141,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,cmd/mwgp/main.go,db6156f9a6e9dca103a84ca0aaf09c17e3d30b688774ba259b7808e9427fc719,3993,file,Go,implementation,authoritative-source,PR226-R139;PR226-M141;PR226-F0014,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,cmd/mwgp/pprof.go,121a2c513e47cf44bfa64925e6722a5ee90c58f66187685dfc4f2e87c47d0b53,311,file,Go,implementation,authoritative-source,PR226-R139;PR226-M141;PR226-F0015,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,debug.go,f98f6f62d220d1ba198782f08399139656d3f29f5120d0b2c543114f8adc3aa0,61,file,Go,implementation,authoritative-source,PR226-R139;PR226-M140;PR226-F0016,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,go.mod,58e8bdb79f0dfc86044be520d066c9b15f92be1d3d00f2a0f3d12fbf882b4016,1334,file,other,configuration,authoritative-source,PR226-R139;PR226-M140;PR226-F0017,focused-file-configuration,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,go.sum,6f58641aeaa46ad30005ba0f05e4b1f161aab2ee5a6c63bdf74527b28bd5bde1,50182,file,other,configuration,authoritative-source,PR226-R139;PR226-M140;PR226-F0018,focused-file-configuration,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,noise-helpers.go,af4ee5a9ba7042a02490d184754b049bfc09809a585eceaa670801d3dba6443a,3590,file,Go,implementation,authoritative-source,PR226-R139;PR226-M140;PR226-F0019,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,noise-helpers_test.go,f0855884142278ede11e70d8dde4d398aeec47d3d47f66f23495a9620e99c832,514,file,Go,test,authoritative-source,PR226-R139;PR226-M140;PR226-F0020,focused-file-test,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,obfs.go,0a571a96102c4ba83ba459bb03ee89615c4c8959442a9672d9a03cb0ecdd63c1,8651,file,Go,implementation,authoritative-source,PR226-R139;PR226-M140;PR226-F0021,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,obfs_test.go,740ec8d8b064ebe2bbf72dd7f5c3696e63e6bc507156a55580969c71ef64d9ff,3013,file,Go,test,authoritative-source,PR226-R139;PR226-M140;PR226-F0022,focused-file-test,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,packet.go,e031bd80519e4f64eec342968eceaf11d0ad8cf4c5db12b8542830a1b0fcf0ce,2664,file,Go,implementation,authoritative-source,PR226-R139;PR226-M140;PR226-F0023,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,release/build.sh,725dbdb2d34380c1b018b417d929976a6ea7a1469cefbf1051a5afead5aab73e,364,file,Shell,script,authoritative-source,PR226-R139;PR226-M142;PR226-F0024,focused-file-script,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,release/mwgp-client@.service,a1c22fb2cd791d14a60099e83d0ac1f136938f5f3341c60fbe61d70ca6169ffa,472,file,other,deployment,authoritative-source,PR226-R139;PR226-M142;PR226-F0025,focused-file-deployment,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,release/mwgp-server@.service,ceb5b75e04f24cb582cc80c3f7d7ebabffab4f53a577091c6d0dc7a0d23b5f1e,436,file,other,deployment,authoritative-source,PR226-R139;PR226-M142;PR226-F0026,focused-file-deployment,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,release/sysusers.conf,7b631846157bc77a64d39efef19d586cf4c91307e0bd789ec39f9a148e4fcb0f,33,file,other,configuration,authoritative-source,PR226-R139;PR226-M142;PR226-F0027,focused-file-configuration,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,release/tmpfiles.conf,133c9d3e9481a16ce4cee3c79619bb7818e68f3111d650d70e75c02c420220d9,33,file,other,configuration,authoritative-source,PR226-R139;PR226-M142;PR226-F0028,focused-file-configuration,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,resolver.go,b047dbe8133dcfd4f7bbce93268a25743ea16a6a3559f3c78cfd1c90d6637c3f,924,file,Go,implementation,authoritative-source,PR226-R139;PR226-M140;PR226-F0029,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,resolvers/dns/resolver.go,50888ea1d3b3a57cbb53af23d8cfe9616684904d497d38af90c00ed86aeacb5d,1752,file,Go,implementation,authoritative-source,PR226-R139;PR226-M143;PR226-F0030,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,resolvers/hn2etxt/resolver.go,eea73ebc1869af4e71ab71a8e63719900dc75d59e92a7670ed966fb2c022c126,4594,file,Go,implementation,authoritative-source,PR226-R139;PR226-M143;PR226-F0031,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,resolvers/hn2etxt/resolver_test.go,d52cfac1d79b221a6e39e8ffecaff8c8473bac64431f0242965a60364b2e813c,2612,file,Go,test,authoritative-source,PR226-R139;PR226-M143;PR226-F0032,focused-file-test,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,server.go,f3a6ebb03f4c75ca9b3489c806752964c16dd54ac9ddd6ec5f246c0baa3f862e,8100,file,Go,implementation,authoritative-source,PR226-R139;PR226-M140;PR226-F0033,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,server.test.json,aca2fd22ef5f4f65ed08056577fa6de7f3259aa16570156886a60b10b6d12ded,2008,file,JSON,configuration,authoritative-source,PR226-R139;PR226-M140;PR226-F0034,focused-file-configuration,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,server_test.go,bade2ffc78a908edd17c133df9709552b0718d289e2fc65c09a7d3aece1d5f71,2174,file,Go,test,authoritative-source,PR226-R139;PR226-M140;PR226-F0035,focused-file-test,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
mwgp,wgit.go,e90ba5f8584a12405d005c90a467ac17687b093469fa8c1b6193e4f679515a2e,20154,file,Go,implementation,authoritative-source,PR226-R139;PR226-M140;PR226-F0036,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,PR228-WG001
mwgp,wgit_test.go,9570c9b520657a76158820c06dd130b3303d1209fb962c5644f97286b60b0423,377,file,Go,test,authoritative-source,PR226-R139;PR226-M140;PR226-F0037,focused-file-test,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
paas-gateway,.github/workflows/container-build.yml,9a920540d44b1cf3b83a18b6550c4cc6a839cd8b66cb1ce69dcb49d03d808c04,1464,file,YAML,repository-administration,supporting-evidence,PR226-R144,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
paas-gateway,.gitignore,95e0a42d9d6b5d82bdb3752f4d31f3fe7d0150c6b512bc094985b1a2b24b192b,10,file,other,repository-administration,supporting-evidence,PR226-R144;PR226-M145,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
paas-gateway,Dockerfile,588eb18d52a2ce4e7fceebbd80e8f7a6669807b8954bca3bf8d8108b81b6d8fa,415,file,Dockerfile,deployment,authoritative-source,PR226-R144;PR226-M145;PR226-F0038,focused-file-deployment,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
paas-gateway,LICENSE,a3189e8fd1309078fc3780ad71c930de09e652a1c6151e6994281497b4284109,1069,file,other,documentation,supporting-evidence,PR226-R144;PR226-M145,accounted-supporting-documentation,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
paas-gateway,README.md,7a5c162dabb1018709cdd4e8041ea1d0ab466137e0453047b31865ae590ef37c,12127,file,Markdown,documentation,supporting-evidence,PR226-R144;PR226-M145,accounted-supporting-documentation,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
paas-gateway,app.json,7d947be6253edb7b1cb95bb7ebeab136c4269eb8ecabcee16f48bcbb42bd1318,1473,file,JSON,configuration,authoritative-source,PR226-R144;PR226-M145;PR226-F0039,focused-file-configuration,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,PR228-GW001
paas-gateway,content/Caddyfile,25d942deb0526f82805ea2fe70ac3ee92881e8c96abd0ecfdef27d0ecbe164e5,1402,file,other,repository-administration,supporting-evidence,PR226-R144;PR226-M146,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
paas-gateway,content/argo.yaml,45e5e97ed8427bcbdc832f49e437d3316f5ed17f5461bfb52933387ac4f3c3e4,78,file,YAML,configuration,authoritative-source,PR226-R144;PR226-M146;PR226-F0040,focused-file-configuration,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
paas-gateway,content/config-wg.json,8f544d3bb4570368cd8a996e6d835807e2dd3c3875a4b872b760fd7029142a49,4020,file,JSON,configuration,authoritative-source,PR226-R144;PR226-M146;PR226-F0041,focused-file-configuration,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
paas-gateway,content/install.sh,ad45d770f10e2830657eca3672aeeaf78ad07efd42b77942c640df76e9980b23,1210,file,Shell,script,authoritative-source,PR226-R144;PR226-M146;PR226-F0042,focused-file-script,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
paas-gateway,content/service/1/run,ca8c328f877921f839ebd0c38e9ee7cc90f55dd590c09d29f9746cb81ac86ee7,796,file,other,repository-administration,supporting-evidence,PR226-R144;PR226-M146,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
paas-gateway,content/service/2/run,c7ae674ca2a3a989134aa8c4079be9a0523612ae51554b095f66a29dc9c25a00,138,file,other,repository-administration,supporting-evidence,PR226-R144;PR226-M146,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
paas-gateway,content/service/caddy/run,b46136fb48d493de0f3a214621a053f99f257dca505b3cfd6057dc27d750b858,83,file,other,repository-administration,supporting-evidence,PR226-R144;PR226-M146,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
paas-gateway,content/service/cloudflared/run,95338b90f5873c775d6d952fc9a59f516bba927c8536cb0960a73ba161c8b26b,405,file,other,repository-administration,supporting-evidence,PR226-R144;PR226-M146,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
paas-gateway,content/service/nodestatus-client/run,1aa1c65ce9ad59c321a7d816988e18053f1886ccc261e56b2d0b1ef181925c9d,287,file,other,repository-administration,supporting-evidence,PR226-R144;PR226-M146,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
paas-gateway,fly.toml,41066ea890acd83ef8a2f205d44a27bb41eca1a3eda2bfff4901be8fefbff000,555,file,TOML,configuration,authoritative-source,PR226-R144;PR226-M145;PR226-F0043,focused-file-configuration,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
paas-gateway,heroku.yml,36884a7dfe8f57bbf044b7fdb3d42f8e1920d819a28cec9341f2fc4f33440d1f,37,file,YAML,configuration,authoritative-source,PR226-R144;PR226-M145;PR226-F0044,focused-file-configuration,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
reverse-tls,LICENSE,6be9ffda49512473ee527373774209c939aa217e036061c5afed2a80dc80bbb0,1062,file,other,documentation,supporting-evidence,PR226-R147;PR226-M148,accounted-supporting-documentation,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
reverse-tls,README.md,e6eac86795e73f9320d203090a3155cf28a8b9d5a8cd58c58561f51bb35b41b8,28259,file,Markdown,documentation,supporting-evidence,PR226-R147;PR226-M148,accounted-supporting-documentation,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,PR228-GW002
reverse-tls,go.sh,d86ea3f169fb09f29f78e1d90391e28369e5af398b519a610bee28f5d539aaef,1288,file,Shell,script,authoritative-source,PR226-R147;PR226-M148;PR226-F0045,focused-file-script,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
reverse-tls,tls.go,b1b105e1c4db981bec16e96120da98f6344c7dbf0a2bbcae8513472b31f374ce,159486,file,Go,implementation,authoritative-source,PR226-R147;PR226-M148;PR226-F0046,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
reverse-tls,tls_backup.go,9be4060514c2d34d24019bc729ae645aabc32b3570a6d436b08188d45ee7c8d4,97007,file,Go,implementation,authoritative-source,PR226-R147;PR226-M148;PR226-F0047,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
shadowsocks-crypto,.github/workflows/build-and-test.yml,3baa331bc947d3120b2d7ac5fb06a311267e36bba9d0144383adee75dc0fe48c,969,file,YAML,repository-administration,supporting-evidence,PR226-R001,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
shadowsocks-crypto,.github/workflows/clippy-check.yml,84cf9b12552561e7935738bdaeaa2c17a4c1f666b7d99052b4bae42a3242900c,852,file,YAML,repository-administration,supporting-evidence,PR226-R001,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
shadowsocks-crypto,.gitignore,058c66370b56c98fed43ebae8f07e5b9a2be19d64f72c934e9b31c98f0d21f87,349,file,other,repository-administration,supporting-evidence,PR226-R001;PR226-M002,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
shadowsocks-crypto,Cargo.toml,9b4b321e6fb26ffba17481e6a01ff6ecb93488dce07d2e1405353957c2ae99f9,3136,file,TOML,configuration,authoritative-source,PR226-R001;PR226-M002;PR226-F0048,focused-file-configuration,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
shadowsocks-crypto,LICENSE,fbceed46c12ff19e132ca7a8bb8fd5ed92d0baea3f2ef7db67aee774c01b3849,1063,file,other,documentation,supporting-evidence,PR226-R001;PR226-M002,accounted-supporting-documentation,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
shadowsocks-crypto,README.md,570c9d649e52c2c68cf4f6ddbfdd118b66e02ef68827e771621ce4c05b342e37,1619,file,Markdown,documentation,supporting-evidence,PR226-R001;PR226-M002,accounted-supporting-documentation,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
shadowsocks-crypto,rustfmt.toml,b65e4b657ca89f75cf8a2000b682cc7ff41877bd1d14828336283227bac5a637,476,file,TOML,configuration,authoritative-source,PR226-R001;PR226-M002;PR226-F0049,focused-file-configuration,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
shadowsocks-crypto,src/kind.rs,d2c4732f6222617f6f07f06389c4c55d3f62b465cb5bb885f8b385b0b861824d,31170,file,Rust,implementation,authoritative-source,PR226-R001;PR226-M003;PR226-F0050,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
shadowsocks-crypto,src/lib.rs,d94522adfaf6ed0c5f035c10dcd33845ca386fec9cf6dff86db978772ab1f811,4118,file,Rust,implementation,authoritative-source,PR226-R001;PR226-M003;PR226-F0051,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
shadowsocks-crypto,src/utils.rs,204553abe8ae0b610933f603118c4611109d950a233dce1fb8c57db31ee94f82,678,file,Rust,implementation,authoritative-source,PR226-R001;PR226-M003;PR226-F0052,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
shadowsocks-crypto,src/v1/aeadcipher/aes_ccm.rs,d4e316fca751703f7d8343d79f10fc9a435fb3accf70b160851900594bc8f90c,2959,file,Rust,implementation,authoritative-source,PR226-R001;PR226-M003;PR226-F0053,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
shadowsocks-crypto,src/v1/aeadcipher/aes_gcm.rs,16748762320b79ca79cd8c90dc83b04fb8350624b9df2405aff97ed2de8563ca,7326,file,Rust,implementation,authoritative-source,PR226-R001;PR226-M003;PR226-F0054,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
shadowsocks-crypto,src/v1/aeadcipher/aes_gcm_siv.rs,6236f2565ddb8b22cacbf69b15789c113ccb7d98f173c3415763fe44da38cfb0,6337,file,Rust,implementation,authoritative-source,PR226-R001;PR226-M003;PR226-F0055,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
shadowsocks-crypto,src/v1/aeadcipher/chacha20_poly1305.rs,a7685eeb486c746a8c249c30bb804ad50e727ece6e8f366c34bd0499542b0d46,4783,file,Rust,implementation,authoritative-source,PR226-R001;PR226-M003;PR226-F0056,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
shadowsocks-crypto,src/v1/aeadcipher/mod.rs,aa80c786da39203cc98b5219664c27f3ee83b700df9bf1fafd3c4df013b60c02,9570,file,Rust,implementation,authoritative-source,PR226-R001;PR226-M003;PR226-F0057,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
