path,change_type,accountability_class,third_wave_record_ids,reason,verification_node,second_order_sha256,current_sha256
src/apps/daemon/internal/networking/proxyconfig/finalmask.go,added,semantic-owner,TW-SEM003,Target-native proxy grammar or core-compatibility owner for third-wave semantics,scripts/checks/check_third_wave_runtime.py#check_runtime,n/a,9f32f4aba06eefc7c53720e48da218e23d95db14cb1546088e056c78019a369e
src/apps/daemon/internal/networking/proxyconfig/hysteria2_fields.go,added,semantic-owner,TW-SEM009;TW-SEM010;TW-SEM011,Target-native proxy grammar or core-compatibility owner for third-wave semantics,scripts/checks/check_third_wave_runtime.py#check_runtime,n/a,1ef0328d2ffea4d2cd6318813c6210ef2b68efcd67b1912f9707c0d7a0dec6f2
src/apps/daemon/internal/networking/proxyconfig/parser_hy2.go,modified,semantic-owner,TW-SEM009;TW-SEM010;TW-SEM011,Target-native proxy grammar or core-compatibility owner for third-wave semantics,scripts/checks/check_third_wave_runtime.py#check_runtime,4473d7c4e9207f7ad0de63f550953634db1e04507e127b8f729e538ada9dd717,5d00af94ba2b4537f5a6206dab5fac007ffffe9ee90c2921533c36e0d9153339
src/apps/daemon/internal/networking/proxyconfig/parser_trojan.go,modified,semantic-owner,TW-SEM001;TW-SEM004,Target-native proxy grammar or core-compatibility owner for third-wave semantics,scripts/checks/check_third_wave_runtime.py#check_runtime,13892927a0c3f46142036560b5b71f287225ba66574892d88d90c81f19e6b390,947ce4f2f61c9a82f7659e15c1134635ae4814ecec7780c8d84a292909275b39
src/apps/daemon/internal/networking/proxyconfig/parser_vless.go,modified,semantic-owner,TW-SEM001;TW-SEM004;TW-SEM006,Target-native proxy grammar or core-compatibility owner for third-wave semantics,scripts/checks/check_third_wave_runtime.py#check_runtime,6cc3a372a323cb15388b89dd710e1c2cd764393607a114395c4db8e1c54fa417,3030ca5f9f5e54f07aa7a9c18a76a5dec77086b89149a7815093055e1ed66e58
src/apps/daemon/internal/networking/proxyconfig/parser_vmess.go,modified,semantic-owner,TW-SEM001;TW-SEM004;TW-SEM006,Target-native proxy grammar or core-compatibility owner for third-wave semantics,scripts/checks/check_third_wave_runtime.py#check_runtime,2b95669df2af405c698199bf66e4dca87333cf380b6e9db2ab72dc3be029f06d,a123f2e3ce2d131ede51a2b201f997ca4a918f60ede0311ab6590a637aefdc80
src/apps/daemon/internal/networking/proxyconfig/parser_wg.go,modified,semantic-owner,TW-SEM007;TW-SEM008,Target-native proxy grammar or core-compatibility owner for third-wave semantics,scripts/checks/check_third_wave_runtime.py#check_runtime,5d22d694259c0990da743a49358b19e8cbfa1bdd4ad5d354cdee6d1a6a1a3313,177ef003cb786b02105a95ba006226f34549072b6e20ff9283bbaf597487555d
src/apps/daemon/internal/networking/proxyconfig/third_wave_contract_test.go,added,acceptance-evidence,TW-SEM001;TW-SEM002;TW-SEM003;TW-SEM004;TW-SEM005;TW-SEM006;TW-SEM007;TW-SEM008;TW-SEM009;TW-SEM010;TW-SEM011;TW-SEM012;TW-SEM029,Third-wave proxy grammar/core compatibility acceptance evidence,scripts/checks/check_third_wave_runtime.py#check_runtime,n/a,dda5e4f1cf7e78b0700b97670bf90c8ddeffe67c428de2dff7a17b09ec73fa84
src/apps/daemon/internal/networking/proxyconfig/types.go,modified,semantic-owner,TW-SEM001;TW-SEM003;TW-SEM004;TW-SEM006;TW-SEM007;TW-SEM009,Target-native proxy grammar or core-compatibility owner for third-wave semantics,scripts/checks/check_third_wave_runtime.py#check_runtime,c95f5803e4fc14c38532ff44fa56b58b2b3a1861403ea6187171e38ddbb59cab,c1b10dd2fdc14b0f588e6470868edad63ebd9fe066790507a908df1afd61cb07
src/apps/daemon/internal/networking/proxyconfig/xhttp.go,added,semantic-owner,TW-SEM004;TW-SEM005,Target-native proxy grammar or core-compatibility owner for third-wave semantics,scripts/checks/check_third_wave_runtime.py#check_runtime,n/a,f3f40b14df7417cd0b8cd923cccf8eb65d8eee45f72f16acfd5fc60fdfc36ee4
src/apps/daemon/internal/networking/proxyconfig/xray_tls.go,added,semantic-owner,TW-SEM001;TW-SEM029,Target-native proxy grammar or core-compatibility owner for third-wave semantics,scripts/checks/check_third_wave_runtime.py#check_runtime,n/a,1802d10a74b7fadac24677e080c4e25f1590698f14ab2b975fd72a17f2c8bd27
src/apps/daemon/internal/runtime/proxy/accept_backoff.go,modified,semantic-owner,TW-SEM015,Runtime integration or listener recovery hardening for third-wave convergence,scripts/checks/check_third_wave_runtime.py#check_runtime,1aa8cf491a23fd833cfc231398e6379c6fd90f2df827fa7b8ec7e1bbc64134d8,fec2b7910e65f784350854510e4cc5b67e0e4baac5a6aa69e0ee17c2e8e1367a
src/apps/daemon/internal/runtime/proxy/accept_backoff_test.go,modified,acceptance-evidence,TW-SEM015,Runtime integration or listener recovery hardening for third-wave convergence,scripts/checks/check_third_wave_runtime.py#check_runtime,a87569d13c6cc341d8dfe66924a6f8a0394d2122289b41ba64824292a615975e,3b059b3a54ab8e6aa01c9bc55bede75b4534309c915eb684d2866c6388697f80
src/apps/daemon/internal/runtime/proxy/core_manager.go,modified,semantic-owner,TW-SEM005;TW-SEM006;TW-SEM007;TW-SEM010;TW-SEM012,Runtime integration or listener recovery hardening for third-wave convergence,scripts/checks/check_third_wave_runtime.py#check_runtime,b50f4d09266274171e07eb65baa7503fccdeed3beb4ca21d42b97a2e6d54be4d,5a7e2b3f431dce642f9d93299e0ea867141726b731371c7b54c3ba092adf8792
src/apps/daemon/internal/runtime/proxy/gfwknocker.go,modified,semantic-owner,TW-SEM015,Runtime integration or listener recovery hardening for third-wave convergence,scripts/checks/check_third_wave_runtime.py#check_runtime,0b476d2aa9eaddcfe2273469d52991e7128b12bdb25f6751dae213b374fee8bb,1b308b9882dd234d9a9df3ac2e30171d7fd24cf8461f1d1ea591576575961e11
src/apps/daemon/internal/runtime/proxy/hysteria2_obfs.go,modified,semantic-owner,TW-SEM010;TW-SEM012,Runtime integration or listener recovery hardening for third-wave convergence,scripts/checks/check_third_wave_runtime.py#check_runtime,d8767b042831da00383d525579433845680fd222f7c799a6ed1e382d9fdda538,a16022a9dae633af651b0667d3d108d56a526f62cd76f37f6ae24719da060d1f
src/apps/daemon/internal/runtime/proxy/proxyconfig_internal.go,modified,semantic-owner,TW-SEM005;TW-SEM012,Runtime integration or listener recovery hardening for third-wave convergence,scripts/checks/check_third_wave_runtime.py#check_runtime,60809cb0aaaef7c5ad61de6f156dd2bdd947630e24cd3f62b04f7a03bad0ab0c,7fe5cfef8132959c47f6f205114836ebd7111994cfbd639b56566ae1981646a4
src/apps/daemon/internal/runtime/proxy/ss_server.go,modified,semantic-owner,TW-SEM015,Runtime integration or listener recovery hardening for third-wave convergence,scripts/checks/check_third_wave_runtime.py#check_runtime,abee2ec03c1274e70a6e97d958fb30dd8e4b290820f958e039a9a591d4ab017c,b21e051309d2e72ded402491db434791ac1e6eda87ba25334ba73da960c79d5a
