donor,donor_path,value_unit,donor_outcome,target_owner,reason,guardrail
dns-tunnel-deploy,dnstt-deploy.sh,1232 MTU default and 512..1400 operational range,adapted,src/apps/daemon/internal/networking/dnstunnel/deployment_plan.go,MTU becomes a validated planning parameter without OS mutation.,donor runtime or authority is not imported implicitly
dns-tunnel-deploy,dnstt-deploy.sh,unprivileged UDP/5300 listener plus UDP/53 redirect,adapted,src/apps/daemon/internal/networking/dnstunnel/deployment_plan.go,Privileged port ownership is separated from the DNSTT service listener.,donor runtime or authority is not imported implicitly
dns-tunnel-deploy,dnstt-deploy.sh,non-login dnstt service account,adapted,src/apps/daemon/internal/networking/dnstunnel/deployment_plan.go,Service identity is modeled as a bounded Unix account name and disclosed before deployment.,donor runtime or authority is not imported implicitly
dns-tunnel-deploy,dnstt-deploy.sh,per-domain key generation/reuse,adapted,src/apps/daemon/internal/networking/dnstunnel/deployment_plan.go,Planner models key lifecycle but generates no keys and returns no private material.,private keys remain release/deployment-owner state and are not exposed by the planner
dns-tunnel-deploy,dnstt-deploy.sh,systemd service unit hardening and enable/start sequence,adapted,src/apps/daemon/internal/networking/dnstunnel/deployment_plan.go,Mutation steps are represented as an ordered dry-run with rollback rather than executed by the API.,donor runtime or authority is not imported implicitly
dns-tunnel-deploy,dnstt-deploy.sh,SOCKS/SSH local forward target modes,adapted,src/apps/daemon/internal/networking/dnstunnel/deployment_plan.go,Target mode/port are validated before deployment planning.,donor runtime or authority is not imported implicitly
dns-tunnel-deploy,dnstt-deploy.sh,root download/install/update/firewall/service mutation,rejected,src/apps/daemon/internal/networking/dnstunnel/deployment_plan.go,Root deployment authority is not exposed through LumiNet planning endpoints.,"planner performs no download, firewall/systemd mutation, key generation, or service restart"
dns-tunnel-deploy,dnstt-deploy.sh,firewall persistence and cleanup sequence,adapted,src/apps/daemon/internal/networking/dnstunnel/deployment_plan.go,Task-owned redirect/service changes receive explicit rollback ordering while keys are retained unless destruction is explicit.,donor runtime or authority is not imported implicitly
outline-client,src/www/app/outline_server_repository/access_key_serialization.ts,static ss:// access-key parsing,adapted,src/apps/daemon/internal/analysis/diagnostics/outline_access_plan.go,Static Outline keys reuse canonical Shadowsocks parsing and runtime compatibility truth.,donor runtime or authority is not imported implicitly
outline-client,src/www/app/app.ts,static ss:// key embedded in HTTP(S) invite fragment,adapted,src/apps/daemon/internal/integrations/sub/outline_import.go;src/apps/daemon/internal/integrations/sub/ingest.go,"Static invite fragments are unwrapped locally before generic subscription parsing, with no URL fetch.",invite URL content is never fetched merely to unwrap a static fragment
outline-client,src/www/app/outline_server_repository/access_key_serialization.ts,ssconf:// to HTTPS remote configuration resolution,adapted,src/apps/daemon/internal/analysis/diagnostics/outline_access_plan.go,Dynamic access keys become an HTTPS fetch proposal only; live retrieval must later pass canonical guarded egress.,planner performs no ssconf fetch or redirect following
outline-client,src/www/app/outline_server_repository/access_key_serialization.ts,static access-key prefix compatibility,superseded,src/apps/daemon/internal/networking/proxyconfig/core_compat.go,Existing canonical proxyconfig and external-core compatibility own SIP003/prefix support and fail closed where unsupported.,donor runtime or authority is not imported implicitly
outline-client,src/www/app/app.ts,clipboard/deep-link access-key interception,superseded,src/apps/daemon/internal/integrations/sub/outline_import.go,Only explicit local parsing paths are adopted; ambient clipboard/navigation authority is not required.,static invite ingestion requires supplied content and performs no ambient clipboard/navigation action
outline-client,outline/device/device.go,platform tunnel service runtime,superseded,governance/convergence/post-refactor-232-architecture.md,Existing LumiNet runtime/core owners remain authoritative; Outline native tunnel code is not imported.,donor runtime or authority is not imported implicitly
pydns-scanner,python/scanner/worker_pool.py,background scanner start/pause/resume/stop state,adapted,src/apps/daemon/internal/analysis/diagnostics/dns_resolver_campaign_plan.go,Closed lifecycle transitions become read-only campaign planning evidence.,donor runtime or authority is not imported implicitly
pydns-scanner,python/scanner/worker_pool.py,semaphore-bounded scanner concurrency,adapted,src/apps/daemon/internal/analysis/diagnostics/dns_resolver_campaign_plan.go,Concurrency defaults to 100 and is bounded before a campaign can start.,donor runtime or authority is not imported implicitly
pydns-scanner,python/scanner/worker_pool.py,"queue worker chunk size max(4,min(16,concurrency/4))",adapted,src/apps/daemon/internal/analysis/diagnostics/dns_resolver_campaign_plan.go,The donor batching formula is preserved exactly as deterministic planning evidence.,donor runtime or authority is not imported implicitly
pydns-scanner,python/scanner/worker_pool.py,bounded result retrieval default 500,adapted,src/apps/daemon/internal/analysis/diagnostics/dns_resolver_campaign_plan.go,Result-drain size is explicit and bounded to prevent unbounded UI/backend drains.,donor runtime or authority is not imported implicitly
pydns-scanner,python/scanner/utils.py,random subdomain cache busting,adapted,src/apps/daemon/internal/analysis/diagnostics/dns_resolver_campaign_plan.go,Unseeded random cache-bust labels are replaced by deterministic SHA-256-derived planning labels.,hidden randomness does not make planner output non-reproducible
pydns-scanner,python/scanner/constants.py,A/AAAA/MX/TXT/NS query types,adapted,src/apps/daemon/internal/analysis/diagnostics/dns_resolver_campaign_plan.go,Common DNS query types are admitted and target adds CNAME as an explicit compatible extension.,donor runtime or authority is not imported implicitly
pydns-scanner,python/scanner/ip_streaming.py,randomized subnet/IP scan order,superseded,src/apps/daemon/internal/analysis/diagnostics/dns_resolver_campaign_plan.go,Target planning remains deterministic; live scanner sampling/order remains an execution-owner concern.,planner output never depends on hidden random shuffle state
pydns-scanner,python/scanner/slipstream.py,Slipstream proxy-test mode,adapted,src/apps/daemon/internal/analysis/diagnostics/dns_resolver_campaign_plan.go,Slipstream is represented as a campaign mode without starting/downloading its client.,donor runtime or authority is not imported implicitly
pydns-scanner,python/scanner/slipnet.py,SlipNet/DNSTT mode and query-size semantics,adapted,src/apps/daemon/internal/analysis/diagnostics/dns_resolver_campaign_plan.go,SlipNet mode admits query_size 0 or 50..4096; other modes reject the field.,donor runtime or authority is not imported implicitly
pydns-scanner,python/scanner/slipstream.py,bundled Slipstream/SlipNet executables and auto-download/chmod,rejected,src/apps/daemon/internal/analysis/diagnostics/dns_resolver_campaign_plan.go,"Planner never downloads, installs, chmods, or executes bundled/remote clients.",binary acquisition/execution remains outside planner authority
pydns-scanner,python/scanner/proxy_testing.py,OS MTU adjustment around proxy tests,rejected,src/apps/daemon/internal/analysis/diagnostics/dns_resolver_campaign_plan.go,Host MTU changes are excluded from scanner planning authority.,planner cannot mutate interface MTU
