module_id,donor,module_path,surface_count,representative_path,representative_sha256,first_path,last_path
FP-M0041,InviZible-master,fastlane/metadata/android/ru,2,fastlane/metadata/android/ru/full_description.txt,17f90cf27b12b5773d724d9723b4e2a0a702321a79a17232433ad5ccefb5270e,fastlane/metadata/android/ru/full_description.txt,fastlane/metadata/android/ru/short_description.txt
FP-M0042,InviZible-master,fastlane/metadata/android/zh-CN,3,fastlane/metadata/android/zh-CN/full_description.txt,068f3a8a282528d5878191ab020ed710f17d248b8cd02a4f2a6d24b2e4ab91de,fastlane/metadata/android/zh-CN/full_description.txt,fastlane/metadata/android/zh-CN/title.txt
FP-M0043,InviZible-master,gradle,2,gradle/wrapper/gradle-wrapper.jar,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,gradle/wrapper/gradle-wrapper.jar,gradle/wrapper/gradle-wrapper.properties
FP-M0044,InviZible-master,included_licenses,7,included_licenses/androidshell_license.txt,84fb85caa35a205caa2c4fc3d88af9e48aac741c9d289d5bbcf819ca4944eea9,included_licenses/androidshell_license.txt,included_licenses/tor_license.txt
FP-M0045,InviZible-master,tordnscrypt/@direct,4,tordnscrypt/CMakeLists.txt,202247d7f4ed340965aec893be3899e5366ea99c887d6201ddba0df3873b5b69,tordnscrypt/CMakeLists.txt,tordnscrypt/proguard-rules.pro
FP-M0046,InviZible-master,tordnscrypt/libs,27,tordnscrypt/libs/.gitignore,3dae549401034478cbbfc13c6a470ae70e2f90fdc17190fe8ea894d5e126f2ba,tordnscrypt/libs/.gitignore,tordnscrypt/libs/x86_64/libtor.so
FP-M0047,InviZible-master,tordnscrypt/src/arm64,1,tordnscrypt/src/arm64/assets/busyb.mp3,ca965764c5b48e477d44469dd32977be1149856b4ba18a9127f7a729d7983a6a,tordnscrypt/src/arm64/assets/busyb.mp3,tordnscrypt/src/arm64/assets/busyb.mp3
FP-M0048,InviZible-master,tordnscrypt/src/armv7a,1,tordnscrypt/src/armv7a/assets/busyb.mp3,71aefa08de57f9c85c699ae5da35536b93ca9c563911222187491fd7dfc59b78,tordnscrypt/src/armv7a/assets/busyb.mp3,tordnscrypt/src/armv7a/assets/busyb.mp3
FP-M0049,InviZible-master,tordnscrypt/src/beta,22,tordnscrypt/src/beta/ic_launcher-playstore.png,2eaff4d53b8552811ebc1cf11450855ca8162c98a1b2e19dd5e8c4ed01620419,tordnscrypt/src/beta/ic_launcher-playstore.png,tordnscrypt/src/beta/res/values/ic_launcher_background.xml
FP-M0050,InviZible-master,tordnscrypt/src/debug,2,tordnscrypt/src/debug/AndroidManifest.xml,a8d4e1e04119b6a7e9b7c2531557eda15a26337b939caef9a661489026c1c07d,tordnscrypt/src/debug/AndroidManifest.xml,tordnscrypt/src/debug/java/pan/alexander/tordnscrypt/utils/multidex/MultidexActivator.kt
FP-M0051,InviZible-master,tordnscrypt/src/fdroid,22,tordnscrypt/src/fdroid/AndroidManifest.xml,8d1a4de8246d6dff05fc9b3ef41239a12066b65a40fc55d9e8e354f932498816,tordnscrypt/src/fdroid/AndroidManifest.xml,tordnscrypt/src/fdroid/res/values/ic_launcher_background.xml
FP-M0052,InviZible-master,tordnscrypt/src/google_play,23,tordnscrypt/src/google_play/AndroidManifest.xml,bd08efb5cca1857ac4f563b9f20890ee1f8c496a6efaf9e4267929c12f0703cd,tordnscrypt/src/google_play/AndroidManifest.xml,tordnscrypt/src/google_play/res/values/ic_launcher_background.xml
FP-M0053,InviZible-master,tordnscrypt/src/lite,21,tordnscrypt/src/lite/java/pan/alexander/tordnscrypt/assistance/AccelerateDevelop.java,54f85af0260524bf1e04c66744a1923de5f110b9da2dcc466f52fe2982e487b1,tordnscrypt/src/lite/java/pan/alexander/tordnscrypt/assistance/AccelerateDevelop.java,tordnscrypt/src/lite/res/values/ic_launcher_background.xml
FP-M0054,InviZible-master,tordnscrypt/src/main/@direct,2,tordnscrypt/src/main/AndroidManifest.xml,24cd5a8ff94835bc4bec74426c53e7b5e9a84770f44f909546c1f435187d225e,tordnscrypt/src/main/AndroidManifest.xml,tordnscrypt/src/main/ic_launcher-playstore.png
FP-M0055,InviZible-master,tordnscrypt/src/main/assets,4,tordnscrypt/src/main/assets/busyb.mp3,71aefa08de57f9c85c699ae5da35536b93ca9c563911222187491fd7dfc59b78,tordnscrypt/src/main/assets/busyb.mp3,tordnscrypt/src/main/assets/tor.mp3
FP-M0056,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/@direct,9,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/ActivitiesLifecycleListener.kt,fb57712fbd6d18aa84a6127dbbc08d82a8e64a102a7e78621c658ede2832d91b,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/ActivitiesLifecycleListener.kt,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/TopFragmentViewModel.kt
FP-M0057,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/about,1,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/about/AboutActivity.java,58ff1e4e883b7d1ea9c6e0be9a37548fcdf9478140985cfd9b2f27376aaaf778,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/about/AboutActivity.java,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/about/AboutActivity.java
FP-M0058,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/arp,10,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/arp/ArpRelatedUiUpdater.kt,05533172e84485a09772c9b21495171c8b80b9aa5593117b23ce101c4fb98797,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/arp/ArpRelatedUiUpdater.kt,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/arp/DefaultGatewayManager.kt
FP-M0059,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/backup,6,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/backup/BackupActivity.java,258aee7100f8efa06c595458d4633f5312d50c120f014d09bdbc6a9315015c7e,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/backup/BackupActivity.java,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/backup/RestoreHelper.java
FP-M0060,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/crash_handling,1,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/crash_handling/TopExceptionHandler.kt,69df8e79e7f569b6b550703c558b7e0455e6717f7613d86047447f5f8c41530e,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/crash_handling/TopExceptionHandler.kt,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/crash_handling/TopExceptionHandler.kt
FP-M0061,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/data,36,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/data/bridges/BridgesCountriesDataSource.kt,72a5a8e0ca774952f43167acbea7fdf8cbd5ca6931b5cbd405a365e956daf5c8,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/data/bridges/BridgesCountriesDataSource.kt,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/data/resources/ResourceRepositoryImpl.kt
FP-M0062,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/di,24,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/di/AppComponent.kt,ec4d4d70cb6b52929c4932a067cfac56d1544041bebb3b14d244f2da3da0354e,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/di/AppComponent.kt,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/di/tiles/TilesSubcomponent.kt
FP-M0063,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/dialogs,24,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/dialogs/AddDNSCryptServerDialogFragment.java,c1ddb83cfd98e02d8652466845589a83ac69dd2d46d31f022d66249edc83a32a,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/dialogs/AddDNSCryptServerDialogFragment.java,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/dialogs/progressDialogs/RootCheckingProgressDialog.java
FP-M0064,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/dnscrypt_fragment,5,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/dnscrypt_fragment/DNSCryptFragmentPresenter.java,faca1f5df5350eb44aa852f08c1d73e9cd279889ff9df4eff0c5b1206cd7ffdb,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/dnscrypt_fragment/DNSCryptFragmentPresenter.java,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/dnscrypt_fragment/DNSCryptRunFragment.java
FP-M0065,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/domain,63,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/domain/bridges/BridgeCountryData.kt,728c224f452838acaaf359d877653229c53a38a4d7d73f7db450132e579e52ed,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/domain/bridges/BridgeCountryData.kt,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/domain/tor_ips/TorIpsInteractorImpl.kt
FP-M0066,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/help,3,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/help/HelpActivity.java,77de56074f6d9e83efec891bffdd682b70048a3eb5258dc14a4461e3065d72ad,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/help/HelpActivity.java,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/help/Utils.kt
FP-M0067,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/installer,11,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/installer/AssetsExtractCommand.java,aff6a876645a971b37e2868540a236950e51b8b726ffb1d99f9a95bba3085968,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/installer/AssetsExtractCommand.java,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/installer/TorExtractCommand.java
FP-M0068,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/iptables,9,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/iptables/IptablesConstants.java,767935fb17a2cfb92d43b522b941e4daa4ed1f5f0fb14817aec7fa7e7857148f,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/iptables/IptablesConstants.java,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/iptables/Tethering.java
FP-M0069,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/itpd_fragment,5,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/itpd_fragment/ITPDFragmentPresenter.java,45fbdfcdff222f2fcbab935c47e84ffeaa9bea82c46659c3c783dc6be714d619,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/itpd_fragment/ITPDFragmentPresenter.java,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/itpd_fragment/ITPDRunFragment.java
FP-M0070,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/language,3,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/language/Language.java,7f11367754c531cc6911b84bb38fdd10f4d2e957530da4f22b120422d05a750c,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/language/Language.java,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/language/LanguagePreference.java
FP-M0071,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/main_fragment,2,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/main_fragment/MainFragment.java,3665fbfcf4c7b55e434f56680c8084adfb9115d3091c004d5df64502eba5472e,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/main_fragment/MainFragment.java,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/main_fragment/ViewPagerAdapter.java
FP-M0072,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/modules,18,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/modules/ContextUIDUpdater.java,c62db5c018bad6a9fa77d71ee328a1dec53d4dcafd4227c724e31289f76465b7,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/modules/ContextUIDUpdater.java,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/modules/UsageStatistic.kt
FP-M0073,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/nflog,3,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/nflog/NflogManager.kt,1980c7a8bbfd9b9913f218419a5ebb996a4d636da11029662c41339d6190b636,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/nflog/NflogManager.kt,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/nflog/NflogSessionsHolder.kt
FP-M0074,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/patches,3,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/patches/AlterConfig.kt,571ad0af23910cb4803b5189836882fe59adb1720ec81d3a00dbf5dc2968b345,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/patches/AlterConfig.kt,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/patches/Patch.kt
FP-M0075,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/proxy,2,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/proxy/ProxyFragment.kt,184bb87765fb37df3c46a4012efefdb07b1584d7da8f8196aaf1542f3ecbba98,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/proxy/ProxyFragment.kt,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/proxy/ProxyHelper.kt
FP-M0076,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/settings,84,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/settings/ConfigEditorFragment.java,8c85fd01600634d1d979f2c281c42314d4593d3fe627c951be9a92eb6ccb10df,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/settings/ConfigEditorFragment.java,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/settings/tor_preferences/PreferencesTorFragment.java
FP-M0077,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/tiles,8,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/tiles/BaseTileService.kt,17e4e57f81dfd1f134e116719747fa026efc952c9e6802af9d0faa4ea678e62d,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/tiles/BaseTileService.kt,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/tiles/TorTileService.kt
FP-M0078,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/tor_fragment,5,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/tor_fragment/TorFragmentPresenter.java,76e1eb557a5970e29600861a515e179253207a58f06d7a890467ed1cce7e1f88,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/tor_fragment/TorFragmentPresenter.java,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/tor_fragment/TorRunFragment.java
FP-M0079,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/update,3,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/update/DownloadTask.java,47e780f128c6e46db590a9db951930c999f3de6e37243a970986acc6d035c9de,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/update/DownloadTask.java,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/update/UpdateService.java
FP-M0080,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/utils,72,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/utils/AppExtensions.kt,880b54e4e8102c2f403fedf88612388ce67b1240dc762264f8e9f1f2d3f077de,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/utils/AppExtensions.kt,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/utils/zipUtil/ZipFileManager.java
FP-M0081,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/views,2,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/views/FixedAppBarLayoutBehavior.kt,4c608eac5523a3599bb907f01d06491c5de6d4a60e8916bf874ecae145ab59bc,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/views/FixedAppBarLayoutBehavior.kt,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/views/SwitchPlusClickPreference.java
FP-M0082,InviZible-master,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/vpn,15,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/vpn/Allowed.java,d5aaf36b6b952f2ed78d48e8522127cc3a7f5ac99f10a948244a2c16d13a4388,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/vpn/Allowed.java,tordnscrypt/src/main/java/pan/alexander/tordnscrypt/vpn/service/VpnRulesHolder.java
