record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
PR230-R001,n/a,CG230-Hiddify-Manager-dev-root,Hiddify-Manager-dev,repository-accountability,Hiddify-Manager-dev complete archive/repository accountability,repository,evidence corpus,context-dependent,.dockerignore,22942cc4b45864ab6ac31687a88441b76653f235e025851e69e514e9131eef4c,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-230-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository size or popularity cannot grant target authority,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR230-M0007,PR230-R001,CG230-Hiddify-Manager-dev-979c1671da,Hiddify-Manager-dev,module-accountability,common/change_dns.py module/subtree review,module/subtree,mixed evidence,module-cohesive,common/change_dns.py,4999b9dbdd50c077addfa801dccfe1a856fa901891f58abbcb9c29882a51863f,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0008,PR230-R001,CG230-Hiddify-Manager-dev-a3e31900bc,Hiddify-Manager-dev,module-accountability,common/commander.py module/subtree review,module/subtree,mixed evidence,module-cohesive,common/commander.py,c6093542e7e9860d15dbd4bad688edd4c7bf42621458a883af80cb42b2c50c51,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0009,PR230-R001,CG230-Hiddify-Manager-dev-e67ea2c399,Hiddify-Manager-dev,module-accountability,common/daily_actions.sh module/subtree review,module/subtree,mixed evidence,module-cohesive,common/daily_actions.sh,f1457cfff803af67914eb4af7f36838dccde7010b42dc8c56b5597362aca0741,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0010,PR230-R001,CG230-Hiddify-Manager-dev-9f0ce1c794,Hiddify-Manager-dev,module-accountability,common/docker-installer.sh module/subtree review,module/subtree,mixed evidence,module-cohesive,common/docker-installer.sh,97b5dd9b4ca22acedebc241bb58a5eba367f85e1f93bd6d60459f7d3212c0a63,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0011,PR230-R001,CG230-Hiddify-Manager-dev-6b72c532c0,Hiddify-Manager-dev,module-accountability,common/downgrade.sh module/subtree review,module/subtree,mixed evidence,module-cohesive,common/downgrade.sh,d7ee99e1a3943f66a94fe463babb24560faf4c65789040430cfad58b33c57bdd,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0012,PR230-R001,CG230-Hiddify-Manager-dev-6574ad7100,Hiddify-Manager-dev,module-accountability,common/download.sh module/subtree review,module/subtree,mixed evidence,module-cohesive,common/download.sh,c543b7622478b7a09f9c49427cae26c7308f44b1f37ea4f7fc9406879a65b1d2,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0013,PR230-R001,CG230-Hiddify-Manager-dev-12cb9f2356,Hiddify-Manager-dev,module-accountability,common/download_install.sh module/subtree review,module/subtree,mixed evidence,module-cohesive,common/download_install.sh,9f831c8441fd4a222ccee0c80c765c01765f6b2d97d96f173fb8f98ce6eaffc9,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0014,PR230-R001,CG230-Hiddify-Manager-dev-e18e7c5a77,Hiddify-Manager-dev,module-accountability,common/download_install_easylink.sh module/subtree review,module/subtree,mixed evidence,module-cohesive,common/download_install_easylink.sh,456f5cc01baed04034c22ece413fe7f2c8ae83452adc7067f30aa85fafee8566,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0015,PR230-R001,CG230-Hiddify-Manager-dev-507579a5b3,Hiddify-Manager-dev,module-accountability,common/example.json module/subtree review,module/subtree,mixed evidence,module-cohesive,common/example.json,887a7700241f2853f9b231f66d96037e97ef1fcf651072cb842bbce8ffb20749,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0016,PR230-R001,CG230-Hiddify-Manager-dev-d46d8cb35b,Hiddify-Manager-dev,module-accountability,common/google-bbr.sh module/subtree review,module/subtree,mixed evidence,module-cohesive,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0017,PR230-R001,CG230-Hiddify-Manager-dev-686c44d4fb,Hiddify-Manager-dev,module-accountability,common/hiddify_installer.sh module/subtree review,module/subtree,mixed evidence,module-cohesive,common/hiddify_installer.sh,7c9666df625d76e80e620b43e44017525b566c7264cc795500301ab47d4767c1,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0018,PR230-R001,CG230-Hiddify-Manager-dev-9e6c6b7dea,Hiddify-Manager-dev,module-accountability,common/install.sh module/subtree review,module/subtree,mixed evidence,module-cohesive,common/install.sh,bad8df8175e72c01ecaab9fc4af12818af199f93161cf22322f6a11bb411d97a,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0019,PR230-R001,CG230-Hiddify-Manager-dev-6f40215128,Hiddify-Manager-dev,module-accountability,common/jinja.py module/subtree review,module/subtree,mixed evidence,module-cohesive,common/jinja.py,7eebb884ea5191e71500fe457045f8812b1991c910c94e5502d222a1c91f91b8,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0020,PR230-R001,CG230-Hiddify-Manager-dev-74c92faaeb,Hiddify-Manager-dev,module-accountability,common/logo.ico module/subtree review,module/subtree,mixed evidence,module-cohesive,common/logo.ico,ff33dcf2d9aeab27a5f5b4d35ac85e22b6c528139027064c035abc200100c310,n/a,mechanism-level review,many-to-many,accounted-reference,"1 surfaces reviewed; 0 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,low,PR230-R001,high,reviewed
PR230-M0021,PR230-R001,CG230-Hiddify-Manager-dev-f1dbff4206,Hiddify-Manager-dev,module-accountability,common/package_manager.sh module/subtree review,module/subtree,mixed evidence,module-cohesive,common/package_manager.sh,d674f9ab8046ab4957fcaa56f01f679d0bb4c4ec6dc7b3039f2913c56b7cf974,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0022,PR230-R001,CG230-Hiddify-Manager-dev-db93a2d69f,Hiddify-Manager-dev,module-accountability,common/packages.db module/subtree review,module/subtree,mixed evidence,module-cohesive,common/packages.db,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0023,PR230-R001,CG230-Hiddify-Manager-dev-6620305cf5,Hiddify-Manager-dev,module-accountability,common/packages.lock module/subtree review,module/subtree,mixed evidence,module-cohesive,common/packages.lock,c5b7217b45cb4cf88f68382dba32764a9af97219e98c2b334be6081488757941,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0024,PR230-R001,CG230-Hiddify-Manager-dev-27b87c9c74,Hiddify-Manager-dev,module-accountability,common/remove_remote_assistant.sh module/subtree review,module/subtree,mixed evidence,module-cohesive,common/remove_remote_assistant.sh,370b57e912a5f8f5b05beb0550a4f8b2accc20cef96c6b155f99b5d6a375c1c4,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
