donor,path,sha256,size_bytes,mode,classification,authority,module,extension,semantic_record_ids,post_refactor_231_review,post_refactor_231_disposition,notes
IPtProxy-master,.gitignore,3b639b9365c0c056c9ffe169f715028d09168615651138ddcedf6540932a205c,3520,0o644,repository-administration,authoritative,.gitignore,n/a,PR231-F00001;PR231-M0001,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/ios-arm64/IPtProxy.framework/Headers/IPtProxy.objc.h,1e2b1d95b138b5033dde8b8535cf4c832b3de3ca55b1921088be6a4ba13f174d,17450,0o644,implementation,authoritative,IPtProxy.xcframework/ios-arm64,.h,PR231-F00012;PR231-M0011,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/ios-arm64/IPtProxy.framework/Headers/Universe.objc.h,61b1a0cd75801d2d8d1d82ef2accda4477966c691795473d696e45de05fcbc7b,563,0o644,implementation,authoritative,IPtProxy.xcframework/ios-arm64,.h,PR231-F00013;PR231-M0011,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/ios-arm64/IPtProxy.framework/Headers/ref.h,d76b969941e61d61551ae1e6b7ddc674ac898d422f28cb5dbf8d640ba2ae8df6,1163,0o644,implementation,authoritative,IPtProxy.xcframework/ios-arm64,.h,PR231-F00014;PR231-M0011,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/ios-arm64/IPtProxy.framework/IPtProxy,59acdfc3bc9f272ea2370195053ef1548106d1b687960c3c2d70c2edb33a1495,29870608,0o644,operational,authoritative,IPtProxy.xcframework/ios-arm64,n/a,PR231-F00015;PR231-M0011,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/ios-arm64/IPtProxy.framework/Info.plist,a34554052bd399de78c9aff73f56f2d3bf993b2eb4cfed66f11e6d6bd58d260c,557,0o644,operational,authoritative,IPtProxy.xcframework/ios-arm64,.plist,PR231-F00016;PR231-M0011,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/ios-arm64/IPtProxy.framework/Modules/module.modulemap,c0c22353bf8b5c33a49d002c12ab0d39bd8daad8bc957c2a90435f9ebb630613,143,0o644,operational,authoritative,IPtProxy.xcframework/ios-arm64,.modulemap,PR231-F00017;PR231-M0011,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/ios-arm64_x86_64-simulator/IPtProxy.framework/Headers/IPtProxy.h,c6a68ea0f813315dae83ba6db40d9c8ad586a9f1491cd7e323132855fcdf444c,286,0o644,implementation,authoritative,IPtProxy.xcframework/ios-arm64_x86_64-simulator,.h,PR231-F00018;PR231-M0012,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/ios-arm64_x86_64-simulator/IPtProxy.framework/Headers/IPtProxy.objc.h,1e2b1d95b138b5033dde8b8535cf4c832b3de3ca55b1921088be6a4ba13f174d,17450,0o644,implementation,authoritative,IPtProxy.xcframework/ios-arm64_x86_64-simulator,.h,PR231-F00019;PR231-M0012,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/ios-arm64_x86_64-simulator/IPtProxy.framework/Headers/Universe.objc.h,61b1a0cd75801d2d8d1d82ef2accda4477966c691795473d696e45de05fcbc7b,563,0o644,implementation,authoritative,IPtProxy.xcframework/ios-arm64_x86_64-simulator,.h,PR231-F00020;PR231-M0012,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/ios-arm64_x86_64-simulator/IPtProxy.framework/Headers/ref.h,d76b969941e61d61551ae1e6b7ddc674ac898d422f28cb5dbf8d640ba2ae8df6,1163,0o644,implementation,authoritative,IPtProxy.xcframework/ios-arm64_x86_64-simulator,.h,PR231-F00021;PR231-M0012,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/ios-arm64_x86_64-simulator/IPtProxy.framework/IPtProxy,7c40beb176d71c0ad190abf747d49a003269ab559f7fe3b4c2155ea4b9f37cab,59156328,0o644,operational,authoritative,IPtProxy.xcframework/ios-arm64_x86_64-simulator,n/a,PR231-F00022;PR231-M0012,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/ios-arm64_x86_64-simulator/IPtProxy.framework/Info.plist,a34554052bd399de78c9aff73f56f2d3bf993b2eb4cfed66f11e6d6bd58d260c,557,0o644,operational,authoritative,IPtProxy.xcframework/ios-arm64_x86_64-simulator,.plist,PR231-F00023;PR231-M0012,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/ios-arm64_x86_64-simulator/IPtProxy.framework/Modules/module.modulemap,c0c22353bf8b5c33a49d002c12ab0d39bd8daad8bc957c2a90435f9ebb630613,143,0o644,operational,authoritative,IPtProxy.xcframework/ios-arm64_x86_64-simulator,.modulemap,PR231-F00024;PR231-M0012,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64/IPtProxy.framework/Versions/A/Headers/IPtProxy.h,c6a68ea0f813315dae83ba6db40d9c8ad586a9f1491cd7e323132855fcdf444c,286,0o644,implementation,authoritative,IPtProxy.xcframework/macos-arm64_x86_64,.h,PR231-F00025;PR231-M0013,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64/IPtProxy.framework/Versions/A/Headers/IPtProxy.objc.h,1e2b1d95b138b5033dde8b8535cf4c832b3de3ca55b1921088be6a4ba13f174d,17450,0o644,implementation,authoritative,IPtProxy.xcframework/macos-arm64_x86_64,.h,PR231-F00026;PR231-M0013,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64/IPtProxy.framework/Versions/A/Headers/Universe.objc.h,61b1a0cd75801d2d8d1d82ef2accda4477966c691795473d696e45de05fcbc7b,563,0o644,implementation,authoritative,IPtProxy.xcframework/macos-arm64_x86_64,.h,PR231-F00027;PR231-M0013,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64/IPtProxy.framework/Versions/A/Headers/ref.h,d76b969941e61d61551ae1e6b7ddc674ac898d422f28cb5dbf8d640ba2ae8df6,1163,0o644,implementation,authoritative,IPtProxy.xcframework/macos-arm64_x86_64,.h,PR231-F00028;PR231-M0013,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64/IPtProxy.framework/Versions/A/IPtProxy,63bb9eb2b753ae84e7369dda8596cdfa8ccb13cc90c9c45747b487cb2806f28b,59006040,0o644,operational,authoritative,IPtProxy.xcframework/macos-arm64_x86_64,n/a,PR231-F00029;PR231-M0013,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64/IPtProxy.framework/Versions/A/Modules/module.modulemap,c0c22353bf8b5c33a49d002c12ab0d39bd8daad8bc957c2a90435f9ebb630613,143,0o644,operational,authoritative,IPtProxy.xcframework/macos-arm64_x86_64,.modulemap,PR231-F00030;PR231-M0013,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64/IPtProxy.framework/Versions/A/Resources/Info.plist,a34554052bd399de78c9aff73f56f2d3bf993b2eb4cfed66f11e6d6bd58d260c,557,0o644,operational,authoritative,IPtProxy.xcframework/macos-arm64_x86_64,.plist,PR231-F00031;PR231-M0013,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,LICENSE,6bf5006e66e32239eb1ebbf2ac187936247f7119476575641111ac57adbe30ac,1080,0o644,operational,authoritative,LICENSE,n/a,PR231-F00032;PR231-M0014,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,Package.swift,474258d3e8ff896c366f76262db44fa0035120c09e18b4c8fd35f22b0a87de90,515,0o644,implementation,authoritative,Package.swift,.swift,PR231-F00033;PR231-M0015,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,README.md,18500e1a97cf407276c4831092c214b58379f10740ab84252a14c129eac03f80,11588,0o644,documentation,authoritative,README.md,.md,PR231-F00034;PR231-M0016,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,Vagrantfile,e0c4e1d2543da7348064c3ea903bec2b97ce87207946c32f8bfb29831507475e,2321,0o644,operational,authoritative,Vagrantfile,n/a,PR231-F00035;PR231-M0017,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,build-android.sh,09849798950c34e76184777bdde4f4d1c1543d9b7454f3333793adbd459bb320,62,0o755,script,authoritative,build-android.sh,.sh,PR231-F00036;PR231-M0018,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,build.sh,fad3b0d5d7b69a9e0f87d795a68cb58f40a34ff22adf3fdb056124fcdaa02cbb,2330,0o755,script,authoritative,build.sh,.sh,PR231-F00037;PR231-M0019,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,bundle.sh,46bffd7df3441ef1f2a4f32c8e1b67ee6b701c64c2bd147d8e050d53eaf1a6bf,3393,0o755,script,authoritative,bundle.sh,.sh,PR231-F00038;PR231-M0020,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,dev-ios.sh,455b6040c43adbdcdaf1765753ca88e13c8432fc4b3ed2c9caf86d2adc39d0fb,233,0o755,script,authoritative,dev-ios.sh,.sh,PR231-F00039;PR231-M0021,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,update.sh,089f6adac1f4590066eaa2d660e3237bf74c5e3cb08f8242e2203dcf21cc03e6,510,0o755,script,authoritative,update.sh,.sh,PR231-F00040;PR231-M0022,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,.github/workflows/build.yml,bf683682ed1a93e4fa694b266fffc3cd853c7894ea8527e7014b6feb29a725d3,28601,0o644,repository-administration,authoritative,.github,.yml,PR231-F00041;PR231-M0023,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,.gitignore,62750a2aa7cc2a544f494587c033eda110317e26a5a1895f7b1ed78d129ee3f5,186,0o644,repository-administration,authoritative,.gitignore,n/a,PR231-F00042;PR231-M0024,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,CHROMIUM_VERSION,26e3d1b311328c5098a97c7571cc5bc24806487ca8a24663aeaceca8a1a87984,15,0o644,operational,authoritative,CHROMIUM_VERSION,n/a,PR231-F00043;PR231-M0025,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,LICENSE,845022e0c1db1abb41a6ba4cd3c4b674ec290f3359d9d3c78ae558d4c0ed9308,1559,0o644,operational,authoritative,LICENSE,n/a,PR231-F00044;PR231-M0026,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,README.md,855044387ea59832044d8ec1683020f45e2656907b7f92ad3d92dcd7dbcc3afd,9197,0o644,documentation,authoritative,README.md,.md,PR231-F00045;PR231-M0027;PR231-S025,fresh-byte-reverified-and-context-reviewed,focused-behavior-source,Focused semantic record linked.
naiveproxy-master,USAGE.txt,d8cd55628ee70fba57fad8a6ea4ff807e69da0fcfac1a486aeb72a4877df13f7,4762,0o644,operational,authoritative,USAGE.txt,.txt,PR231-F00046;PR231-M0028,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/.gitignore,02b7a2181b5445fe797dcec8eb478f192cc55bb20b57b7009dc8d2fed1ae8550,70,0o644,repository-administration,authoritative,apk,n/a,PR231-F00047;PR231-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/build.gradle.kts,fb1bf72dced79b74801ffd15e4d1eaec4a40518d56474faa43cd765ccd0d3047,1957,0o644,implementation,authoritative,apk,.kts,PR231-F00048;PR231-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/AndroidManifest.xml,ddf39b7e53ab37d1d91a3581a9972534e5deb34ecad698830163652492717247,1740,0o644,configuration,authoritative,apk,.xml,PR231-F00049;PR231-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/NativePluginProvider.kt,b4c21d6b7e55065a17440bdedd5a88e5e96b3254d5bbbc3f3bcb43417399f7f5,4206,0o644,implementation,authoritative,apk,.kt,PR231-F00050;PR231-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/PathProvider.kt,7e7c1f4a62e868d1711d3bb183c3232df13515b10cf4c7a81bb67d3f372af423,2679,0o644,implementation,authoritative,apk,.kt,PR231-F00051;PR231-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/PluginContract.kt,85e96428a7e15af450b2ba482b4f94bc1e41efddc5f6df5deda50c513ef371a9,2053,0o644,implementation,authoritative,apk,.kt,PR231-F00052;PR231-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/naive/BinaryProvider.kt,7a022d1b4ada9c5f13657b643e9fafb39bae45722a32cfda3ed0581c1a4ac157,2258,0o644,implementation,authoritative,apk,.kt,PR231-F00053;PR231-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/res/drawable/ic_launcher_foreground.xml,6d669cfb123488c6d78d47dcb962139864b8420c4b01a975be51bc7dcdef898f,3773,0o644,configuration,authoritative,apk,.xml,PR231-F00054;PR231-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,8b2e1bccd9587abbf4ba6017b82fdf15a07ce7a4aec36e1536b920e1d666569e,339,0o644,configuration,authoritative,apk,.xml,PR231-F00055;PR231-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,8b2e1bccd9587abbf4ba6017b82fdf15a07ce7a4aec36e1536b920e1d666569e,339,0o644,configuration,authoritative,apk,.xml,PR231-F00056;PR231-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/res/mipmap-hdpi/ic_launcher.png,6de3165219f2e3201d864b37f63867e84ebfce713ef641a13293df7f829e006e,1720,0o644,media,derived,apk,.png,PR231-F00057;PR231-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/res/mipmap-hdpi/ic_launcher_round.png,c270f81a3ceafb3cd5e8fdc73a3d04cd2afa2581dc387e9d8444a769848a2709,3685,0o644,media,derived,apk,.png,PR231-F00058;PR231-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/res/mipmap-mdpi/ic_launcher.png,a83c6aaac8c5c54add481821aa68823938a5fb2e57ca413929527ba0db0b0d32,1160,0o644,media,derived,apk,.png,PR231-F00059;PR231-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/res/mipmap-mdpi/ic_launcher_round.png,0e1cd7b8edf5d89dd605bb811f49672075881a8bf5fbe85f58adfca19813b762,2325,0o644,media,derived,apk,.png,PR231-F00060;PR231-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/res/mipmap-xhdpi/ic_launcher.png,b7200045159277d73f823277ce4d1e18e4a1c3f6ea7163ae1c9168d4c24b1d78,2371,0o644,media,derived,apk,.png,PR231-F00061;PR231-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/res/mipmap-xhdpi/ic_launcher_round.png,423981cf005765519d233200d285d8f8a4505e691bb2ab5ef0a85617db204136,5334,0o644,media,derived,apk,.png,PR231-F00062;PR231-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/res/mipmap-xxhdpi/ic_launcher.png,f6a201a18bb4eb2632d0e766b716ec6732e9755060fa5c8c0fd84e61c14e569a,3726,0o644,media,derived,apk,.png,PR231-F00063;PR231-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/res/mipmap-xxhdpi/ic_launcher_round.png,6cc2b5c8b55f2fc510384b5c22bf4baa6b7f804a62cc097589a46dd83ae40b55,8363,0o644,media,derived,apk,.png,PR231-F00064;PR231-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png,b1172f6ad0d168ba0957f6500c18da5be4b528a42dc85f728390534b9919e126,5173,0o644,media,derived,apk,.png,PR231-F00065;PR231-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/res/mipmap-xxxhdpi/ic_launcher_round.png,eaa7c68a570e082cd379ef4497b2fc5f87167b42edba6e3b5c5c68fec277610c,12120,0o644,media,derived,apk,.png,PR231-F00066;PR231-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/app/src/main/res/values/ic_launcher_background.xml,2f14cb40a5827f2d3d0a94aeb73f8aa57b1cd94aa03780ed9395576501ccb312,121,0o644,configuration,authoritative,apk,.xml,PR231-F00067;PR231-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/build.gradle,8e73edbd4f791048c3efe1766250f99e2564d81fa034f90a15a722e63ebd8d89,548,0o644,configuration,authoritative,apk,.gradle,PR231-F00068;PR231-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/gradle.properties,d0d6ca70da8dd5037c2ae271116c6a83945372ac094816346655ec09b7e40120,1185,0o644,configuration,authoritative,apk,.properties,PR231-F00069;PR231-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/gradle/wrapper/gradle-wrapper.jar,7d3a4ac4de1c32b59bc6a4eb8ecb8e612ccd0cf1ae1e99f66902da64df296172,43764,0o644,vendored,vendored,apk,.jar,PR231-F00070;PR231-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/gradle/wrapper/gradle-wrapper.properties,97e38c4092036e177d1d31ebb454332a61a1d1313fc76aefe34b35e88211715d,253,0o644,configuration,authoritative,apk,.properties,PR231-F00071;PR231-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/gradlew,b187b4c52e749f5760afdd6fadc31b2a98ad35fb249bf0dff03b72650f320409,8733,0o755,script,authoritative,apk,n/a,PR231-F00072;PR231-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/gradlew.bat,1d297e00bd21de3ace22b4d7f2de1f9dfa858883d66bbf7c1ccbecccec8f4f3b,2937,0o644,script,authoritative,apk,.bat,PR231-F00073;PR231-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/release.keystore,e9076fce276822351c3048e68ef1fc2e1a1770e63bf55856c6db1b678761ae9a,4410,0o644,operational,authoritative,apk,.keystore,PR231-F00074;PR231-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,apk/settings.gradle,f36558844835b800853321d5337172b44574a28577fbebe83f465cad754ef0bd,215,0o644,configuration,authoritative,apk,.gradle,PR231-F00075;PR231-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,src/.clang-format,a0fe08377f9160b42a6ba725d0ebbf8cec9bb0c602cf9c900d2c5db8bcaf555f,2946,0o644,vendored,vendored,src/.clang-format,n/a,PR231-F00076;PR231-M0030,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,src/.gitattributes,cb20c9ccf891704c9a14a84b3f4e06f82a351c923fc189895ac8820c3a543287,1367,0o644,vendored,vendored,src/.gitattributes,n/a,PR231-F00077;PR231-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,src/.gn,b7e98928147037a762fa184b18b9c13e20f39d6f7a919b65a7e21bd6dc5e0403,7970,0o644,vendored,vendored,src/.gn,n/a,PR231-F00078;PR231-M0032,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
naiveproxy-master,src/AUTHORS,6f3951b7c35eea626073bc83447e43591320f0854a2f5fcccb1ade4c18432766,73011,0o644,vendored,vendored,src/AUTHORS,n/a,PR231-F00079;PR231-M0033,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
