donor,path,sha256,size_bytes,type,file_type,language,classification,authority_status,symlink_target,semantic_record_ids,surface_disposition,surface_rationale,notes
Iran-v2ray-rules-main,.github/workflows/findredundant.yml,3c7183543ddd640c78f9a05d6fcf3f994dd8c4f25914a5dbf2cf821f2aaedbe1,2302,file,file,yaml,repository-administration,derived,,BASE03,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
Iran-v2ray-rules-main,.github/workflows/get-geolite2.yml,6bdc486f6a558be86fb78a791f9f56af6c75be96028ab63e235db0badeb76c16,2002,file,file,yaml,repository-administration,derived,,BASE03,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
Iran-v2ray-rules-main,.github/workflows/get-ip2location.yml,5dca948226a2c915137cb4c8f415447a36d2968bde8cf423f7a0dff99d3e8fa7,1954,file,file,yaml,repository-administration,derived,,BASE03,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
Iran-v2ray-rules-main,.github/workflows/release.yml,a1f586afb7dce55ff8993d87df3ea02d1dc35f6b7017b6462400aafdd14af5da,9228,file,file,yaml,repository-administration,derived,,BASE03,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
Iran-v2ray-rules-main,LICENSE,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,35149,file,file,other,governance,descriptive,,BASE03,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
Iran-v2ray-rules-main,README.fa.md,821367a45f358a8dd7b7529a4bd06b4984eaea6a668c87e42cb9da430ae1471c,34131,file,file,markdown,documentation,descriptive,,BASE03,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
Iran-v2ray-rules-main,README.md,2a9546db93f9590b9e6ebe31fbb8301aaeaeece3259cd52655e61719ea1440fe,26496,file,file,markdown,documentation,descriptive,,BASE03,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
Iran-v2ray-rules-main,assets/geoip-jsdelivr.png,f971ef783c7f4325bdbbb3f100a0527c409179d2498a4619f735daf279d4ea61,984,file,file,other,media,derived,,BASE03;IRRULE003,rejected-with-reason,Rapidly aging external data would create misleading routing/blocking authority if embedded.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,assets/geoip-lite-jsdelivr.png,71495cffbaf2a1caa6acb4ab852564dbe65301701eacd9592f55e57ffae5e125,987,file,file,other,media,derived,,BASE03;IRRULE003,rejected-with-reason,Rapidly aging external data would create misleading routing/blocking authority if embedded.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,assets/geoip-lite.png,2241d5a4e7fdc7614871766239bacaae6120067b3c8aef20dca530efa2ff1c17,1150,file,file,other,media,derived,,BASE03;IRRULE003,rejected-with-reason,Rapidly aging external data would create misleading routing/blocking authority if embedded.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,assets/geoip.png,e8eb5a46b506e0106a3371aa00c32ab1b9d444d4dac7b72bb3f84077657e189a,956,file,file,other,media,derived,,BASE03;IRRULE003,rejected-with-reason,Rapidly aging external data would create misleading routing/blocking authority if embedded.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,assets/geosite-jsdelivr.png,f1c4d74bbef2f2a1c1508eae35ac8cfdbeef6301017cec60369cb53855a55e3b,981,file,file,other,media,derived,,BASE03;IRRULE003,rejected-with-reason,Rapidly aging external data would create misleading routing/blocking authority if embedded.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,assets/geosite-lite-jsdelivr.png,3279afb53c342ebe06fbefc79f90eb4ec7fec58e5e17ede20e975ba74298f019,991,file,file,other,media,derived,,BASE03;IRRULE003,rejected-with-reason,Rapidly aging external data would create misleading routing/blocking authority if embedded.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,assets/geosite-lite.png,dab4cdf80dbf0f3fbdbe02a13a34ef04c290f2f97a1609458116d42a6b242697,1133,file,file,other,media,derived,,BASE03;IRRULE003,rejected-with-reason,Rapidly aging external data would create misleading routing/blocking authority if embedded.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,assets/geosite.png,b7f48b3c39135d7d9357fcd01e9fe724aa1e191d30bd447ac620c3c49aea8395,939,file,file,other,media,derived,,BASE03;IRRULE003,rejected-with-reason,Rapidly aging external data would create misleading routing/blocking authority if embedded.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,assets/logo-black.png,acc48e980aefab0eb2f521fb5927d14bc6878f52b00b6c7b21e482232410aa28,20635,file,file,other,media,derived,,BASE03;IRRULE003,rejected-with-reason,Rapidly aging external data would create misleading routing/blocking authority if embedded.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,assets/logo-white.png,cfc3f2d5d2d72e0c6b7580687e7522523f895bf0308c3ee3c3f0423e4a09b01c,20985,file,file,other,media,derived,,BASE03;IRRULE003,rejected-with-reason,Rapidly aging external data would create misleading routing/blocking authority if embedded.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,assets/security-ip-jsdelivr.png,b68f7dcad8a8542da45962086765d6bbf77ad9bc6462034cb358f1ffd1e165fd,945,file,file,other,media,derived,,BASE03;IRRULE003,rejected-with-reason,Rapidly aging external data would create misleading routing/blocking authority if embedded.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,assets/security-ip.png,80e04d613eef385ecb0cd29a9d0db3d6d1b1c702d313b558da91caf676cb702f,1152,file,file,other,media,derived,,BASE03;IRRULE003,rejected-with-reason,Rapidly aging external data would create misleading routing/blocking authority if embedded.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,assets/security-jsdelivr.png,c28976ff6f8321cb0bfac3b13f5a5c7bcbf1b5a02d9d709392280f4621271ecb,1017,file,file,other,media,derived,,BASE03;IRRULE003,rejected-with-reason,Rapidly aging external data would create misleading routing/blocking authority if embedded.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,assets/security.png,dbb638be411ccba759a975f30e9457908b3f9fe8ce5cb6e361fbdeba6425de29,924,file,file,other,media,derived,,BASE03;IRRULE003,rejected-with-reason,Rapidly aging external data would create misleading routing/blocking authority if embedded.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,config.json,fbd275412cf550b5b688291b341ef7c09ea7ce2fc723a486e5c1913a09f8cb69,12637,file,file,json,configuration,authoritative,,BASE03;IRRULE004,reference-only,Generator configuration is useful provenance/build evidence but does not become runtime routing authority.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,scripts/generate-ad-domains.sh,e5e409d2e2d5dd1ff4d01f97ca9b2a9c4f7ea83c5e5a3759649e84677a7c14f3,2725,file,file,shell,script,authoritative,,BASE03;IRRULE001;IRRULE004,inspired-native,Generation/provenance and normalized category semantics are durable; mutable external lists are not.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,scripts/generate-cryptominer-domains.sh,31522014560c9496b2e3647cfc596da489cdd4db728fa9e22f024789908b177f,768,file,file,shell,script,authoritative,,BASE03;IRRULE001;IRRULE004,inspired-native,Generation/provenance and normalized category semantics are durable; mutable external lists are not.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,scripts/generate-domestic-cdn-ips.sh,f196c9addf57cac56ae9a2b7654cc633f75065bbaacaca0ad47965b76768342c,1369,file,file,shell,script,authoritative,,BASE03;IRRULE001;IRRULE004,inspired-native,Generation/provenance and normalized category semantics are durable; mutable external lists are not.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,scripts/generate-ir-domains.sh,8a744ebff251085c12f37f2ed9ec1a7ae3b3d75d7aa2607ee4f07289c2d7226b,277,file,file,shell,script,authoritative,,BASE03;IRRULE001;IRRULE004,inspired-native,Generation/provenance and normalized category semantics are durable; mutable external lists are not.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,scripts/generate-malware-domains-ips.sh,ac911280f4262cbb8518968aa31a30ed7c9b74e6ef411423a905eab1062f8365,1167,file,file,shell,script,authoritative,,BASE03;IRRULE001;IRRULE004,inspired-native,Generation/provenance and normalized category semantics are durable; mutable external lists are not.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,scripts/generate-nsfw-domains.sh,63cd9c97deb230e3609fdb1349ad778b496d78bfcce46d5b78d9b5c0942a148c,779,file,file,shell,script,authoritative,,BASE03;IRRULE001;IRRULE004,inspired-native,Generation/provenance and normalized category semantics are durable; mutable external lists are not.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,scripts/generate-phishing-domains-ips.sh,8dfd87dd045e6d996d3011431598c11430039a42c7c81dac8e7e74da4f41402f,1191,file,file,shell,script,authoritative,,BASE03;IRRULE001;IRRULE004,inspired-native,Generation/provenance and normalized category semantics are durable; mutable external lists are not.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,scripts/generate-sanctioned-domains.sh,091ef41a8bf1202ea50f56c7736612bd7f886c97d78a6085a938dbc1bfa29e78,1080,file,file,shell,script,authoritative,,BASE03;IRRULE001;IRRULE004,inspired-native,Generation/provenance and normalized category semantics are durable; mutable external lists are not.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,scripts/generate-social-media-domains.sh,538c455319ca9f0fca2a68f7de03c20f376ef54690be6129ee79bdf62ef79d2f,739,file,file,shell,script,authoritative,,BASE03;IRRULE001;IRRULE004,inspired-native,Generation/provenance and normalized category semantics are durable; mutable external lists are not.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,v2rayN/all.json,c5c780f859ad7218520103baf9084a263d7b03c06b2a8063ef142d86ea83e4ea,1297,file,file,json,configuration,authoritative,,BASE03;IRRULE002,synthesized,Stable operator intents are useful independent of donor lists; express target-native presets rather than importing mutable rule bodies.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,v2rayN/all_except_ir.json,1893a78ba7b209d363ce18831cf2cd900c1643b4f3bce62cc138fda5bfdfcc0a,2121,file,file,json,configuration,authoritative,,BASE03;IRRULE002,synthesized,Stable operator intents are useful independent of donor lists; express target-native presets rather than importing mutable rule bodies.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,v2rayN/dns_singbox_normal.json,2a86ee110b11b3bfaa6913316776791e4ba4ecf8dbf4a9b78bcfbdacf3cad830,599,file,file,json,configuration,authoritative,,BASE03;IRRULE002,synthesized,Stable operator intents are useful independent of donor lists; express target-native presets rather than importing mutable rule bodies.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,v2rayN/dns_v2ray_normal.json,d9cfeb63bce742a2238d8034f61f040bcb45233750e2e205952e51c530e39624,274,file,file,json,configuration,authoritative,,BASE03;IRRULE002,synthesized,Stable operator intents are useful independent of donor lists; express target-native presets rather than importing mutable rule bodies.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,v2rayN/sing_box.json,2f4c1ee473eec8ce09198033ac1b85aa7401a382b5e9b69a0803b931cbe69233,313,file,file,json,configuration,authoritative,,BASE03;IRRULE002,synthesized,Stable operator intents are useful independent of donor lists; express target-native presets rather than importing mutable rule bodies.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,v2rayN/template.json,27756bf8abb7795532e8527fb671dab07bd0902276ad4cb4d3db00140a035e40,576,file,file,json,configuration,authoritative,,BASE03;IRRULE002,synthesized,Stable operator intents are useful independent of donor lists; express target-native presets rather than importing mutable rule bodies.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,v2rayN/tun_singbox_dns.json,2a86ee110b11b3bfaa6913316776791e4ba4ecf8dbf4a9b78bcfbdacf3cad830,599,file,file,json,configuration,authoritative,,BASE03;IRRULE002,synthesized,Stable operator intents are useful independent of donor lists; express target-native presets rather than importing mutable rule bodies.,Focused semantic link(s) plus base accountability.
Iran-v2ray-rules-main,v2rayN/v2ray.json,61382d0fc9a925bd4889ed62f17cc8d3289491f4000cf6bcfe192154c2659b01,226,file,file,json,configuration,authoritative,,BASE03;IRRULE002,synthesized,Stable operator intents are useful independent of donor lists; express target-native presets rather than importing mutable rule bodies.,Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,.github/workflows/ci.yml,dd69f17b6cfe5197a6da4e6feb31669541a42e0a648d0f71225769cc1fc126e6,1309,file,file,yaml,repository-administration,derived,,BASE04,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,.github/workflows/release.yml,cd203bb9d2e40761398619e096abde39c5d1af89f2b7d3b0d2b21573414739a1,8298,file,file,yaml,repository-administration,derived,,BASE04,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,.gitignore,c78775893a3ea41edf268d723da8d66cbac75abc26aa1b468251fa39a2ae420a,498,file,file,other,repository-administration,derived,,BASE04,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,LICENSE,1277596c706c04c2d0823dfd7700be8a30dbc28be0f838c68e4f3a7df5baa067,1070,file,file,other,governance,descriptive,,BASE04,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,README.md,4b5c02bf5d17d8976f13207484dfbcb8a55f9e10e9aee71a4e0b009568273364,16746,file,file,markdown,documentation,descriptive,,BASE04,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,README_FA.md,f91c9ca763e3fac861aa45a31d1b3556f95350357bb6b7daffdbdaf31b5f3116,22476,file,file,markdown,documentation,descriptive,,BASE04,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/Code.gs,0006f8dda16e6b399ab2e9ebc470475ea5f8b48023c946c0cf94d9f4e727ee17,8367,file,file,other,fixture,derived,,BASE04;JJ005,superseded,"Transport helper structure and error handling were reviewed, but LumiNet already owns both HTTP relay adapters and retry state; importing another H2/fronting stack would fork transport authority.",Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/cloudflare_worker.js,3ab186cb45fa08203f86000698e53f2ebab6c4a506dc93304e14c9c809a5f60a,3287,file,file,javascript,implementation,authoritative,,BASE04;JJ005,superseded,"Transport helper structure and error handling were reviewed, but LumiNet already owns both HTTP relay adapters and retry state; importing another H2/fronting stack would fork transport authority.",Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/cloudflare_worker_tcp.js,7825b88085b84957692d4b70192e29ec176909d67afb781a1bb1640893ec6a00,8125,file,file,javascript,implementation,authoritative,,BASE04;JJ005,superseded,"Transport helper structure and error handling were reviewed, but LumiNet already owns both HTTP relay adapters and retry state; importing another H2/fronting stack would fork transport authority.",Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/deno_deploy.ts,d64436433671e541e90ff1f31215e890e1785eede6c36d4be46172c1ab73b712,2845,file,file,typescript,implementation,authoritative,,BASE04;JJ005,superseded,"Transport helper structure and error handling were reviewed, but LumiNet already owns both HTTP relay adapters and retry state; importing another H2/fronting stack would fork transport authority.",Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/setup_vps_exit_node.sh,1c718e83e3e268ff23964f0f75be00c616cf64e51252300ea4488354db5e92cf,10669,file,file,shell,script,authoritative,,BASE04;JJ005,superseded,"Transport helper structure and error handling were reviewed, but LumiNet already owns both HTTP relay adapters and retry state; importing another H2/fronting stack would fork transport authority.",Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/vps_exit_node.py,4f94bff12861552e9ec216c63950df17a49c41e784e45c6109fc280bdb8d887d,10390,file,file,python,implementation,authoritative,,BASE04;JJ005,superseded,"Transport helper structure and error handling were reviewed, but LumiNet already owns both HTTP relay adapters and retry state; importing another H2/fronting stack would fork transport authority.",Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/wrangler_tcp.toml,20c43c4c038ae4adcd9bce01e6706ca8a1a3056485ea97c632e4624d6f8842f8,673,file,file,toml,configuration,authoritative,,BASE04;JJ005,superseded,"Transport helper structure and error handling were reviewed, but LumiNet already owns both HTTP relay adapters and retry state; importing another H2/fronting stack would fork transport authority.",Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,config.example.json,16b6417c851a95b3b6cf60ff3c6c7f261c15d29fdb96e4e0c4e346c487931eb6,1571,file,file,json,configuration,authoritative,,BASE04,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,docs/exit-node/EXIT_NODE_DEPLOYMENT.md,be974494923d69095118413cec013a04f556e13922c0f4cbc13b1bfaa58e06d2,3529,file,file,markdown,documentation,descriptive,,BASE04,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,docs/exit-node/EXIT_NODE_DEPLOYMENT_FA.md,a152dcf937b4d0040ab4de51fa9c9d6eb56abd168b0eb0b13d5bd12c9ed860d7,3601,file,file,markdown,documentation,descriptive,,BASE04,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,main.py,32b494031ed2fc050c04233ad8a1b6f7ace61f44c104e6e901e89ebed0c78c0e,11961,file,file,python,implementation,authoritative,,BASE04;JJ005,superseded,"Transport helper structure and error handling were reviewed, but LumiNet already owns both HTTP relay adapters and retry state; importing another H2/fronting stack would fork transport authority.",Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,package-lock.json,d8e55f371003bc70919fe58e714239fb18c8c60bc45e7512bc4a73b5a4c89125,49007,file,file,json,configuration,authoritative,,BASE04,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,package.json,a4c9a4f03de4cbc2a9ffa3f3520a9b72bd35f4c71167b4ffc32e24ae7b98b519,57,file,file,json,configuration,authoritative,,BASE04,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,requirements.txt,35a9fd606ca2f4e98a5236ab82fcbd19d8b9ba0579ef09b89a49c7894b23b5cd,747,file,file,other,documentation,descriptive,,BASE04,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,scripts/benchmark_transport.py,52b1e12a412f5f1a4faac39e8548c9b351c48c52fc44ac3513b347b313ab1e36,27586,file,file,python,script,authoritative,,BASE04;JJ005,superseded,"Transport helper structure and error handling were reviewed, but LumiNet already owns both HTTP relay adapters and retry state; importing another H2/fronting stack would fork transport authority.",Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,setup.py,e0b015de747498faccdd497c5db3decad799ab19311e9cd10ed45f1a88bb5374,6309,file,file,python,implementation,authoritative,,BASE04;JJ005,superseded,"Transport helper structure and error handling were reviewed, but LumiNet already owns both HTTP relay adapters and retry state; importing another H2/fronting stack would fork transport authority.",Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/__init__.py,d131a96392f6547d09c13deb99c973989871c210b5107d3500bdf7fd5163e5d2,163,file,file,python,implementation,authoritative,,BASE04;JJ005,superseded,"Transport helper structure and error handling were reviewed, but LumiNet already owns both HTTP relay adapters and retry state; importing another H2/fronting stack would fork transport authority.",Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,25423,file,file,python,implementation,authoritative,,BASE04;JJ003;JJ005,rejected-with-reason,CERT_NONE probing expands trust unsafely and contradicts LumiNet strict TLS evidence.,Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/codec.py,84a41465d44c3a8de7c5bccdecec6064c0dfea9962c14f88eb07afa4ac853a06,2652,file,file,python,implementation,authoritative,,BASE04;JJ004;JJ005,superseded,LumiNet already has typed proxy config/runtime owners and importing a second proxy stack would split authority.,Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/constants.py,ceb336f28b626df613bf89be7c7b0694680fff6b0de6936eed469e07fbfa98d7,8881,file,file,python,implementation,authoritative,,BASE04;JJ005,superseded,"Transport helper structure and error handling were reviewed, but LumiNet already owns both HTTP relay adapters and retry state; importing another H2/fronting stack would fork transport authority.",Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/google_ip_scanner.py,bde5c897444a98636a6bf41eab367b183c8fb55db2b35bc89ae822f38bb3bde0,5960,file,file,python,implementation,authoritative,,BASE04;JJ003;JJ005,rejected-with-reason,CERT_NONE probing expands trust unsafely and contradicts LumiNet strict TLS evidence.,Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/lan_utils.py,3f519416dfb40aa77b592178312cd6ac977a21074f9a686c76bfa7f4cdc16b1f,5105,file,file,python,implementation,authoritative,,BASE04;JJ005,superseded,"Transport helper structure and error handling were reviewed, but LumiNet already owns both HTTP relay adapters and retry state; importing another H2/fronting stack would fork transport authority.",Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/logging_utils.py,2ffc223a706cf78f45139bc323b6c62edba4f24a700eb5ae04b65fcd2fb66e65,10098,file,file,python,implementation,authoritative,,BASE04;JJ005,superseded,"Transport helper structure and error handling were reviewed, but LumiNet already owns both HTTP relay adapters and retry state; importing another H2/fronting stack would fork transport authority.",Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/proxy/__init__.py,01f73b79b81d1bc936bbd571e84b7d6275ccaaccc31f889a45f597149360c9c3,135,file,file,python,implementation,authoritative,,BASE04;JJ005,superseded,"Transport helper structure and error handling were reviewed, but LumiNet already owns both HTTP relay adapters and retry state; importing another H2/fronting stack would fork transport authority.",Focused semantic link(s) plus base accountability.
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/proxy/mitm.py,1e2a62d1fa561de99aec1de95e34653ce243afff8630170cb328565279c793ce,6736,file,file,python,implementation,authoritative,,BASE04;JJ003,rejected-with-reason,CERT_NONE probing expands trust unsafely and contradicts LumiNet strict TLS evidence.,Focused semantic link(s) plus base accountability.
