path,change_type,accountability_class,fourth_order_record_ids,reason,verification_node,third_wave_sha256,current_sha256
scripts/checks/check_third_wave_convergence.py,modified,historical-evidence-repair,FO-REPAIR001,Validate immutable third-wave delivered state from fourth-order predecessor baseline,scripts/checks/check_third_wave_convergence.py#SUCCESSOR_BASELINE,e461496fbdc43dc7ce9797e2591a8596b5861f4a593943bd226a39385186af4c,ce91e108988114a6aa067ed5dcfc1f31a3729f8897add56934be2f92a6a6c241
src/apps/daemon/internal/adapters/api/handlers_host_network_plan.go,added,operator-surface,FO-006,Expose non-authoritative host-network preview through existing authenticated API adapter,src/apps/daemon/internal/adapters/api/handlers_host_network_plan.go#PlanHostNetwork,n/a,abd972b7a28b88e1e38e4dea7c349d12830d31cde290448b85fe1691bffe9b5a
src/apps/daemon/internal/adapters/api/handlers_subscription_profiles.go,modified,operator-surface,FO-003,Validate bounded primary/mirror source syntax before profile storage,src/apps/daemon/internal/adapters/api/handlers_subscription_profiles.go#validateSubscriptionSources,279d153deb0d883f21ced50a00a381549ad1108eeb689ea5d699078e2b1da41b,56df519724c40c50881c5d8a19c29614116d76b5200f59a79bc76e78bfe6a414
src/apps/daemon/internal/adapters/api/handlers_update_admission.go,added,operator-surface,FO-005,Expose signed update admission plan bound to daemon build identity without apply authority,src/apps/daemon/internal/adapters/api/handlers_update_admission.go#PlanSignedUpdate,n/a,03011b917e37c274323c9ed901bf72517188b60bd288a654a7f9dc460f94df9b
src/apps/daemon/internal/adapters/api/routes_system.go,modified,operator-surface,FO-005;FO-006,Register signed update-plan and host-network-plan routes under existing system API owner,src/apps/daemon/internal/adapters/api/routes_system.go#setupSystemRoutes,6f9efad41a1e10a9cde5f4380401f766f915a531d1f261863b26e4dc95d62813,de0c71fd6dd5bac1d11d0467831d3fd8cc7225d12f917257a8e29636580ddbc4
src/apps/daemon/internal/analysis/diagnostics/sni_spoof_scan.go,modified,semantic-owner,FO-002,Intersect SNI diagnostic concurrency with conservative host-capacity ceiling,src/apps/daemon/internal/analysis/diagnostics/sni_spoof_scan.go#runSniSpoofScanWithProbe,7ac04c8ad8b24853a2f96a47a8369805b4868e523291a51312984545e28cf64c,4a9d47823a7d73b2bf010060f81548b3ee20fedf6497d5775a45212a5f02c38e
src/apps/daemon/internal/foundation/boundedio/.context,added,navigation-context,FO-010,Allocation-bounded line I/O owner and tests/context,src/apps/daemon/internal/foundation/boundedio/line.go#ReadLine,n/a,4e4c4366f766b7c6f09bea4d5abbc5602c0f9c001f8318cb8810ee34f816408c
src/apps/daemon/internal/foundation/boundedio/line.go,added,semantic-owner,FO-010,Allocation-bounded line I/O owner and tests/context,src/apps/daemon/internal/foundation/boundedio/line.go#ReadLine,n/a,3c3fa7390f7745a93889f355d9d1bf80128f8b60cdd9fa71af42d7f302f93aff
src/apps/daemon/internal/foundation/boundedio/line_test.go,added,acceptance-evidence,FO-010,Allocation-bounded line I/O owner and tests/context,src/apps/daemon/internal/foundation/boundedio/line.go#ReadLine,n/a,bdf1306721a77413ed57889f0cd05ea4ef419a086ad246fca35590aa429ad16a
src/apps/daemon/internal/foundation/config/config.go,modified,semantic-owner,FO-001;FO-005,Quarantine structurally corrupt config and add public update-admission trust-root configuration,src/apps/daemon/internal/foundation/config/config.go#Load,d833d6c03d24980de28a4274a59bfb41544ad203b9ac21593ed624e347f81986,5a2ac4270915c4eb864ac0a4ab8be8a3a26d9359537b7633a0a4d9cf620904ba
src/apps/daemon/internal/foundation/config/quarantine.go,added,semantic-owner,FO-001,Collision-safe bounded forensic quarantine of structurally corrupt active config,src/apps/daemon/internal/foundation/config/quarantine.go#quarantineCorruptConfig,n/a,d36465eda16fcb2394a7184f9b71d84988819b9f8d06127210794fcdea6d78ab
src/apps/daemon/internal/foundation/config/quarantine_test.go,added,acceptance-evidence,FO-001,"Verify exact-byte quarantine, non-overwrite, and name-budget fail-closed behavior",src/apps/daemon/internal/foundation/config/quarantine_test.go#TestLoadQuarantinesStructurallyCorruptConfig,n/a,36d9b2ffb048c258b12a5e28f3d6541c05d8624749e6e7d7cd8f196f80cae873
src/apps/daemon/internal/foundation/resourcebudget/.context,added,navigation-context,FO-002,Host-capacity ceiling owner and tests/context,src/apps/daemon/internal/foundation/resourcebudget/resourcebudget.go#CapWorkers,n/a,5153944823828d037609cc2252fd16a5ae39affe5e3168ff144ad4a590e2b1eb
src/apps/daemon/internal/foundation/resourcebudget/resourcebudget.go,added,semantic-owner,FO-002,Host-capacity ceiling owner and tests/context,src/apps/daemon/internal/foundation/resourcebudget/resourcebudget.go#CapWorkers,n/a,b36f05f47764dc96e9cc6b7b9efe30a47c86cb33d38cfde8d791de457b748a45
src/apps/daemon/internal/foundation/resourcebudget/resourcebudget_test.go,added,acceptance-evidence,FO-002,Host-capacity ceiling owner and tests/context,src/apps/daemon/internal/foundation/resourcebudget/resourcebudget.go#CapWorkers,n/a,a4c9456c1e244d532a9953865c7e76a10eb31802d3ed8919d25136eda171064f
src/apps/daemon/internal/foundation/updateadmission/.context,added,navigation-context,FO-005,Signed update-admission trust boundary and tests/context,src/apps/daemon/internal/foundation/updateadmission/updateadmission.go#Verify,n/a,431448e653dd7edb631d6a1ffae487af6fd95351d661700e6c5595d017ddd904
src/apps/daemon/internal/foundation/updateadmission/updateadmission.go,added,semantic-owner,FO-005,Signed update-admission trust boundary and tests/context,src/apps/daemon/internal/foundation/updateadmission/updateadmission.go#Verify,n/a,01ab33dfd37dad1daf752577c68841abf5f695958d71d84235d335f5485058a4
src/apps/daemon/internal/foundation/updateadmission/updateadmission_test.go,added,acceptance-evidence,FO-005,Signed update-admission trust boundary and tests/context,src/apps/daemon/internal/foundation/updateadmission/updateadmission.go#Verify,n/a,a18b52b813ffc2f2f47102add6e7ffc826d1bb709291f786eb7f852225b77b0b
src/apps/daemon/internal/integrations/sub/aggregate.go,modified,transitive-caller,FO-002,Intersect existing four-worker subscription ingestion limit with host-capacity ceiling,src/apps/daemon/internal/integrations/sub/aggregate.go#resolveInputsBounded,6b831af1738ce72456bf7fbed96dee66ef42f0e7357d1ab844d5bad216fc64f0,d6e8fdb29a5ccaf0053f9f30e5ceeb687b4d61979b59b9abb0f348f697a37071
src/apps/daemon/internal/integrations/sub/egress.go,modified,semantic-owner,FO-003,Share one pure HTTPS/no-userinfo/443 source syntax boundary with runtime SSRF-safe egress,src/apps/daemon/internal/integrations/sub/egress.go#ValidateProfileSourceURL,ab8275964464681e7a2d02e5e5815756b8e06a3ffe883af436626ee8c2cbee51,33e5240430b5f7f944a2193dc1b2972ecd7dd95a028c5599d196b047253efaab
src/apps/daemon/internal/integrations/sub/egress_test.go,modified,acceptance-evidence,FO-003,Verify static source admission rejects unsafe scheme/userinfo/port/oversize cases,src/apps/daemon/internal/integrations/sub/egress_test.go#TestValidateProfileSourceURLStaticBoundary,2cdafe41f0d50f532c1061bb6bc37acfa4070f5f864a2cdaddfdb726878be175,eb2b527f701f609392219650d1940f6c3130eeb0911ee401c6299884ae4bb3ea
src/apps/daemon/internal/integrations/sub/profile_service.go,modified,semantic-owner,FO-003;FO-004;FO-008;FO-REPAIR003,"Bounded mirrors, per-source health/backoff, last-good preference, redacted diagnostics, and historical primary-failure anchor compatibility inside ProfileService",src/apps/daemon/internal/integrations/sub/profile_service.go#orderedProfileSources,bece12a04fd80362fb08c2a43541c114edcedc173513698e94e2b8a8235b900d,28c3484a3a4b80754ec133274c6e2603008b50eec1b0b13dec600f32e4021ec2
src/apps/daemon/internal/integrations/sub/profile_source_health_test.go,modified,acceptance-evidence,FO-003;FO-004;FO-008,"Verify mirror failover, last-good ordering, health/backoff, bounds, cloning, and stale-state pruning",src/apps/daemon/internal/integrations/sub/profile_source_health_test.go#TestProfileRefreshFallsBackToMirrorAndPrefersLastGoodSource,c05ae50eeadc6c09a2d2aa8ddced7fd66128eddf5168b7464026c4c22b51de24,0b0fb63b6ed94c2e726f15b397da5c792df51bba8b19d3acd250bfa90cc1163c
src/apps/daemon/internal/platform/system/control_filter.go,modified,transitive-caller,FO-010,Bound whitelist control-command lines before forwarding,src/apps/daemon/internal/platform/system/control_filter.go#handleConn,2f85947dbe072d91830ed45621cec34afedec8f988978798e6fbc1a9b57d47ef,52c7d70e070181f8ef83476b2ab06b82fe9a0e348089dc0eda91ba682fcc0144
src/apps/daemon/internal/platform/system/host_network.go,modified,semantic-owner,FO-006,Read-only host-network planning attached to existing transaction/rollback owner,src/apps/daemon/internal/platform/system/host_network.go#PlanHostNetwork,437ac99c0aa79594ae1a9454909be1273975e470481d6af058b5e7daefa51a3a,99851c31fa7c842528f46a45364dab062def830de1f54b9624f157a5c8d6ed0c
src/apps/daemon/internal/platform/system/host_network_test.go,modified,acceptance-evidence,FO-006,Verify host-network preview is side-effect free and semantically compares current/requested state,src/apps/daemon/internal/platform/system/host_network_test.go#TestHostNetworkPlanCapturesDNSWithoutMutationOrStateFiles,994137062c777664c7bbe3e29d8d783ca86e1400b5ca251c74b6d8f1ff7ddf54,0eb58ba7e9b7179bd78e47449164b7bee411a619c993370326fb34fda5bad144
src/apps/daemon/internal/platform/system/tor_controller.go,modified,transitive-caller,FO-010,Bound Tor control reply lines and close on oversize to prevent stream desynchronization,src/apps/daemon/internal/platform/system/tor_controller.go#readLineLocked,e032bdbdd75ce1d2bf2cb52d59ed9ece1bca870244b2b5b73309a2e506763dd5,1662b67623e0fbf026f41d0161f72c475fdd3137a776aaf951476f79a53f22e1
src/apps/daemon/internal/platform/system/tor_process.go,modified,transitive-caller,FO-010,Bound dormant Tor reply scanner line accumulation,src/apps/daemon/internal/platform/system/tor_process.go#scannerForReply,a4e64d4dad5b038ba94d121b9f3a888e68cbba77fed91744d840cbff0276766b,7b92e6ecf4271fef89efeb184516a195e0fa066de987fc699b04322439f11136
src/apps/daemon/internal/runtime/proxy/https_connect_fragmentor.go,modified,transitive-caller,FO-010,Bound manual HTTP CONNECT response lines before parsing,src/apps/daemon/internal/runtime/proxy/https_connect_fragmentor.go#ResponseLineReader,294d5ec003d352c3759e8530f39d6979c030d95c15060a1b6cab6df3028ea708,01b63d12cef103b4ccb1b4e2f1ab2d69bf14d7149b87686e86dfdfeb7828a2cd
