module_id,donor,path,surface_count,symbol_count,semantic_record_ids,disposition_summary,notes
S6MOD022,g2rayXHTTPS-master.zip,g2rayXHTTPS-master/docs,1,0,S6-009,adapted,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD023,nahan-main.zip,nahan-main,6,284,S6-011;S6-028;S6-010,superseded;adapted,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD024,node-bot-master.zip,node-bot-master,5,18,S6-024,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD025,node-bot-master.zip,node-bot-master/lib,1,18,S6-024,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD026,node-bot-master.zip,node-bot-master/test,1,0,S6-024,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD027,node-dom-master.zip,node-dom-master,14,263,S6-021;S6-020,superseded;inspired-native,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD028,node-dom-master.zip,node-dom-master/lib,10,263,S6-020;S6-021,inspired-native;superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD029,node-dom-master.zip,node-dom-master/lib/browser,6,235,S6-020;S6-021,inspired-native;superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD030,node-dom-master.zip,node-dom-master/lib/ew,1,8,S6-021,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD031,node-dom-master.zip,node-dom-master/lib/language,1,1,S6-021,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD032,node-dom-master.zip,node-dom-master/lib/proxy,1,4,S6-021,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD033,node-dom-master.zip,node-dom-master/test,1,0,S6-021,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD034,node-gadgets-master.zip,node-gadgets-master,5,17,S6-023;S6-022,superseded;inspired-native,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD035,node-gadgets-master.zip,node-gadgets-master/lib,1,17,S6-022;S6-023,inspired-native;superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD036,node-gadgets-master.zip,node-gadgets-master/test,1,0,S6-022;S6-023,inspired-native;superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD037,node-typedarray-master(1).zip,node-typedarray-master,4,27,S6-018,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD038,node-typedarray-master(1).zip,node-typedarray-master/lib,1,27,S6-018,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD039,onion-route-proxy-main.zip,onion-route-proxy-main,4,0,S6-016;S6-015,rejected-with-reason;inspired-native,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD040,onion-route-proxy-main.zip,onion-route-proxy-main/.github,2,0,S6-016,rejected-with-reason,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD041,onion-route-proxy-main.zip,onion-route-proxy-main/.github/workflows,1,0,S6-016,rejected-with-reason,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD042,websocket-master.zip,websocket-master,2,39,S6-019,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD043,websocket-master.zip,websocket-master/lib,1,39,S6-019,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
