donor,archive,archive_sha256,member_count,file_surfaces,directories,symbols,license,archive_issues,semantic_record_ids,disposition_summary
coredns-master,coredns-master.zip,99a1da842b6a5144590f526e7fe65835077255bc17c2f413aaefddc9c3d030f9,1103,985,118,4130,Apache-2.0,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0003;E8-0004;E8-0005,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
dns-over-https-proxy-master,dns-over-https-proxy-master.zip,2aa075051e81ed0daae1d3bb3db666e16a9b4e4358f5b16043caed40bcfee84f,1294,1091,203,16,Apache-2.0,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0012,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
firewalla-master,firewalla-master.zip,3b2a30af746488484b4d7a0c6b335a20e268dfe07565ac7c598bbfab57083b04,2599,2249,350,3542,AGPL-3.0; target independently rederives selected semantics,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0001;E8-0002,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
ftpscan-master,ftpscan-master.zip,d6f7a61feaceb4205291070d20e4ba540af635c62afdd5e3e1970124e7fa2051,11,10,1,12,no explicit license,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0028,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
godnsagent-master(1),godnsagent-master(1).zip,ff39d81b6cb5a1dd4269526efd121691d1b4cc8d9e2635c0f767fcfd70a1ff69,25,21,4,26,MIT,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0011,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
lossyconn-master,lossyconn-master.zip,b2ed9ec6f403bed4a8bdfb2d4c7149a12b83715c4458837df9320afecec97b02,10,9,1,46,MIT,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0013,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
openssl-cffi-master,openssl-cffi-master.zip,99322671d546b84e1076ae304eabc1ddfd9edc600129f62beff52bbf14b4530a,5,4,1,5,Apache-2.0,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0015,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
sing-geoip-main,sing-geoip-main.zip,3f7a90618be692321dada33b8ca52aa27571a157a38530d3ea063356bc8d13f7,16,13,3,11,GPL-family copyleft; target does not copy generator source,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0016,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
sing-geosite-main,sing-geosite-main.zip,f054fa0081b791fc0787e9dd94404c54334a5b9edc46aebae38ace01c68e6001,16,13,3,14,GPL-family copyleft; target does not copy generator source,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0017,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
sysproxy-main,sysproxy-main.zip,61a7ee336866edf6c019c473a74dbccf87a19929b41e3eb7b79748021e6f88db,11,7,4,4,MIT,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0014,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
unique-queue-master,unique-queue-master.zip,d2d7a3181b38df8464d37f0e17552b8347ee82d912232b08bd5f4ca08857b019,9,8,1,28,no explicit license,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0019,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
v2rayng-panel-main(1),v2rayng-panel-main(1).zip,fe7b75817fc8cdc62c16025affd05327c39ec086508f551b394358017a83a454,2,1,1,0,no explicit license,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0026,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
vps-warp-main(1),vps-warp-main(1).zip,4466f36e5c9084a472f55b1b3cbd6ce93dfdac39b38c9213e2e5ef29f08c044c,4,3,1,7,MIT,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0018,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
