record_id,donor,path,sha256,size_bytes,file_type,language,classification,authority_status,module_id,module_role,module_disposition,semantic_record_ids,notes,fourth_order_record_ids,current_resolution,review_rationale,review_status
SURF-aether-5c74ad8d29f456fa,Aether,TRADEMARK.md,505e57454232a4e5cc4958a91213ec26b87628df7b8842a52cb7fbfea9ac435f,1216,md,markdown,documentation,authoritative-or-review-required,aether-root,documentation-build,reference-only,SURF-aether-5c74ad8d29f456fa,n/a,n/a,resolved-live-by-semantic-review,Exact bytes remain pinned by SHA-256 and were re-reviewed under module aether-root. All semantic children re-evaluated against the frozen third-wave target: SEM087 -> synthesized. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
SURF-aether-70e8848ec220645a,Aether,aether.sh,3c9ab90e55bd8c33e6e785c60fd5d55ca7f81a39d08f52ad7c1b1683aaf0d5f8,6996,sh,shell,implementation,authoritative-or-review-required,aether-root,documentation-build,reference-only,SURF-aether-70e8848ec220645a,n/a,n/a,resolved-live-by-semantic-review,Exact bytes remain pinned by SHA-256 and were re-reviewed under module aether-root. All semantic children re-evaluated against the frozen third-wave target: SEM087 -> synthesized. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
SURF-aether-05396f4e207614db,Aether,aether/Cargo.lock,71fcff0f88e7e82377046e3365ff04a92a255ca934cc0c814b33ff6142c9f6b7,73014,lock,unknown,implementation,authoritative-or-review-required,aether-owner-build,build-config,reference-only,SURF-aether-05396f4e207614db,n/a,n/a,reference-only-after-fourth-order-review,Exact bytes remain pinned by SHA-256 and were re-reviewed under module aether-owner-build. Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
SURF-aether-dc6f0b3a018b2718,Aether,aether/Cargo.toml,af6407ab0ea5d151037b750e49ce2912853a398b55a5446e073a06c4de686dd3,1281,toml,toml,configuration,authoritative-or-review-required,aether-owner-build,build-config,reference-only,SURF-aether-dc6f0b3a018b2718,n/a,n/a,reference-only-after-fourth-order-review,Exact bytes remain pinned by SHA-256 and were re-reviewed under module aether-owner-build. Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
SURF-aether-c9126e0030852e16,Aether,aether/run-aether.bat,670db317fb113ac3c20713337228953218a204fe6cdac71906e4e1058e0a6565,254,bat,batch,implementation,authoritative-or-review-required,aether-owner-build,build-config,reference-only,SURF-aether-c9126e0030852e16,n/a,n/a,reference-only-after-fourth-order-review,Exact bytes remain pinned by SHA-256 and were re-reviewed under module aether-owner-build. Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
SURF-aether-866e26ad5098e5c6,Aether,aether/src/account.rs,52e03a64005190de3bc5919618abf00b45f7a1a4f7547da92ea0410117ae4d84,32716,rs,rust,implementation,authoritative-or-review-required,aether-owner-account,owner-runtime,resolved-by-semantic-ledger,SURF-aether-866e26ad5098e5c6;SEM055;SEM056;SEM095,n/a,FO-007,SEM055:superseded;SEM056:reference-only;SEM095:adapted,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM055:superseded;SEM056:reference-only;SEM095:adapted); remaining content was reviewed under module aether-owner-account without granting module-shaped authority.,reviewed
SURF-aether-fa46d4ea5d75921f,Aether,aether/src/aethernoize.rs,30784480419fdf8712e8f1c6129c090399628bd4e57459fca6a1f26b0ba10038,10671,rs,rust,implementation,authoritative-or-review-required,aether-owner-aethernoize,owner-runtime,resolved-by-semantic-ledger,SURF-aether-fa46d4ea5d75921f;SEM070,n/a,n/a,SEM070:superseded,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM070:superseded); remaining content was reviewed under module aether-owner-aethernoize without granting module-shaped authority.,reviewed
SURF-aether-982002bee2c0afe3,Aether,aether/src/apifront.rs,8a94cc491ed088c5f3c1a78fdbc71f4d1b38ee22b48dfcae9ea369fda51db752,15505,rs,rust,implementation,authoritative-or-review-required,aether-owner-apifront,owner-runtime,resolved-by-semantic-ledger,SURF-aether-982002bee2c0afe3;SEM054,n/a,n/a,SEM054:hardened,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM054:hardened); remaining content was reviewed under module aether-owner-apifront without granting module-shaped authority.,reviewed
SURF-aether-9fed4ddd6c555328,Aether,aether/src/cli.rs,d74e703de1ee5b4a3b190293a396177f6dd8ee3287cc2c6bdac70fbee7ebe468,10134,rs,rust,implementation,authoritative-or-review-required,aether-owner-cli,owner-runtime,resolved-by-semantic-ledger,SURF-aether-9fed4ddd6c555328;SEM089,n/a,n/a,SEM089:superseded,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM089:superseded); remaining content was reviewed under module aether-owner-cli without granting module-shaped authority.,reviewed
SURF-aether-4def6f4ffa405c7f,Aether,aether/src/config.rs,a686ad604b3db036a58c5b3468a651bfcebaa15cd5670ff20d26f4d0b8784766,14224,rs,rust,implementation,authoritative-or-review-required,aether-owner-config,owner-runtime,resolved-by-semantic-ledger,SURF-aether-4def6f4ffa405c7f;SEM052,n/a,FO-001,SEM052:adapted,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM052:adapted); remaining content was reviewed under module aether-owner-config without granting module-shaped authority.,reviewed
SURF-aether-94e0a4db46b4c838,Aether,aether/src/consts.rs,4c7557545a94e28203f28a00b3c96ebefee8787d3ab805e287040a6260e2e7ae,2174,rs,rust,implementation,authoritative-or-review-required,aether-owner-consts,owner-runtime,resolved-by-semantic-ledger,SURF-aether-94e0a4db46b4c838;SEM090,n/a,n/a,SEM090:reference-only,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM090:reference-only); remaining content was reviewed under module aether-owner-consts without granting module-shaped authority.,reviewed
SURF-aether-b929474907f1c808,Aether,aether/src/dns.rs,9d864605329ed60598a2ff839ca9ffcabfa797fad3a1f1d64a99b678f8bc0207,8493,rs,rust,implementation,authoritative-or-review-required,aether-owner-dns,owner-runtime,resolved-by-semantic-ledger,SURF-aether-b929474907f1c808;SEM050,n/a,n/a,SEM050:hardened,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM050:hardened); remaining content was reviewed under module aether-owner-dns without granting module-shaped authority.,reviewed
SURF-aether-3bc4709f2f8f3d85,Aether,aether/src/error.rs,db41fdb397a0e87256ca854e8862b767cdf09729793f2e8437ac45db6b9eb9ed,653,rs,rust,implementation,authoritative-or-review-required,aether-owner-error,owner-runtime,resolved-by-semantic-ledger,SURF-aether-3bc4709f2f8f3d85;SEM091,n/a,n/a,SEM091:superseded,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM091:superseded); remaining content was reviewed under module aether-owner-error without granting module-shaped authority.,reviewed
SURF-aether-1832d05e2eb1f727,Aether,aether/src/fragment.rs,413a51b5d5cd2f98b27cebbfc8acf915b188c1315c5e9c6d4145e38794ab34b7,4883,rs,rust,implementation,authoritative-or-review-required,aether-owner-fragment,owner-runtime,resolved-by-semantic-ledger,SURF-aether-1832d05e2eb1f727;SEM068,n/a,n/a,SEM068:superseded,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM068:superseded); remaining content was reviewed under module aether-owner-fragment without granting module-shaped authority.,reviewed
SURF-aether-4f31b5fae8430361,Aether,aether/src/lastconn.rs,266ae50fdc1d4ad77fcbf6a8d07285bdec992a58c929c6a5f2843753e78be55a,785,rs,rust,implementation,authoritative-or-review-required,aether-owner-lastconn,owner-runtime,resolved-by-semantic-ledger,SURF-aether-4f31b5fae8430361;SEM063,n/a,FO-004,SEM063:recomposed,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM063:recomposed); remaining content was reviewed under module aether-owner-lastconn without granting module-shaped authority.,reviewed
SURF-aether-517518820fed09b9,Aether,aether/src/mac_test.rs,8f894c502a4226b90e52077c1d5ed73fb6e8bf604cc6ce31db3ad4243bf16b87,340,rs,rust,implementation,authoritative-or-review-required,aether-owner-mac_test,owner-runtime,resolved-by-semantic-ledger,SURF-aether-517518820fed09b9;SEM099,n/a,n/a,SEM099:reference-only,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM099:reference-only); remaining content was reviewed under module aether-owner-mac_test without granting module-shaped authority.,reviewed
SURF-aether-905fde331cb62523,Aether,aether/src/main.rs,35438466cb50d6d70177cbeaeef84cd60c2f6fa6ed0277aea67fb25ecad5c36a,56507,rs,rust,implementation,authoritative-or-review-required,aether-owner-main,owner-runtime,resolved-by-semantic-ledger,SURF-aether-905fde331cb62523;SEM092;SEM093;SEM094,n/a,n/a,SEM092:superseded;SEM093:superseded;SEM094:reference-only,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM092:superseded;SEM093:superseded;SEM094:reference-only); remaining content was reviewed under module aether-owner-main without granting module-shaped authority.,reviewed
SURF-aether-40f4c864939cde9a,Aether,aether/src/masque.rs,9372fe30a22d7d598f24310e04a1397f925babdd4e102fdcf6d2de494c1ec140,11074,rs,rust,implementation,authoritative-or-review-required,aether-owner-masque,owner-runtime,resolved-by-semantic-ledger,SURF-aether-40f4c864939cde9a;SEM065,n/a,n/a,SEM065:reference-only,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM065:reference-only); remaining content was reviewed under module aether-owner-masque without granting module-shaped authority.,reviewed
SURF-aether-ed301f65144f1254,Aether,aether/src/masque_h2.rs,c846d80d964a3f5827965ca87bda70cfd705267fa86442dbd6b5afc6af3736e0,22007,rs,rust,implementation,authoritative-or-review-required,aether-owner-masque_h2,owner-runtime,resolved-by-semantic-ledger,SURF-aether-ed301f65144f1254;SEM066,n/a,n/a,SEM066:reference-only,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM066:reference-only); remaining content was reviewed under module aether-owner-masque_h2 without granting module-shaped authority.,reviewed
SURF-aether-ae1f4abe4eef7ed8,Aether,aether/src/netstack.rs,09861e5ef9494a30ace56d8d389ed4a7745e68fcf1d7f35ff71bef4832f32e17,30483,rs,rust,implementation,authoritative-or-review-required,aether-owner-netstack,owner-runtime,resolved-by-semantic-ledger,SURF-aether-ae1f4abe4eef7ed8;SEM058,n/a,n/a,SEM058:superseded,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM058:superseded); remaining content was reviewed under module aether-owner-netstack without granting module-shaped authority.,reviewed
SURF-aether-39682d51230a8eb0,Aether,aether/src/noize.rs,8300f59c3c20556bebd8e7e5949828e87d3959e22da0c1e917551e15e223219f,7009,rs,rust,implementation,authoritative-or-review-required,aether-owner-noize,owner-runtime,resolved-by-semantic-ledger,SURF-aether-39682d51230a8eb0;SEM069,n/a,n/a,SEM069:superseded,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM069:superseded); remaining content was reviewed under module aether-owner-noize without granting module-shaped authority.,reviewed
SURF-aether-bd436945dcfbcff7,Aether,aether/src/prober.rs,50e9b04ffd41b94853f57a1dade2776aee3f7f484f1c1c3be0ec1ca3bfcf93c6,21931,rs,rust,implementation,authoritative-or-review-required,aether-owner-prober,owner-runtime,resolved-by-semantic-ledger,SURF-aether-bd436945dcfbcff7;SEM060,n/a,n/a,SEM060:superseded,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM060:superseded); remaining content was reviewed under module aether-owner-prober without granting module-shaped authority.,reviewed
SURF-aether-f114afe03d5a128d,Aether,aether/src/quic.rs,85a09664ea95dd22d1eef7a6781f4718b8c1140a7df01d1e066b73f21686ca51,27596,rs,rust,implementation,authoritative-or-review-required,aether-owner-quic,owner-runtime,resolved-by-semantic-ledger,SURF-aether-f114afe03d5a128d;SEM067,n/a,n/a,SEM067:reference-only,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM067:reference-only); remaining content was reviewed under module aether-owner-quic without granting module-shaped authority.,reviewed
SURF-aether-b11c1ebb442172f6,Aether,aether/src/routing.rs,a7ca24fc6b1f2e773c72f51ba63f37245a0f6fabcfe37af51837f8debaa7bb30,14104,rs,rust,implementation,authoritative-or-review-required,aether-owner-routing,owner-runtime,resolved-by-semantic-ledger,SURF-aether-b11c1ebb442172f6;SEM053;SEM057,n/a,n/a,SEM053:guardrail-derived;SEM057:rejected-with-reason,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM053:guardrail-derived;SEM057:rejected-with-reason); remaining content was reviewed under module aether-owner-routing without granting module-shaped authority.,reviewed
SURF-aether-015889a3711c9cd4,Aether,aether/src/socks.rs,eff2ffad3d818c569d836ad9ccfe0c251984bde71480c1ed609447b6dbdfde5b,48643,rs,rust,implementation,authoritative-or-review-required,aether-owner-socks,owner-runtime,resolved-by-semantic-ledger,SURF-aether-015889a3711c9cd4;SEM048;SEM049;SEM096,n/a,n/a,SEM048:adapted;SEM049:adapted;SEM096:superseded,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM048:adapted;SEM049:adapted;SEM096:superseded); remaining content was reviewed under module aether-owner-socks without granting module-shaped authority.,reviewed
SURF-aether-492dffa6402fe165,Aether,aether/src/sysprofile.rs,7a0447923cb81cf1d2b7d45c83faa4ef6cbfddb18d37a873cd062fb352e38f46,5460,rs,rust,implementation,authoritative-or-review-required,aether-owner-sysprofile,owner-runtime,resolved-by-semantic-ledger,SURF-aether-492dffa6402fe165;SEM062,n/a,FO-002,SEM062:adapted,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM062:adapted); remaining content was reviewed under module aether-owner-sysprofile without granting module-shaped authority.,reviewed
SURF-aether-809a1e4734a90270,Aether,aether/src/tls.rs,0dc074e1022c6f67e2d0a18b4144bd38af263369ed8cdf057fd6c647b2587cf0,8529,rs,rust,implementation,authoritative-or-review-required,aether-owner-tls,owner-runtime,resolved-by-semantic-ledger,SURF-aether-809a1e4734a90270;SEM071;SEM109,n/a,n/a,SEM071:reference-only;SEM109:guardrail-derived,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM071:reference-only;SEM109:guardrail-derived); remaining content was reviewed under module aether-owner-tls without granting module-shaped authority.,reviewed
SURF-aether-004bb695ddd42a67,Aether,aether/src/tunnelping.rs,778068e825a2cdfbf7a5bc79fe3ca644c5a014d0070075e3930e3db9dd4b344c,7535,rs,rust,implementation,authoritative-or-review-required,aether-owner-tunnelping,owner-runtime,resolved-by-semantic-ledger,SURF-aether-004bb695ddd42a67;SEM051,n/a,n/a,SEM051:hardened,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM051:hardened); remaining content was reviewed under module aether-owner-tunnelping without granting module-shaped authority.,reviewed
SURF-aether-43d53cac23550018,Aether,aether/src/wg_prober.rs,ab7ade36f182ebb70787b9825c489f7441bf1ed98fd2ab5fe0352951bbbf6746,18002,rs,rust,implementation,authoritative-or-review-required,aether-owner-wg_prober,owner-runtime,resolved-by-semantic-ledger,SURF-aether-43d53cac23550018;SEM061,n/a,n/a,SEM061:superseded,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM061:superseded); remaining content was reviewed under module aether-owner-wg_prober without granting module-shaped authority.,reviewed
SURF-aether-82fcaae3273bb39b,Aether,aether/src/wireguard.rs,ba7d939f8e06ae353cec19a4705327f53312881210d2ebc5093e9e2304336a7f,31672,rs,rust,implementation,authoritative-or-review-required,aether-owner-wireguard,owner-runtime,resolved-by-semantic-ledger,SURF-aether-82fcaae3273bb39b;SEM059,n/a,n/a,SEM059:reference-only,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM059:reference-only); remaining content was reviewed under module aether-owner-wireguard without granting module-shaped authority.,reviewed
SURF-aether-3942ffb33a41e027,Aether,aether/src/zerotrust.rs,31d9a8a23f7165f5177432815d3fc9d107021be775f5abcc3df3bcd75e1e18f9,24922,rs,rust,implementation,authoritative-or-review-required,aether-owner-zerotrust,owner-runtime,resolved-by-semantic-ledger,SURF-aether-3942ffb33a41e027;SEM064;SEM097;SEM098,n/a,n/a,SEM064:reference-only;SEM097:reference-only;SEM098:reference-only,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM064:reference-only;SEM097:reference-only;SEM098:reference-only); remaining content was reviewed under module aether-owner-zerotrust without granting module-shaped authority.,reviewed
SURF-aether-3bb1fa5a904e8a85,Aether,quiche/.github/dependabot.yml,4c995a46c874cbddf8965f0c94d80bb24593fac61970a64fb85c9574af52ac19,1150,yml,yaml,vendored,authoritative-or-review-required,quiche-workspace,transport-build,reference-only,SURF-aether-3bb1fa5a904e8a85,n/a,n/a,reference-only-after-fourth-order-review,"Exact bytes remain pinned by SHA-256 and were re-reviewed under module quiche-workspace. Workspace/build surfaces are donor packaging, not target semantics; dependency and build lessons are retained without importing the workspace.",reviewed
SURF-aether-fa7ae638ac0ed5c4,Aether,quiche/.github/workflows/deploy.yml,1457b2cef50bd6bef170fa5ef20e35c6cdc1d208c0df16a1147be01b71b30526,1243,yml,yaml,vendored,authoritative-or-review-required,quiche-workspace,transport-build,reference-only,SURF-aether-fa7ae638ac0ed5c4,n/a,n/a,reference-only-after-fourth-order-review,"Exact bytes remain pinned by SHA-256 and were re-reviewed under module quiche-workspace. Workspace/build surfaces are donor packaging, not target semantics; dependency and build lessons are retained without importing the workspace.",reviewed
SURF-aether-026a8105f5339eb9,Aether,quiche/.github/workflows/nightly.yml,7bf4808a083a10d997b1817fa028d220832f88ccea084f486808a0ca7b167862,4881,yml,yaml,vendored,authoritative-or-review-required,quiche-workspace,transport-build,reference-only,SURF-aether-026a8105f5339eb9,n/a,n/a,reference-only-after-fourth-order-review,"Exact bytes remain pinned by SHA-256 and were re-reviewed under module quiche-workspace. Workspace/build surfaces are donor packaging, not target semantics; dependency and build lessons are retained without importing the workspace.",reviewed
SURF-aether-296e8b16bc09e009,Aether,quiche/.github/workflows/semgrep.yml,0a5b3c871895e7b75ba05bd63a332c485679858500e355b2a481a6a5f8e9f434,754,yml,yaml,vendored,authoritative-or-review-required,quiche-workspace,transport-build,reference-only,SURF-aether-296e8b16bc09e009,n/a,n/a,reference-only-after-fourth-order-review,"Exact bytes remain pinned by SHA-256 and were re-reviewed under module quiche-workspace. Workspace/build surfaces are donor packaging, not target semantics; dependency and build lessons are retained without importing the workspace.",reviewed
SURF-aether-08dcc70075f86aa6,Aether,quiche/.github/workflows/stable.yml,8f75a1c22c7cba64f141d9ceaac1c91bee4799c1bbdcaa1580841986fd6ba7d0,9556,yml,yaml,vendored,authoritative-or-review-required,quiche-workspace,transport-build,reference-only,SURF-aether-08dcc70075f86aa6,n/a,n/a,reference-only-after-fourth-order-review,"Exact bytes remain pinned by SHA-256 and were re-reviewed under module quiche-workspace. Workspace/build surfaces are donor packaging, not target semantics; dependency and build lessons are retained without importing the workspace.",reviewed
SURF-aether-f14f9d6fa19331c9,Aether,quiche/.gitignore,fdf2bcff204ed5c4614fff740ac2a00d87e1013ab8d8e8d26c54b2881e3b3099,46,none,unknown,vendored,authoritative-or-review-required,quiche-workspace,transport-build,reference-only,SURF-aether-f14f9d6fa19331c9,n/a,n/a,reference-only-after-fourth-order-review,"Exact bytes remain pinned by SHA-256 and were re-reviewed under module quiche-workspace. Workspace/build surfaces are donor packaging, not target semantics; dependency and build lessons are retained without importing the workspace.",reviewed
SURF-aether-54cc97ed2b455157,Aether,quiche/.gitlab-ci.yml,ae6b2f9dbaa92fef42ebeddff2720a8e46c0f033b8b724838163a978d53e6f6f,71,yml,yaml,vendored,authoritative-or-review-required,quiche-workspace,transport-build,reference-only,SURF-aether-54cc97ed2b455157,n/a,n/a,reference-only-after-fourth-order-review,"Exact bytes remain pinned by SHA-256 and were re-reviewed under module quiche-workspace. Workspace/build surfaces are donor packaging, not target semantics; dependency and build lessons are retained without importing the workspace.",reviewed
SURF-aether-4dc32b4fdc39c713,Aether,quiche/.semgrepignore,e83bd80bb212296e47557f733fcb27c1ac63372d0f8e6277c34fd31d1e250e6b,56,none,unknown,vendored,authoritative-or-review-required,quiche-workspace,transport-build,reference-only,SURF-aether-4dc32b4fdc39c713,n/a,n/a,reference-only-after-fourth-order-review,"Exact bytes remain pinned by SHA-256 and were re-reviewed under module quiche-workspace. Workspace/build surfaces are donor packaging, not target semantics; dependency and build lessons are retained without importing the workspace.",reviewed
SURF-aether-b567b39066be8106,Aether,quiche/CODEOWNERS,5687f759bc12b0784926c625a4c797925da02f0010391dd618b15539a0fa35d5,24,none,unknown,vendored,authoritative-or-review-required,quiche-workspace,transport-build,reference-only,SURF-aether-b567b39066be8106,n/a,n/a,reference-only-after-fourth-order-review,"Exact bytes remain pinned by SHA-256 and were re-reviewed under module quiche-workspace. Workspace/build surfaces are donor packaging, not target semantics; dependency and build lessons are retained without importing the workspace.",reviewed
SURF-aether-e69c761c57fd6e6a,Aether,quiche/COPYING,2ef4b5abfce387a83933bda738e72467a79d15c1c17679143ec55011dae66b84,1306,none,unknown,vendored,authoritative-or-review-required,quiche-workspace,transport-build,reference-only,SURF-aether-e69c761c57fd6e6a,n/a,n/a,reference-only-after-fourth-order-review,"Exact bytes remain pinned by SHA-256 and were re-reviewed under module quiche-workspace. Workspace/build surfaces are donor packaging, not target semantics; dependency and build lessons are retained without importing the workspace.",reviewed
