wave,record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
post-refactor-4d,PR141-M0011,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: android/app,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,android/app/build.gradle.kts,d5f437e64e40154cfe18bdd61bd0e983281cc58da5d7253a65381054c076c27b,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0012,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: assets/flags,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,assets/flags/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0013,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: local_packages/flutter_v2ray_client,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,local_packages/flutter_v2ray_client/.gitignore,2e7490d22602a0aa93a256069142b4281d789043f8dae7c05ec3ecaa694f8824,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0014,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: android/app,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,android/app/src/main/res/drawable-hdpi/ic_launcher_foreground.png,b4fda0eb4a09d226c2d51c6e3879c4a916a5bb9918d147dc0a99484917c4d4ff,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0015,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: assets/flags,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,assets/flags/at.svg,2754ed2fad9a76d459468dc28de45235fe55711b95b43d35bbb5322a9b802202,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0016,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: assets/images,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,assets/images/github.svg,483e3600d95f2178e21904752b1f26f4a6dcf1e6ccb69a2e06c00324842d6532,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0017,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: .github/ISSUE_TEMPLATE,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,.github/ISSUE_TEMPLATE/bug_report.md,d011716f56373a57315a2544aeea0f159147ed41bea13eb56130f94d771676f5,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0018,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: .github/workflows,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,.github/workflows/build-release.yml,29a4c02e0ac0ffd08c0cc41b35717ed5f2df23c10dde003f885e0c5c306a6455,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0019,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: @root,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,compile-hevtun.ps1,9d361e77e59ef7bdc54f985ec75aa478ad2c051731057d9282c5c4840568259b,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0020,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: android/app,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,android/app/src/debug/AndroidManifest.xml,30b0832ed8b92dfbd6ae2abfa939ccf26333d37600056b1572bd4a397a18a74b,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0021,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: lib,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,lib/main.dart,899998b73bea03ffc6d7750aeded91c03592e076c4e83f035c694df2d8d963b9,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0022,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: lib/models,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,lib/models/app_settings.dart,41ba9a37ef635b66ad68a8d51178f3fb7a94ffcce592f6b0df395165ac352a33,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0023,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: lib/screens,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,lib/screens/about_screen.dart,5edf09542bdb25006b00b3659f6afcde989195109235e9eb5d5e2c57eddb898a,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0024,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: lib/services,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,lib/services/app_settings_service.dart,8964b2e3dae8d97785ffdec5f3742b70ce5280b102b3c6467f44873173b0dda8,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0025,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: lib/theme,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,lib/theme/app_theme.dart,193d8b315c95894b02152a94308d6e2dc22b869238f82588b3849077deff985e,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0026,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: lib/widgets,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,lib/widgets/update_dialog.dart,84c405425e4288a23f0bcd79fa4aee752a54aa97673f53186fa68dbd4e2a6bf1,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0027,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: local_packages/flutter_v2ray_client,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,local_packages/flutter_v2ray_client/lib/flutter_v2ray.dart,97f054dbf6433eb02e697263d2295e312c5fd528eaa8a5a69f91f0799a8e8e3b,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0028,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: android/app,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,android/app/src/main/jniLibs/arm64-v8a/libhev-socks5-tunnel.so,40c201d9becdd7fe4c5dfed340740f38ef78fa2eda319c22e5560f859ebab0dc,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0029,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: local_packages/flutter_v2ray_client,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,local_packages/flutter_v2ray_client/android/libs/libv2ray.aar,ed60a7f281234df927780a1505c90ec2f4a32f1e47c5a7b6730e7426d11c5dd2,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0030,n/a,CG-PR141-ACCOUNT-geospoof-main,geospoof-main,surface accountability,complete donor subtree accountability: @root,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,package-lock.json,7c2a2e1fdaf838b251d478593dbebe7e741d9dcc983488b5978c5d2a77cff495,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,MIT,low,n/a,high,reviewed
post-refactor-4d,PR141-M0031,n/a,CG-PR141-ACCOUNT-geospoof-main,geospoof-main,surface accountability,complete donor subtree accountability: _locales/de,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,_locales/de/messages.json,1fa40632dbfa40d3e5460b0b1433dedd61f4ca2718f511b797f6c7beb2cdda07,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,MIT,low,n/a,high,reviewed
post-refactor-4d,PR141-M0032,n/a,CG-PR141-ACCOUNT-geospoof-main,geospoof-main,surface accountability,complete donor subtree accountability: _locales/en,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,_locales/en/messages.json,063b30700263fa32adb06327f07621e76da41f28c44a5b617997b017a3512af3,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,MIT,low,n/a,high,reviewed
post-refactor-4d,PR141-M0033,n/a,CG-PR141-ACCOUNT-geospoof-main,geospoof-main,surface accountability,complete donor subtree accountability: _locales/es,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,_locales/es/messages.json,11ac350ad7699898e99c09319ab8598acd4bea948c659ffa8cadc110dd88659b,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,MIT,low,n/a,high,reviewed
post-refactor-4d,PR141-M0034,n/a,CG-PR141-ACCOUNT-geospoof-main,geospoof-main,surface accountability,complete donor subtree accountability: _locales/fr,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,_locales/fr/messages.json,969e28ff830051cfe8abd8d3f9539a28d359db1606300a8252a7387f285b186d,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,MIT,low,n/a,high,reviewed
post-refactor-4d,PR141-M0035,n/a,CG-PR141-ACCOUNT-geospoof-main,geospoof-main,surface accountability,complete donor subtree accountability: _locales/id,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,_locales/id/messages.json,b4d73c2c37d64934544e80a9b5e6b02aa45a38739c8ce7a82667125d10310c39,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,MIT,low,n/a,high,reviewed
post-refactor-4d,PR141-M0036,n/a,CG-PR141-ACCOUNT-geospoof-main,geospoof-main,surface accountability,complete donor subtree accountability: _locales/ja,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,_locales/ja/messages.json,ef332a5c4d5c8774fdc1943cb4c128be6e15f98338b94a9b02b5a1f2c9983036,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,MIT,low,n/a,high,reviewed
