donor,path,language,kind,symbol,line,semantic_record_ids,resolution,rationale
RKh-SNI-Spoofing-main_1_,RKh-SNI-Spoofing-main/RKh-SNI-Spoofing-v0.1.2.py,python,function,check,53,S6-004,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
RKh-SNI-Spoofing-main_1_,RKh-SNI-Spoofing-main/RKh-SNI-Spoofing-v0.1.2.py,python,function,main,109,S6-004,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,dvwLE,1,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,a,3,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,dvrLE,6,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,a,8,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,newwLE,11,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,tmp,14,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,newrLE,20,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,arr,22,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,tmp,24,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,val,29,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,t,31,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,nt,33,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,n,47,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,t0,49,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,t0,57,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,t0,65,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/bug/dataview.js,javascript,binding,t0,73,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,function,inRange,35,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,_node,6,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,forge_buffers,7,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,data_view,8,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,node_buffers,9,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,fs,12,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,window,16,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,forge,18,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,RVAL,20,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,l,81,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,str,96,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,n,97,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,buff,101,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,index,102,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,l,104,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,buffer_size,110,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,b,125,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,l,126,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,b,135,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,l,136,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,l,157,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,l,209,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,281,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,290,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,295,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,300,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,309,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,320,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,325,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,330,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,l,337,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,r,338,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,tmp,344,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,361,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,o,404,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,arr,409,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,l,425,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,516,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,522,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,528,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,535,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,542,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,549,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,len,569,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,570,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,decode,789,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,l,790,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,arr,791,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,n,793,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,encode,798,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,l,800,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,arr,801,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,createCert,809,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,keys,811,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,cert,813,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,attrs,818,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,abstract_tls,869,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,type,870,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,data,871,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,txt,895,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,a,909,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,tmp,918,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,response,928,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,options,945,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,tlsserver,949,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,resp,952,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,client_tls,961,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,client,963,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,server_tls,974,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,server,976,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,node_client_tls,987,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,options,989,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,tls_socket_,994,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/abstract-tls.js,javascript,binding,tls,1022,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/browser-tls.js,javascript,binding,end,5,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/browser-tls.js,javascript,binding,data,7,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/browser-tls.js,javascript,binding,success,12,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
abstract-tls-master,abstract-tls-master/lib/browser-tls.js,javascript,binding,txt,43,S6-025,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
ahmia-crawler-master,ahmia-crawler-master/ahmia/ahmia/items.py,python,class,DocumentItem,25,S6-003;S6-027,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
ahmia-crawler-master,ahmia-crawler-master/ahmia/ahmia/items.py,python,class,LinkItem,37,S6-003;S6-027,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
ahmia-crawler-master,ahmia-crawler-master/ahmia/ahmia/items.py,python,class,AuthorityItem,43,S6-003;S6-027,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
ahmia-crawler-master,ahmia-crawler-master/ahmia/ahmia/items.py,python,function,remove_control_chars,14,S6-003;S6-027,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
ahmia-crawler-master,ahmia-crawler-master/ahmia/ahmia/items.py,python,function,to_float,18,S6-003;S6-027,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
ahmia-crawler-master,ahmia-crawler-master/ahmia/ahmia/middlewares.py,python,class,ProxyMiddleware,23,S6-002,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
ahmia-crawler-master,ahmia-crawler-master/ahmia/ahmia/middlewares.py,python,class,FilterBannedDomains,39,S6-002,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
ahmia-crawler-master,ahmia-crawler-master/ahmia/ahmia/middlewares.py,python,class,SubDomainLimit,52,S6-002,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
ahmia-crawler-master,ahmia-crawler-master/ahmia/ahmia/middlewares.py,python,class,FilterResponses,60,S6-002,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
ahmia-crawler-master,ahmia-crawler-master/ahmia/ahmia/middlewares.py,python,class,DomainLimitMiddleware,78,S6-002,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
ahmia-crawler-master,ahmia-crawler-master/ahmia/ahmia/middlewares.py,python,function,extract_domains,16,S6-002,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
ahmia-crawler-master,ahmia-crawler-master/ahmia/ahmia/middlewares.py,python,function,process_request,26,S6-002,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
ahmia-crawler-master,ahmia-crawler-master/ahmia/ahmia/middlewares.py,python,function,process_request,42,S6-002,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
ahmia-crawler-master,ahmia-crawler-master/ahmia/ahmia/middlewares.py,python,function,process_request,55,S6-002,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
ahmia-crawler-master,ahmia-crawler-master/ahmia/ahmia/middlewares.py,python,function,process_response,63,S6-002,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
