path,change_type,final_pass_sha256,current_sha256,accountability_class,repair_ids,semantic_record_ids,reason
src/apps/daemon/internal/platform/system/file_watcher.go,modified,4e54761f6cffbe016702783257144f9ce3535a8ffc184974441f30e840f13d6f,997869e526170bca79e89dc348fb1584d224ecae5d72238dc1aa4fd100dbdc7d,semantic-repair,U-R001,U-S001,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/platform/system/file_watcher_test.go,modified,ba0b57128a12214786b85e8234ccc531ea76d1efcc97fee9c309615ced9fb3ea,32903a999b317d1e99275788cc898b69b4517bb09229b125e447d478120ad4fa,semantic-repair,U-R001,U-GOV,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/platform/system/tor_config_builder.go,modified,197ecd7020802ff6dd6d493c945b0df7b25059ba75a03c969f42b9a1d0ab04a8,150f8835459b9189fd34a663c0b5bbbb51eb560196fb3c62aa47f252163b4bad,semantic-repair,U-R003;U-R006,U-S002,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/platform/system/tor_config_builder_test.go,modified,32b6b4bbb87a4297f666b6270e4f40e32dd466a98ac3e14f3748724b31752176,10184743ad3fe37718b3619086030a1e2d65dc88526019bde365aab25ac82776,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
src/apps/daemon/internal/platform/system/tor_process.go,modified,7b92e6ecf4271fef89efeb184516a195e0fa066de987fc699b04322439f11136,976da323777b40593ac56d2ade7d8b53cba980a05d54efc8648bc71ef7757d94,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
src/apps/daemon/internal/platform/system/tor_process_test.go,added,n/a,19a43c3fd8aea5f72eb2754b32b58b5747dad65592b9efff4993f0086b91568a,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
src/apps/daemon/internal/runtime/proxy/config_watcher.go,modified,08fdeadf0a3d42a2661e0c9441ae91053e83266445698e3dc6270e9cbd72cbb4,9eb5c27e719dd8ac3685dd338e6b3645a7336f9d69949766552feddbe9f80d6d,semantic-repair,U-R002,U-S001,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/runtime/proxy/lossyconn_adapter_test.go,modified,8d978d59abe7dd9ebc965c1acf02f28f14079627330670bd4807bb3ed4264be7,7e1af2aeadf9d5be4773cde6f4c84d9c19df5b6c20f333821c6f17941061e235,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
src/apps/daemon/internal/runtime/proxy/node_latency_tester.go,modified,537a6caa10cbbd8fcce2c8e5655cd26ef7a8e393ae380c294d76a1867b4377f7,37c46ccda50f1717036a6ded6d9054068419b0f3d77e9f0fab0663aa644cead8,semantic-repair,U-R011,U-S007,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/runtime/proxy/node_latency_tester_test.go,modified,fd9b9bd8c11a8b09673e3c01587d6ceb47f0de9c9baa04956f71b3d24af389c1,aca8f9764bb7d5a5db7176796f7ef48f245b3c542d44f0e7d99492bf365aae6f,semantic-repair,U-R011,U-GOV,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/runtime/runtimecore/adapters.go,modified,5c0ba91643b824369634d2e7eacfeef58820dd6b013131d2b784ede0d2725082,781f9568a874b17944e97bf4d00fe4ba091da16527aedfc0502d4e8f0610df84,semantic-repair,U-R005,U-S003;U-S004,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/runtime/runtimecore/adapters_transport_test.go,added,n/a,d26bf22e03cc6703cc6f791e3555baa9adc069f4fcda0427e740fcd23e8f648a,semantic-repair,U-R005,U-GOV,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/runtime/runtimecore/chaining_test.go,modified,fefdaf6c0cb6a6b86473589b31b79cd8c0457571a7d69b658f88f34f271f65b1,9fe082988be8984eb3b5b0cb06d2024db37956a53a69132d60ebb1bfa8c8c847,semantic-repair,U-R006;U-R007,U-GOV,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/runtime/runtimecore/manager.go,modified,44c98e1fb2268ca1556835475e51ef61b7e521594ec26e336bb988efa9ab4fa4,e73d62d573b9ea79dd76b2247392f1a1c494c8fa9ac35921010f51a34fe02600,semantic-repair,U-R003;U-R004;U-R005,U-S002;U-S003;U-S004;U-S009;U-S015;U-S016,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/runtime/runtimecore/manager_test.go,modified,7cad8ce8e0fa99e89640daf7ad38132e887f016c7642e750291f51f2ca8b1625,f6ac580ec0e10390421ff8fbf13a3dadb17275e7d3605219f328a9908afebc3b,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
src/apps/daemon/internal/runtime/runtimecore/tor_engine.go,modified,8db93dce26d2b785695fd53cd5cff8b00acebc77dd6dc6fd6ecd5fd22c0ce456,04acf18cbba518299fe19e30a1175214c1522b9b0960cec99f46211b28cd938e,semantic-repair,U-R007,U-GOV,current +20 convergence implementation/evidence; see linked repairs/semantics
