donor,path,sha256,size_bytes,file_type,classification,language,authority_status,semantic_record_ids,notes
3xui-telegram-bot-main,handlers/trial.py,8af41db1f2b9a0ffe146b08a45320038bb9ce7908e8e825217ebf93d3be81be8,2388,py,implementation,python,donor-evidence,E9-0033,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,handlers/wallet.py,d646f012c6571974c83448d00cd02322e64c8f6bbfa8de9a8ae78df657596fdd,3397,py,implementation,python,donor-evidence,E9-0033,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,install.sh,e995c8780ffcf0d679bae3556f022fe4accc6919a50774054c7bfe25f3f590ba,9672,sh,script,shell,donor-evidence,E9-0032,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,keyboards/__init__.py,0f017e542d049e24fead464efd0bee35664ea288c36f53f68708f025c6923856,4249,py,implementation,python,donor-evidence,E9-0034,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,main.py,0dc93150fe40691aa2db4af35ca1688bca2f4091ca48557d720b818ad6097184,2417,py,implementation,python,donor-evidence,E9-0032,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,middlewares/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,py,implementation,python,donor-evidence,E9-0035,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,middlewares/membership.py,05bd27ae89cdc8648a4720529c6b52b0f7298b9c1bff93b919ca9c85453723ab,1852,py,implementation,python,donor-evidence,E9-0035,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,requirements.txt,0831ac2179edaa2168974a268c0f8bcae5ec1e034ccb77ab7a30c6e73b3cb1b3,137,txt,implementation,text,donor-evidence,E9-0032,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,scripts/parse_panel.py,cc4dc624f06cdd4aa85df25e86eb906e277d55637550a577617115dbc4bf0d48,1794,py,script,python,donor-evidence,E9-0036,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,scripts/utils.sh,813215722f330a07e61ba5d31ee8234277342b9e0b42dc061f269ff39b12f443,1543,sh,script,shell,donor-evidence,E9-0036,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,scripts/vpn-bot.sh,7b207cd4d7b97266433c0a0eb0ba327ab3adda9cbc952a328bd9fd7bfd7b410c,21424,sh,script,shell,donor-evidence,E9-0036,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,scripts/vpnbot.service,6cb1c926eaf38d2199dc5edcaa392b48bbe1f7c2671fbd92af3058dc8f2b4ac2,298,service,script,systemd,donor-evidence,E9-0036,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,services/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,py,implementation,python,donor-evidence,E9-0037,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,services/panel.py,0a505102588426768bbc2a40dfdf9beb23387b5013474de79bd88e330f32c4ba,7754,py,implementation,python,donor-evidence,E9-0037,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,utils/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,py,implementation,python,donor-evidence,E9-0038,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,utils/log_channel.py,7fd782a3f3f36705aa24a2336538fcd762348674979cf79b6b517e341f10b785,3714,py,implementation,python,donor-evidence,E9-0038,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,utils/payment_reminder.py,75af1824d8976c077feea38d6978a1cbd5d2a64c0b689dbca8d4a9bbaeb41598,1991,py,implementation,python,donor-evidence,E9-0038,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,utils/pricing.py,7e9159ab8d6e532596cf1e9f3b8d1b5e0d9af4b66ca61e89245c2f6c8e08db70,1262,py,implementation,python,donor-evidence,E9-0038,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,utils/qr.py,c2c8955b2f4c1bb877757945a315bb332d70d560532805cae1ee0c92d5892f4d,345,py,implementation,python,donor-evidence,E9-0038,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,utils/reminder.py,a7f52518ad0b35a67c5a6f311ef0672fef045bb5b261abe76467f42db6981117,2601,py,implementation,python,donor-evidence,E9-0038;E9-0010,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,utils/states.py,b915d51ecb30c619509646429d6940d8aea0f60619fe39c4d85c483b62c7279e,417,py,implementation,python,donor-evidence,E9-0038,resolved-by-ninth-order-ledger
Auto_Tor_IP_changer-master(2),README.md,42cda71e6046a098389a3d1b771b481eca3bbf4a2155475a76307f2af78dc0d1,656,md,documentation,markdown,donor-evidence,E9-0039,resolved-by-ninth-order-ledger
Auto_Tor_IP_changer-master(2),autoTOR.py,4b038019570e14694b637fe8b80a3344425361bb6732492b29aa0ceac22eebe8,2288,py,implementation,python,donor-evidence,E9-0039;E9-0018,resolved-by-ninth-order-ledger
Auto_Tor_IP_changer-master(2),install.py,a4d8c40f089cdd90de2c2200e36717d5fc75d6cf72c3ae24124f6f594d891183,778,py,implementation,python,donor-evidence,E9-0039,resolved-by-ninth-order-ledger
bia-pain-bache-main,.gitignore,9b62b38882f63cf5d11ba26da648fa91242388a775a2ff6093752a9fec18af5d,91,.gitignore,repository-administration,unknown,donor-evidence,E9-0040,resolved-by-ninth-order-ledger
bia-pain-bache-main,LICENSE,8177f97513213526df2cf6184d8ff986c675afb514d4e68a404010521b880643,18092,license,governance,unknown,donor-evidence,E9-0040,resolved-by-ninth-order-ledger
bia-pain-bache-main,README-fa.md,de349c8b15d43b0b384e4c8245ac6e7e1282a5cc06dd144fcdc85f6a90a740cc,8643,md,documentation,markdown,donor-evidence,E9-0040,resolved-by-ninth-order-ledger
bia-pain-bache-main,README.md,f24249aa2f1e58aea75f6d6c31ef5fabbcf3896a3f5f87a3ccac0f5fa288b9ec,5585,md,documentation,markdown,donor-evidence,E9-0040,resolved-by-ninth-order-ledger
bia-pain-bache-main,_worker.js,5750e162641a00ce50157fde3a583df7bf0db0e7241d80751befc3abb97b9be8,326352,js,implementation,javascript,donor-evidence,E9-0040,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Bind_kv.png,e084b04e86d63417b97daedf9d95570e7b2e84b7dc818502b2439b76246b806a,156370,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Clean_ip_domain.png,2d0ca603455a17c79fc83f41eef75c991dac9fda7cead03bdb0ec6f0e6c1507b,165415,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Connect_to_git.png,9518635f5aceb92c13eb14797ec20e2867588974bd7590f2980ab75a2d877fd4,90632,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Custom_settings.png,77a3ef317b616a0a79e50ad737a8b386fd089085b9005b08a4e86bdad7c9ec71,207737,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Fork_repo.png,235ba19da5c3d4ed9d62a93c2933128d093819b03908b4720676505730f32cf6,111812,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Fragment-Configs.png,ac301fb28a90cb0541a101fa2e13e946d88994c6f8b34d07b6c52c924532e707,31304,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Fragment-Settings.png,517dfc012264a75c44c1311a6058924145d3c7d93ceae2c2f01b522c0e689c59,173679,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Fragment-Sub.png,b0486f3c80693ee449bbd2807694823a9f6968b3e33b18a3f510c4bcdde8892a,40200,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Full-Normal-Configs.png,3f82bcec33bdb23ac7fe3342c9c1fe5bf1328851a77c44f81dff00d34c62ec48,54252,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Geo-Assets-Files.png,c702d600d989263b76d611ba52933554f426d0f84609bc268a011b889292f212,94155,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Hiddify_fragment.png,b6fa55abbb30c579e4ea6147ef85584ff083b08f845028863e6a7b7fd65546c9,126159,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Nav_dash_kv.png,c97f693d6746ef07f730aacdf4d3e84042a7b29380e9c49b6b4540dbd3a76c06,104170,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Navigate_worker_dash.png,aaa15d47b08ee664c0bf6960060ffaef9cf9eebb5c8824db4d22af6640f7c606,111207,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Normal-Configs.png,d184967a738aa360ed3afaa0ae711fb0a93e88e5cc2d504b4bc1c2d085b53b7f,46022,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Pages_add_variables.png,5c62bfc06ae1468ad0822d3672952f6725cc2a15ac3af0b98e6ff8d1c576cfb2,83341,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Pages_application.png,a612a0143aa5010762c0db31872625ab7e00d3d9716ba02aa6a4db36f63db7e5,113313,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Pages_bind_kv.png,b6b6b8a5e4b529153c994bd6ebf9e89f6c894073d9367e8a152469d72e01e452,83142,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Pages_env_vars.png,0cc9c8c6857da2f165ad4e8f49dc152928fbb43243ccec00fb0fa4741a9e885c,163307,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Pages_production_details.png,9abfaf32988ea9025f56ef95e8237256adf7481af58fcdd504f0c6e3c6034a2f,238545,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Pages_retry_deployment.png,12971d7de45b22f2859b0cabb74fdc2715ca2be8527d73c16ffd21e96b2dcbb0,166108,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Pages_variables.png,a0db25791871ea5825c3ebdff5c4050d18df18fbf20954fd9d0b98b72e225927,90053,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Panel.png,ff0a4cfd51bbc8ef75af2723de46f5d8a378357a16dc68d6329ee75ac5d28fdd,79885,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Panel_2.png,f4173a3c86aa3cc421bd595246bfa33be35963f2ed5cf7fc5d42408c3665fcfa,71747,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Panel_3.png,6f5c1b81b39d85552b126367c9f3d0b7eaaa635345c0054924db7b296f88efbe,65872,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Panel_4.png,aad6b062d83aca19ff8c3ce61d5a2075512c38d4d0cd7f3b3397084cffadf097,61023,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Panel_5.png,d47407e152ad3b78060024c7c45580fcd929793d3bdf16e7c5165fe6f6a567b4,59203,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Panel_6.png,287f2f485a353be74f77842f4b59f453c85bd9e23a3ab9fdf6f152c6bb53733d,53586,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Proxy_IP_settings.png,61c1e08d427945762f9a897c0bc24b02cc2e4bd7392da0740df78fd0c7ad4854,237161,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Proxy_ips.png,00161d2736fe0e14f8bba53f4000a0b040c8903615b87c8acce42991bdb6a536,246533,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Routing_rules.png,ee554a3dfcd5682fd147aaeaf925d8fdab312cd8c35bf09cf25fe61814f84f74,158978,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Settings_functions.png,4525aa0a749a2fa79de18487f3430264c0f4d060e3f672bdb39a443f4621caca,155010,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Sync_fork.png,5b1beadabc30c28d5dd06a0fe6986206e0f255f1273b4d4a698b5ff133c7cf5a,122820,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/VLESS_Trojan_settings.png,1b96906572548301dd69a162163e056937b69400c1c92fde878533725f0a6e1c,62382,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Warp-Configs.png,fc325ff42e412b30dc9e77ecc2275ac32a0d7dd96519cb731f25e7a4b32006fb,49472,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Warp-Pro-Configs.png,80a2df9987ba9b96ece81b7a8fdebd05e46f3b2e41a8a2ffb6c2d0c0b06f1065,44330,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Warp-Pro-Settings.png,08c90fdb95a791a6a67827c610fcdf1c3e54f30074604b47a3c013f5edfafc7a,114449,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Warp-Settings.png,a393d760cb787978f123fafacdfc38acfd4f427fc61fb1caa53728c63081b8d4,85726,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Workers_add_variables.png,49df16fdba583aea67e17aaa18a03c8845a2595db3dc183f473c02422f02c438,105499,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/assets/images/Workers_variables.png,115a61810a59216acd7e258598dc4a5a550880d20374d8f98bd7395877c80a08,72287,png,documentation,unknown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/configuration_fa.md,db63fdecbe14f14b8fcb681fc479f2718921955dd17c834a92c7f34cdd3c10b3,38907,md,documentation,markdown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/faq.md,0cf230d896f7454e09c57655dc77bd18ff63b03eb18ea08e8e4fe03a5b67e39e,7177,md,documentation,markdown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/pages_installation_fa.md,a1df1e5f70529fe9b3f054475f2c22406f21ef2fb1058d3d0a455ec0fce7d1d8,13648,md,documentation,markdown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/proxy-ip-scanner.md,7717c84305e510ceae81c5f9113f72433103b7b5c39a08191c50fc0f37bdac2f,1557,md,documentation,markdown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,docs/worker_installation_fa.md,d3297ef6abeeaa70a22f6674503fb0eb71f50e62a187b29d29259e99766e3b78,11763,md,documentation,markdown,donor-evidence,E9-0041,resolved-by-ninth-order-ledger
bia-pain-bache-main,src/worker.js,32116275b22598773eddefb7fa69936ed2f063d0725dbca82c4a29db1c1148bb,203520,js,implementation,javascript,donor-evidence,E9-0042;E9-0025,resolved-by-ninth-order-ledger
BPB-Warp-Scanner-main,.github/workflows/build.yml,e42aa0c182b796746d3d2ec7913d149a310ca8ab4ac7e08ba5ee00dd14e3ce24,1573,yml,deployment,yaml,donor-evidence,E9-0043,resolved-by-ninth-order-ledger
BPB-Warp-Scanner-main,.gitignore,705adccc8e44c43da70c35a0f3e8a2a2c249205a9357a37afd668836ffb92932,155,.gitignore,repository-administration,unknown,donor-evidence,E9-0044,resolved-by-ninth-order-ledger
BPB-Warp-Scanner-main,LICENSE,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,35149,license,governance,unknown,donor-evidence,E9-0044,resolved-by-ninth-order-ledger
BPB-Warp-Scanner-main,Makefile,bcd82c6a41c6fa2a5d0312c055f04dc89a43766d2c071abba5eeba1da7900a16,1522,makefile,configuration,makefile,donor-evidence,E9-0044,resolved-by-ninth-order-ledger
BPB-Warp-Scanner-main,README.md,a0b63e46326ab9f11406a10d8c34d7b4516313486db1b3877b2e5f80ae66928e,1739,md,documentation,markdown,donor-evidence,E9-0044,resolved-by-ninth-order-ledger
BPB-Warp-Scanner-main,RELEASE.md,f3f592d0bdf0b1e79fb2462736d86f60bb2bf5664fae832914a822dc9d3e1f7e,227,md,documentation,markdown,donor-evidence,E9-0044,resolved-by-ninth-order-ledger
BPB-Warp-Scanner-main,VERSION,8ee272d6066ce9fa8de3920ecc8b06c1130b54a54f6af1fce01d6f6e6f798307,6,version,implementation,unknown,donor-evidence,E9-0044,resolved-by-ninth-order-ledger
BPB-Warp-Scanner-main,core.go,b5527c4942262b2c5aace70b86cc8d33200edd37e41f72594b2d960f5b3d9e82,5985,go,implementation,go,donor-evidence,E9-0044,resolved-by-ninth-order-ledger
BPB-Warp-Scanner-main,go.mod,461d9615665c2b5afa7034eac38e2d9599b1145b411b62c06c2c6e9800d73583,1026,mod,configuration,unknown,donor-evidence,E9-0044,resolved-by-ninth-order-ledger
BPB-Warp-Scanner-main,go.sum,46fe1082cd2292cc290d3617aedee675408be7273e0705d7488c716a6a2f5fd1,4761,sum,configuration,unknown,donor-evidence,E9-0044,resolved-by-ninth-order-ledger
BPB-Warp-Scanner-main,install.sh,9664fbed63b9b5d91d608318d6522468bb9d6611219c20a11ddcc9875e8adaf2,1232,sh,script,shell,donor-evidence,E9-0044,resolved-by-ninth-order-ledger
BPB-Warp-Scanner-main,main.go,cc2fd0ae3b376803d6a7ce8f5745cbebf4d37ecb85598de56ce1e9ee845d9094,13466,go,implementation,go,donor-evidence,E9-0044,resolved-by-ninth-order-ledger
BPB-Warp-Scanner-main,network.go,2bf416b88a95f1aa83676cfeaa89869fc41564b2128df05ca430a58a39aeed57,7785,go,implementation,go,donor-evidence,E9-0044;E9-0005,resolved-by-ninth-order-ledger
BPB-Warp-Scanner-main,warp.go,ac3e2375a35d27d85360bc25c99efcae5801f0eabefd876d35000d5654141dec,3814,go,implementation,go,donor-evidence,E9-0044;E9-0004,resolved-by-ninth-order-ledger
BWLimiter-main,.gitattributes,28b99f15bf4582e535cb25e39750cae277c8b220681e874e5eb8887e9772915f,105,.gitattributes,repository-administration,unknown,donor-evidence,E9-0045,resolved-by-ninth-order-ledger
BWLimiter-main,README.fa.md,a7342b2848c72caf633a86ea328d5ddfe5219afb8eead100008277c758dd0c40,9573,md,documentation,markdown,donor-evidence,E9-0045,resolved-by-ninth-order-ledger
BWLimiter-main,README.md,356ca3f8c6776df54d240808c588ccbb9650394cd8026b3888e18bb8a1cbccd2,7686,md,documentation,markdown,donor-evidence,E9-0045,resolved-by-ninth-order-ledger
BWLimiter-main,bootstrap.sh,e43ce1d0b0dd812f23cace5059102aba420ce33f789bafbbe0b3cded0ad8545f,4346,sh,script,shell,donor-evidence,E9-0045,resolved-by-ninth-order-ledger
BWLimiter-main,install.sh,47a8c0f70582f099b58c550e34ab499a515dadae60d81b0919bad2dac1977eed,563,sh,script,shell,donor-evidence,E9-0045,resolved-by-ninth-order-ledger
BWLimiter-main,limit-tc-port.sh,99fe863e8c43616732d60d2bfaf1caea6dd58cf29ec718c30a6a83505d040799,80374,sh,script,shell,donor-evidence,E9-0045;E9-0006,resolved-by-ninth-order-ledger
BWLimiter-main,systemd/limit-tc-port.service,7f692efcfbffcbee374c8f8b60f8711da4f57382c448cb49a08872575fab1efe,287,service,deployment,systemd,donor-evidence,E9-0046,resolved-by-ninth-order-ledger
caddy-master,.editorconfig,5c10b6edb75ea4cf85ea78eda008fd480a8def73af282d27cedad2b587a8d1d8,96,.editorconfig,repository-administration,unknown,donor-evidence,E9-0048,resolved-by-ninth-order-ledger
caddy-master,.gitattributes,aa5b2a6255df5fd0123a17046351ee9c48e85dc6ffa79fd6d5fa56ea2e17e379,16,.gitattributes,repository-administration,unknown,donor-evidence,E9-0048,resolved-by-ninth-order-ledger
caddy-master,.github/CONTRIBUTING.md,6cd7a7717ceb6a7d10871d2b6abb664392e1ef033d3321fa25430a4d31cfe2c5,18484,md,documentation,markdown,donor-evidence,E9-0047,resolved-by-ninth-order-ledger
caddy-master,.github/FUNDING.yml,e88edc1ea377d64a47693eb363f1242dcd6fbc1b376a8ba529490b232731bac5,719,yml,deployment,yaml,donor-evidence,E9-0047,resolved-by-ninth-order-ledger
caddy-master,.github/ISSUE_TEMPLATE/ISSUE.yml,aca729d91ecbbec03be090593b5ee8b10a54ee2c84d80911a1e3c6ae7c969420,1317,yml,deployment,yaml,donor-evidence,E9-0047,resolved-by-ninth-order-ledger
caddy-master,.github/ISSUE_TEMPLATE/config.yml,ace1e0ca344909db70d77bfcb85789b202ca76c7066366edbafdf5ec3041243c,184,yml,deployment,yaml,donor-evidence,E9-0047,resolved-by-ninth-order-ledger
caddy-master,.github/SECURITY.md,bb5144a732340d81c214d6dc985790c155e584141b61a337fac1e5dc47d429a5,5648,md,documentation,markdown,donor-evidence,E9-0047,resolved-by-ninth-order-ledger
caddy-master,.github/dependabot.yml,30f54001b2b0f4cd3ea2809525d5c07b9fa41231154f1bc4c6d3d3101af39205,413,yml,deployment,yaml,donor-evidence,E9-0047,resolved-by-ninth-order-ledger
caddy-master,.github/pull_request_template.md,c309c883fe16f091929ea2b9189203319d38bee4ed3ad10777fe056c193abb28,844,md,documentation,markdown,donor-evidence,E9-0047,resolved-by-ninth-order-ledger
caddy-master,.github/workflows/ai.yml,462f2616c106e024efff59607350818d589e85f50c1b0a8deb1829bfd2269b85,910,yml,deployment,yaml,donor-evidence,E9-0047,resolved-by-ninth-order-ledger
caddy-master,.github/workflows/auto-release-pr.yml,33fde4d312d157cf26a857f7b2ebcf428c696d7df86d009f7ccfa296b26c8258,9367,yml,deployment,yaml,donor-evidence,E9-0047,resolved-by-ninth-order-ledger
caddy-master,.github/workflows/ci.yml,96c1922e1c9bfeb5a3ba21c10dae67bb61beffa8f0feb45a1203574f940ce1b8,8633,yml,deployment,yaml,donor-evidence,E9-0047,resolved-by-ninth-order-ledger
caddy-master,.github/workflows/cross-build.yml,eb46db020a4f453b02ab8ac1203eb6d9485984b2f1eea24e82ee4ec64b7a30f4,2036,yml,deployment,yaml,donor-evidence,E9-0047,resolved-by-ninth-order-ledger
caddy-master,.github/workflows/lint.yml,14643dbdb3cff8d8641b3b8beaedb89eba0517d25598e25601dde3e3da803f50,3049,yml,deployment,yaml,donor-evidence,E9-0047,resolved-by-ninth-order-ledger
caddy-master,.github/workflows/release-proposal.yml,bc57320c59045bbb0f9eed3ab1f1538d688ea7fdec588abf8ea7822236605048,9981,yml,deployment,yaml,donor-evidence,E9-0047,resolved-by-ninth-order-ledger
caddy-master,.github/workflows/release.yml,8e46959251195a659b31024feb7dc97732a7be947c7f5fec1b408d2ca427ddbb,23461,yml,deployment,yaml,donor-evidence,E9-0047,resolved-by-ninth-order-ledger
caddy-master,.github/workflows/release_published.yml,4c7e06681c5963119e302cd1e33f5b7deaa264bbea788685fe21ff72b37f2c8b,1378,yml,deployment,yaml,donor-evidence,E9-0047,resolved-by-ninth-order-ledger
caddy-master,.github/workflows/scorecard.yml,2471fa311dfb9a3126420aaa1c83af305f447a061afea0633c41ec3f96b7a8a7,3741,yml,deployment,yaml,donor-evidence,E9-0047,resolved-by-ninth-order-ledger
caddy-master,.gitignore,3c535ee6fed30535c32d8e7b74a013856e7a3ef8a932c675449040f39b8fe82b,342,.gitignore,repository-administration,unknown,donor-evidence,E9-0048,resolved-by-ninth-order-ledger
caddy-master,.golangci.yml,398b1309651c65c29cebff24982f52add5825abfbb3026d8b6f6db753a95e144,3133,yml,configuration,yaml,donor-evidence,E9-0048,resolved-by-ninth-order-ledger
caddy-master,.goreleaser.yml,6ba56c330b26c87249b43c8bbc3a3a8c79480b55f471f924ad37ad65a37d4bae,5992,yml,configuration,yaml,donor-evidence,E9-0048,resolved-by-ninth-order-ledger
caddy-master,.pre-commit-config.yaml,12af2675e58497ce0b4ce117ee68b8d9ff562db17b901d6df2341f77eeda9242,481,yaml,configuration,yaml,donor-evidence,E9-0048,resolved-by-ninth-order-ledger
