donor,path,sha256,size_bytes,mode,classification,authority,module,extension,semantic_record_ids,post_refactor_232_review,post_refactor_232_disposition,notes
outline-client,.nvmrc,c178271cd08857a48742c24ade0cf064d07190f5756c7b32b3bdaa75cfdb2dd5,12,0o644,operational,authoritative,.nvmrc,n/a,PR232-F00025;PR232-M0014,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.prettierignore,a0094793514e0cb8703ff2d2d451587808fe74f05a7fc780bcbadab39fba38b2,67,0o644,operational,authoritative,.prettierignore,n/a,PR232-F00026;PR232-M0015,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.prettierrc.json,374850e1f44be84dd41d86048761450d780a39f121be1d08e31184b394484e20,238,0o644,configuration,authoritative,.prettierrc.json,.json,PR232-F00027;PR232-M0016,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,CONTRIBUTING.md,496f23b4b03b4f35e1ced68b8d96aa27ca4a8121b635eb2f4f2832becfaccdab,968,0o644,documentation,authoritative,CONTRIBUTING.md,.md,PR232-F00028;PR232-M0017,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,LICENSE,b40930bbcf80744c86c46a12bc9da056641d722716c378f5659b9e555ef833e1,11357,0o644,documentation,authoritative,LICENSE,n/a,PR232-F00029;PR232-M0018,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,README.md,7497cbab6d40819bd7d22d0ab31d636e5f3e950a9ef2690b0802f5d1bcf7290d,4076,0o644,documentation,authoritative,README.md,.md,PR232-F00030;PR232-M0019,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,commitlint.config.js,5c6cb2fea0c7ae6e5a9f5d736c559914b5fc6182eaed4e0744455ad1995b25e1,499,0o644,implementation,authoritative,commitlint.config.js,.js,PR232-F00031;PR232-M0020,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,config.xml,9127c37140df6165dfd4e57cefb765e04b406471740aac01e58b8f6aaa7ce476,7291,0o644,configuration,authoritative,config.xml,.xml,PR232-F00032;PR232-M0021,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,docs/invitation-instructions.md,5a9d81eb3df026588923b0223d49fc28ee52daf73d23b39011a1288393a38eda,70,0o644,documentation,authoritative,docs,.md,PR232-F00033;PR232-M0022,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,docs/invitation_instructions.md,a96f5012b5e0be5afda1fa1d49f9b60b744ad1624832c18ac45534cf0782afde,1749,0o644,documentation,authoritative,docs,.md,PR232-F00034;PR232-M0022,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,docs/life_of_a_packet.md,bf5f45a1bfc4e94d09d82f0871de4496c4f166ca227b69efc0a8e2fbf48fb674,417,0o644,documentation,authoritative,docs,.md,PR232-F00035;PR232-M0022;PR232-S030,fresh-byte-reverified-and-context-reviewed,focused-adoption-or-guardrail,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,docs/resources/invitation_instructions_001.png,af806fc5c6b21e7301aa62e94557d070bacb5544a16e34f2a10d6b8497564eb8,20287,0o644,media,derived,docs,.png,PR232-F00036;PR232-M0022,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,docs/resources/invitation_instructions_002.png,21fa8782ab83e040ba18b23606a109c58814ab78c34fa3d1e27edf3114f05b38,19214,0o644,media,derived,docs,.png,PR232-F00037;PR232-M0022,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,docs/resources/invitation_instructions_003.png,eea4318b6dd048014a1ba74be4bfaca3df700f8f67577d91f3e83388c1e70f7c,147959,0o644,media,derived,docs,.png,PR232-F00038;PR232-M0022,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,go.mod,f1a171cabd4d63da9161a56fc49b9249027cf96d07c78cab6fce1fff0ca040a7,703,0o644,configuration,authoritative,go.mod,.mod,PR232-F00039;PR232-M0023,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,go.sum,d1d2e618831071d0b2c39484cfc275be8391abdf10d7f282c362d9dfbae3a808,4119,0o644,configuration,authoritative,go.sum,.sum,PR232-F00040;PR232-M0024,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,list.action.mjs,8930739a112cf6d6936c9c0b3b51febb042ed87a72352b1a2c001431253be387,1285,0o644,operational,authoritative,list.action.mjs,.mjs,PR232-F00041;PR232-M0025,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,outline/device/config.go,f674781d5a12ac8ee400aa9709b3d163314595171cb35057eb2d7d7ef4738cd8,3239,0o644,implementation,authoritative,outline/device,.go,PR232-F00042;PR232-M0026,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,outline/device/config_test.go,39ceed2045ba32bcd4e9bd148c61cd5b0a40d9561bcc9307f373f953c9b5e635,4314,0o644,test,authoritative,outline/device,.go,PR232-F00043;PR232-M0026,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,outline/device/device.go,bce52c12c2e619c65144de6c0d9fc6d7a28e449f70dfca009e4168a195d5958e,2001,0o644,implementation,authoritative,outline/device,.go,PR232-F00044;PR232-M0026;PR232-S032,fresh-byte-reverified-and-context-reviewed,focused-adoption-or-guardrail,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,outline/device/device_test.go,1d22c861bd5c590ca143231534773b5335edf5a7d42bcbf42d4d12a9621213f4,1091,0o644,test,authoritative,outline/device,.go,PR232-F00045;PR232-M0026,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,outline/device/packet_listener.go,7b0fe804993b6ef845514ba6429f67b15ccca3d9e2b4ef117ffe6789d28bf56a,1053,0o644,implementation,authoritative,outline/device,.go,PR232-F00046;PR232-M0026,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,outline/device/packet_proxy.go,7d0053fa349909aeea870148242e41222982c86749818ed93938794c2a4f0812,2472,0o644,implementation,authoritative,outline/device,.go,PR232-F00047;PR232-M0026,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,outline/device/stream_dialer.go,c2b7ebfcfbdc0b7ceff5218d6b3f5edc62bac694d001e947f383332163be92e9,1216,0o644,implementation,authoritative,outline/device,.go,PR232-F00048;PR232-M0026,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,package-lock.json,77e99b3a435e5220af9cf9f87ac7d0531217ea324e39766e077812f35171b9f7,934193,0o644,configuration,authoritative,package-lock.json,.json,PR232-F00049;PR232-M0027,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,package.json,5233b8c09b05a372a257400c6ef5faed223c4b8ed143c606f2b3f2ffc72e6f27,5698,0o644,configuration,authoritative,package.json,.json,PR232-F00050;PR232-M0028,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/electron/icon.png,8936762bd68768bb2fc1c589bf7d46d0f6f2f5b10f86093cbc930477ccb5ba05,36599,0o644,media,derived,resources,.png,PR232-F00051;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/android/icon_hdpi.png,b0d0438ca1d2ffcd92fb42d916ba8b8777e83f231619cdc3e1cafef81ed29390,1805,0o644,media,derived,resources,.png,PR232-F00052;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/android/icon_mdpi.png,5fa63c480c20086e1f5078942f29ee0143d74244fc12e23f1b03665ef01d1345,1240,0o644,media,derived,resources,.png,PR232-F00053;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/android/icon_xhdpi.png,20b43fed23fa0a8ea8ff53fd8588e576c8d155af60652c3eed2f391cb753b732,2366,0o644,media,derived,resources,.png,PR232-F00054;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/android/icon_xxhdpi.png,0829b910c1026571de899eea5bc3972d405d0d1380a6faf37d2a1f6022a50504,3414,0o644,media,derived,resources,.png,PR232-F00055;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/android/icon_xxxhdpi.png,f2cba3770e9c621fee9bad2cfaae63ccc19446426c410b4115e0d6a2cb610c7e,4812,0o644,media,derived,resources,.png,PR232-F00056;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-20@2x.png,715439b92d6ba1b1b7771c7c64fd272e1ac7d78a292efd2f6b6a92e81a899b25,1007,0o644,media,derived,resources,.png,PR232-F00057;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-20@3x.png,cc122799daa5774f1b8a53e7a496ff5a0302dce698c5e363b97036849e2b767f,1350,0o644,media,derived,resources,.png,PR232-F00058;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-29@1x.png,c83ad438477181b01ea5154b6e73b7258f13d1c285b4427e7ee57d48cc0a9ed4,2535,0o644,media,derived,resources,.png,PR232-F00059;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-29@2x.png,21f960fdbd49d1d265b482930f57cd1c1a272533daec46a15c89cf098ce6372a,1346,0o644,media,derived,resources,.png,PR232-F00060;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-29@3x.png,46ea9133af40eed32c1cbdd57c6cb1714f775678f724b561a602a489350cc000,4985,0o644,media,derived,resources,.png,PR232-F00061;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-40@2x.png,e3789e91e386191f2bb50395c24f420f991235e261fdc50b3f461908c8925edc,1850,0o644,media,derived,resources,.png,PR232-F00062;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-40@3x.png,efac9616471e573a4f0ca7a6e5e50abd6a870e7759e5184a1a043dd476c66c73,2670,0o644,media,derived,resources,.png,PR232-F00063;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-50@1x.png,7c096d1515625c5da4908a1c3ca4ef2ea73d669ea7fe34e7b71d2dc9a19b2ba3,1201,0o644,media,derived,resources,.png,PR232-F00064;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-50@2x.png,64c4ce13ec7c2fdd749f7970baddb816877b4ea3b71d12c242d244b955d08f27,2354,0o644,media,derived,resources,.png,PR232-F00065;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-512@2x.png,9c329151c7adfa20045da13284d47fa5ab6e624f5cbb111e1a8c9e9a3b240622,67868,0o644,media,derived,resources,.png,PR232-F00066;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-57@1x.png,383d0208e26dc9e562bec571866b94a6f3d46b51d7fe33607c907207f6f0dd2b,3662,0o644,media,derived,resources,.png,PR232-F00067;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-57@2x.png,f9dfc13825b21a89ffc6c543030468212b52698fc15c97b3a9cf4ecedf113b1c,2469,0o644,media,derived,resources,.png,PR232-F00068;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-60@2x.png,25ee6339ea3c711dc9668a79139ffbea2ec72c87623ff715cd6fd5c1201315e2,2659,0o644,media,derived,resources,.png,PR232-F00069;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-60@3x.png,d3b1c84df9ab8e833c910718da94c79d7bd5f17be2eb1af920b167203af203bf,4005,0o644,media,derived,resources,.png,PR232-F00070;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-72@1x.png,e863d99b1f8c1820a629aeabe2ae9d8d672c2f186c97e2629fa4447c26ceaf15,1680,0o644,media,derived,resources,.png,PR232-F00071;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-72@2x.png,a163d8e57e9efff743fda8c056ad2bf0100f6ace6e9c5f7aecfdc032fbe362c0,3225,0o644,media,derived,resources,.png,PR232-F00072;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-76@1x.png,95390a75e7a7fad578457b3633e6c4da2490ed47d6a63061ce87ae03ff43a192,1823,0o644,media,derived,resources,.png,PR232-F00073;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-76@2x.png,2582f46ed6904b7c7dddfc6837813020d03525e9c21a05606b9903987766d901,3444,0o644,media,derived,resources,.png,PR232-F00074;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/ios/Icon-83.5@2x.png,82a991c7b4badc46bea98fc3a23d6d862e163a3e0a33fb94c3bb1b6e865ff4b1,8561,0o644,media,derived,resources,.png,PR232-F00075;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/osx/icon-1024.png,98f092792283da3ea112925a33971f0732a5449275683bf855d4cdb9aed70cfd,84590,0o644,media,derived,resources,.png,PR232-F00076;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/osx/icon-128.png,31f6fa7a2021477b96fe50671fb5020ff9071e6d235d61794cd3d69c12e0ff68,6270,0o644,media,derived,resources,.png,PR232-F00077;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/osx/icon-16.png,4fd5ae8db2f0ce5955782dad471e6b54e8dda965bfcc4fe6802110cf3dfd75f7,608,0o644,media,derived,resources,.png,PR232-F00078;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/osx/icon-256.png,07dd8c67805e847b207a4904a001843e60b18ea55f8fa1646e7f42ac35fd2bb7,14013,0o644,media,derived,resources,.png,PR232-F00079;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/osx/icon-32.png,53c75e2798a2c18d1e2b4c5bef4029506e990ff684f6750bbddf5d87229821ec,1525,0o644,media,derived,resources,.png,PR232-F00080;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/osx/icon-512.png,c72d34c1b517ad3b4e82f9361d0a42ce0c3129aa60c2cb3681b369e7be518726,32469,0o644,media,derived,resources,.png,PR232-F00081;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/icons/osx/icon-64.png,acbb3570be06b836c7ec27c9e07fed5a602b43f542782065110dac3155c85a98,3019,0o644,media,derived,resources,.png,PR232-F00082;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/original_messages.json,2affd10cddc98ba31fcd4b48dc0e07358aa635e2ad65badd966defecaa96e7ba,25145,0o644,configuration,authoritative,resources,.json,PR232-F00083;PR232-M0029,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/splashscreen/android/splashscreen_hdpi.png,c640d4bed1e43315f329a1d7d5394d80c1faa38cce199456184554ba639dad83,8296,0o644,media,derived,resources,.png,PR232-F00084;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/splashscreen/android/splashscreen_xhdpi.png,c941067eaab0945c50b3aa31b43bb24969468fec22c4fcca3f4a7a24ec1e9ac9,14496,0o644,media,derived,resources,.png,PR232-F00085;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,resources/splashscreen/android/splashscreen_xxhdpi.png,97cac6953633b8cdafa6c4f32fb85c10ad84e27cf5c3aa3eb2b8e7a87bdad74a,25443,0o644,media,derived,resources,.png,PR232-F00086;PR232-M0029,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
