donor,path,tree_sha256,direct_files,direct_dirs,descendant_files,post_refactor_229_review
MasterHttpRelayVPN-RUST-main,android/app/src/main/res/drawable,3f3b5ee1b96eaeae2c5c24affd1fb721b5ba2181e0772c1c09d32b4bb2474abb,1,0,1,merkle-reverified
MasterHttpRelayVPN-RUST-main,android/app/src/main/res/mipmap-anydpi-v26,5b2fcba9e2662858a738bd4d90cbbb4eb6490cabe7e9ffdf8978246aae174236,2,0,2,merkle-reverified
MasterHttpRelayVPN-RUST-main,android/app/src/main/res/values,ca1b0326fa26e487412612367ad78119f7bd72e1571cc711d68d251d2dfa17db,2,0,2,merkle-reverified
MasterHttpRelayVPN-RUST-main,android/app/src/main/res/values-fa,6f3e5aa884a205837824cbd7b814736012c948f6579b28840d6cf4304c60527b,1,0,1,merkle-reverified
MasterHttpRelayVPN-RUST-main,android/app/src/main/res/xml,7ee9e6c8c8622efad4b8c6191da88d04c2ed7085ec32da43e535d6e6987fb8f4,4,0,4,merkle-reverified
MasterHttpRelayVPN-RUST-main,android/gradle/wrapper,4d391f7ec48242d136797393f8eeef07e603f7ac8df81644c43afd2da1fa2bce,2,0,2,merkle-reverified
MasterHttpRelayVPN-RUST-main,assets/apps_script,41dbf8acf862bcc7a2de1ebd16761cbf4118955a24c18d34d6a4d5e5ad7b07b9,4,1,6,merkle-reverified
MasterHttpRelayVPN-RUST-main,assets/apps_script/tests,362b35db656dc4af7d02cebd9d278eb18cd69ff83a8b1f0baeb8f003d0405369,2,0,2,merkle-reverified
MasterHttpRelayVPN-RUST-main,assets/cloudflare,bea39b49ee84e1a8da9aad9c6f93bf8ce88a75ee1602acc68f98ac13cef2bce1,3,0,3,merkle-reverified
MasterHttpRelayVPN-RUST-main,assets/exit_node,daf86d6ffe4549241feb77a7caba2409f56bc450b59a0e7bbc3f379eca40466a,4,0,4,merkle-reverified
MasterHttpRelayVPN-RUST-main,assets/github-actions-tunnel,c6c9ea57ea728317004eb919d2bd3e0bc937c4b8d22679a8757be8ce38d8aff0,7,0,7,merkle-reverified
MasterHttpRelayVPN-RUST-main,assets/launchers,fc728cc1a642ac3db129ddcb240e22e5d7a9fdb9aff91791e9e325bf10a6ea0e,3,0,3,merkle-reverified
MasterHttpRelayVPN-RUST-main,assets/macos,b111e683f71c9f41a214d691dd07d83368f22ef7d19f4eb3aeee22191fac7dbd,2,0,2,merkle-reverified
MasterHttpRelayVPN-RUST-main,assets/openwrt,e5f2b2f7c8a14b5d6c2676c4eee27ad6026030d9d5e1c574c74e756f81ecdb53,1,0,1,merkle-reverified
MasterHttpRelayVPN-RUST-main,docs,ecbd687d121ba2812dd1b783f32b981be89be1f9e67c0e7a430a598eb81e9871,6,2,97,merkle-reverified
MasterHttpRelayVPN-RUST-main,docs/changelog,3387e124ef13881ef70a6cdad88e00b1c4192ec7f14b0f335704de4b32f05785,79,0,79,merkle-reverified
MasterHttpRelayVPN-RUST-main,docs/maintainer,79d81fde47a8cf70d21db01f1e7bd10f4f0a6a67e8ad6fe3cef32eaaf9b89c12,2,2,12,merkle-reverified
MasterHttpRelayVPN-RUST-main,docs/maintainer/assets,dd2621dcef63471cf9c010521b92da3efb236beb430627bb77fb3a01003f6ce8,2,0,2,merkle-reverified
MasterHttpRelayVPN-RUST-main,docs/maintainer/references,27dd7f2f881e2e418807dbd6e2e13b4f70e4e5e74f6c3d0d757c2a4a16bbf537,8,0,8,merkle-reverified
MasterHttpRelayVPN-RUST-main,ios,041da6321ac4ec071b9ee272a6e804326a558036fa2a17d5ec6f6ce94d664fee,3,2,14,merkle-reverified
MasterHttpRelayVPN-RUST-main,ios/App,05fc3ae32bb50998a41bc80128f4a93eb32bbb893dea766e1aa6142453cfd064,4,1,6,merkle-reverified
MasterHttpRelayVPN-RUST-main,ios/App/Assets.xcassets/AppIcon.appiconset,eab08cbc8f6cdca3d0e30fd8ae9e9a4ed93a2c106b6c72732dcb51adc0a87ddc,2,0,2,merkle-reverified
MasterHttpRelayVPN-RUST-main,ios/NetworkExtension,3d49433ec8f9cf55a2e5bdee4fa0a0066ce6d7714379a0ce70984382d33b9133,5,0,5,merkle-reverified
MasterHttpRelayVPN-RUST-main,releases,9f875d2ceb5614ef71e764eca3932b009303e421f495211bbf048f6fe5da731b,18,0,18,merkle-reverified
MasterHttpRelayVPN-RUST-main,scripts,43202885bd36547b1e8ee577904b35519b3768147c3cec01e2d6bd014ca6421d,2,0,2,merkle-reverified
MasterHttpRelayVPN-RUST-main,src,dd3e539ffbd1e0ace9d3de1d53cb63a411f4d3f1c409a45a01b7fd8988cc37e4,20,1,21,merkle-reverified
MasterHttpRelayVPN-RUST-main,src/bin,dd87f982b78307ab9d8001ea4d2adabb052d732186d45f8529005ccb051e9dd0,1,0,1,merkle-reverified
MasterHttpRelayVPN-RUST-main,tunnel-node,f1465b1791c30121bfc9dc3d03531476f09dce83b6996ea651ae579c09b905c3,7,1,9,merkle-reverified
MasterHttpRelayVPN-RUST-main,tunnel-node/src,264dbc40c78e0bdb9c692b9863102b89a3e08a30d2af87c6d6ebbc6b7748ab6f,2,0,2,merkle-reverified
ProxyCloud-master,.,aeaf937c4cf183b1dacc643e72b795aa80046fafe33d1b1f3f793194321a1522,13,6,135,merkle-reverified
ProxyCloud-master,.github/workflows,15d15199068bf10df9121354a2966dc54a2297614962670b773970c182219dac,2,0,2,merkle-reverified
ProxyCloud-master,android,8bd062003976b15c55fdbfc9d6e11964d5fab336805954605851f499e855e10d,4,2,25,merkle-reverified
ProxyCloud-master,android/app,8989ca1689763be1bfe493bd960b257bdbfa111eac0ee0521570faec6a59bb20,1,1,20,merkle-reverified
ProxyCloud-master,android/app/src/debug,ccc95c0778003a659814cb429b3a62a5962046ba39cf1fd871bc52a645a94748,1,0,1,merkle-reverified
ProxyCloud-master,android/app/src/main,12c769e2bfee8862d85c4a1dc8f39640824ebe15b4a85a3587e8767039ec3819,1,2,17,merkle-reverified
ProxyCloud-master,android/app/src/main/kotlin/com/cloud/pira,69a40a81b6011398e649ab4410aae18a79dbb0587cdd347f0baae446cad793f2,6,0,6,merkle-reverified
ProxyCloud-master,android/app/src/main/res/drawable,0145bc81279203e1a8ad52763d7fafde1a7e75d1b3f8069d401e1bf4a53c04b7,1,0,1,merkle-reverified
ProxyCloud-master,android/app/src/main/res/drawable-v21,449136f5ac904261d0ccf26c47d120884d80fb9cfa3afac7febb462c91b6f0ff,1,0,1,merkle-reverified
ProxyCloud-master,android/app/src/main/res/mipmap-hdpi,04ce71e76abacd2e2e9c0e86e6d1bb04dc15175ef9b32dd09cd754eee1a227de,1,0,1,merkle-reverified
ProxyCloud-master,android/app/src/main/res/mipmap-mdpi,753b96b97adda320e31641b607bc545b3fa7aeefce65b8c866f9e9717bd60f06,1,0,1,merkle-reverified
ProxyCloud-master,android/app/src/main/res/mipmap-xhdpi,94d9133672ee8b2ab3377e18d3d59ecd64f8d529792eda2757718e5a9f2d810e,1,0,1,merkle-reverified
ProxyCloud-master,android/app/src/main/res/mipmap-xxhdpi,3db771985c7035a617a415aaa6a4cae98f370762ba2ad56f0b9e1b40c29393d7,1,0,1,merkle-reverified
ProxyCloud-master,android/app/src/main/res/mipmap-xxxhdpi,e6eb3eba491b4ed78815115618392692c311b83b8e1ba316a3054d845a2f8a0f,1,0,1,merkle-reverified
ProxyCloud-master,android/app/src/main/res/values,4ec6494390e21ffb0daf5d7b9ee67bb06fef377be2b7bc655aa2d00dcf61ae91,1,0,1,merkle-reverified
ProxyCloud-master,android/app/src/main/res/values-night,0ab9c9ed6aa1c3b729fb10f575897af219ca38b71f5b56227545be2f3d27cfbf,1,0,1,merkle-reverified
ProxyCloud-master,android/app/src/main/res/xml,6ebc8995d1465406e2d3009c67ee9612866c643f6d1e080c2e0e0bf55520d045,1,0,1,merkle-reverified
ProxyCloud-master,android/app/src/profile,5e618ad2fabe5be85942a45a5004a74f87cccc718cc4fe8b597b563607da9617,1,0,1,merkle-reverified
ProxyCloud-master,android/gradle/wrapper,7e58fda4b995533ba7cc99a58de56df51d7344b50eeeb972a04033e444bc7a00,1,0,1,merkle-reverified
ProxyCloud-master,assets/images,daa05ce803cd271084c447dcb5f3530b27859e628f7ea323ec3a32c3a8cf0534,3,0,3,merkle-reverified
ProxyCloud-master,assets/languages,e822db25e30eb210d246335c69fd081496f47aa5d75b10da0a7a392b6a45ee1f,8,0,8,merkle-reverified
ProxyCloud-master,lib,3a84a6da59ebf96b1760ce60a3ef541b1b8a7abf2e405632bb902ee36c4372f4,1,7,46,merkle-reverified
ProxyCloud-master,lib/models,7602a47d04917d438f0c6d5585ff35781806630dd68de1cd29914b25e7c998da,5,0,5,merkle-reverified
ProxyCloud-master,lib/providers,6ba1ef886f3326c9cc115fdfd0d824c810c446893e21a471b91ef546d456945d,3,0,3,merkle-reverified
ProxyCloud-master,lib/screens,18878158c0641ca4259886f82f16a0693470193c6383fb63d055f84c65f9f47d,20,0,20,merkle-reverified
ProxyCloud-master,lib/services,c56f817bf0af889eecd508363380823b07dc6ae471a0a6fac41124af8f49235a,7,0,7,merkle-reverified
ProxyCloud-master,lib/theme,0dc5f63bb5734d90846508850c4707900fb337278a5840918fa29fc82c044fc2,1,0,1,merkle-reverified
ProxyCloud-master,lib/utils,0310ac280dfbd8d4fff1139e28d7949d0a9dca7a3618510ea8d912e7d44113a8,2,0,2,merkle-reverified
ProxyCloud-master,lib/widgets,8c8fe13b9ab6ab211833954a0160dcac25eb2390f97817c7e2594c3c25422d6d,7,0,7,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client,73dc5fb4a215d07f7f11d967ed374f2bb914a82fc39bd8e5cbee902f4ad80de1,4,3,37,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/android,672fe099211d2a9925e39e9fde93a89d82a13f694b651c510ec6b466823c0da1,4,3,22,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/android/gradle/wrapper,7b323382c7605fe4e68f38e499830bec7fd876c4af2900062a55b6b262253d78,2,0,2,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/android/libs,3af96d93a13c59857bcf0cf3effb369195b7e0ca18cc55ba702dc5c336499964,1,0,1,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/android/src/main,46f615e7514d938d0f364784db70c38bb0c8c4035441f746d42d160e576c8ff0,1,2,15,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/android/src/main/java/dev/amirzr/flutter_v2ray_client,0eae363c0a1958d953076c830b9314aed5adf3d46181850aa66f81a6444e41e3,1,1,10,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/android/src/main/java/dev/amirzr/flutter_v2ray_client/v2ray,f942272ca8007a4e9add2a5a6ae567269fbf33b2077b15c18e3d05683e9fe16f,2,4,9,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/android/src/main/java/dev/amirzr/flutter_v2ray_client/v2ray/core,063b211e363bbbe02f4d61b60e9b5a1e7771f5ef3c10bd5a2aa3d43dca4f2596,1,0,1,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/android/src/main/java/dev/amirzr/flutter_v2ray_client/v2ray/interfaces,599301f7541e5122032b854185c3c02b4b515a9036b916a368c8d21686dac478,1,0,1,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/android/src/main/java/dev/amirzr/flutter_v2ray_client/v2ray/services,8777b5acf06cf79c91eae332730b264cb707aaf15b0148462d2e91586c06db63,2,0,2,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/android/src/main/java/dev/amirzr/flutter_v2ray_client/v2ray/utils,6135349a4ac5da6624813f441a854f600f1dcd2054a4d3bacc5207b5b18e3633,3,0,3,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/android/src/main/jniLibs/arm64-v8a,c264219f21a0fe436b8f45d6d962981a1960baf2d37ac24d5652b5fbee024de7,1,0,1,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/android/src/main/jniLibs/armeabi-v7a,3385703a5ddd1668ed0d10e1c505ad87de93ff3b074d13d762d2b08a56be90e1,1,0,1,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/android/src/main/jniLibs/x86,e99bf6a23a2a4d6229e75962d1e252c9c8c6034d33ea8206f5121478e5c01428,1,0,1,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/android/src/main/jniLibs/x86_64,b392c0a26c242e4bdcfb00820c6c8de13946a7d738e5e56fc0836a1bc9bd9ae7,1,0,1,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/lib,c5ed9b6bfe19eecfbc442d1e45a687900ef3380acba93b8df79cd3488a5fc256,3,2,10,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/lib/model,e2f69748c230324ee9b0441dd39d752d05537601ba5ddfdb43b5473185aea388,1,0,1,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/lib/url,53807c9b1fbb8883e03e3b60d2f8b46bb462fd15c134ff63b5353958481cb2a4,6,0,6,merkle-reverified
ProxyCloud-master,local_packages/flutter_v2ray_client/test,d728380ccff5113d59d32e012105035d83269b0cf1e86563eda26e85f40b0e6a,1,0,1,merkle-reverified
ProxyCloud-master,screenshots,320bb9bb817d4c418f96a9db8a5ba77223be5165ed21cb25fc4e3dfd7ec917dd,1,0,1,merkle-reverified
hiddify-app-main,.,33bab42e35c555c7192e49e74a8ffc93c6f87ed0ebb79b4601864c232219e5c2,30,17,694,merkle-reverified
hiddify-app-main,.github,453a09d4972b132679f2d818a4bd43d69879e98659082318f6ef466d4d446e40,5,3,20,merkle-reverified
hiddify-app-main,.github/ISSUE_TEMPLATE,1f2760fa69141683339aea5cc69765ad201c11d7b54e546d22e71d41878c2c38,3,0,3,merkle-reverified
hiddify-app-main,.github/help/linux,fd49f1f76deca3d12639185bd58b11392508c16a4b543880c1fb23e43ba89167,3,0,3,merkle-reverified
hiddify-app-main,.github/help/mac-windows,a2535de4b754ba4d5515a9d9db1f9958d10277506db66780282a22de794f4c66,3,0,3,merkle-reverified
hiddify-app-main,.github/workflows,696d0aa26e969466f8e090cf2a0f79405251f12f2d37fa6bebdb8c8ca4f6ec89,6,0,6,merkle-reverified
hiddify-app-main,.vscode,e2d4d25828de3837cb1881060546b6fa023b39504a9821958d9067369193133c,3,0,3,merkle-reverified
hiddify-app-main,android,ec59ac05db0a81c66b92fa9c0e0a0f453285077a86781b2bbad50f4db14c722d,5,2,101,merkle-reverified
hiddify-app-main,android/app,049e2c1e3eaccd9cd26eb6ce89c1668679680cf69f645989d0c705c6b1b9de5c,1,2,95,merkle-reverified
hiddify-app-main,android/app/libs,6524dcdea62b85c300988fa0f5d5ee05ea30d3bd1cf38512ea7b493960657de9,1,0,1,merkle-reverified
hiddify-app-main,android/app/src/debug,ccc95c0778003a659814cb429b3a62a5962046ba39cf1fd871bc52a645a94748,1,0,1,merkle-reverified
hiddify-app-main,android/app/src/main,d075ac23bed94ebd1cd50e60729b84f75af5ce141508c57e29d3fffe5558b1fa,2,4,91,merkle-reverified
hiddify-app-main,android/app/src/main/aidl/com/hiddify/hiddify,192f32ae2abcabaa5076eddcc09001036fb44f03a041958ee0fe77aadc304489,2,0,2,merkle-reverified
hiddify-app-main,android/app/src/main/kotlin/com/hiddify/hiddify,d3b402a8e0b96d6a4d0db892fc9d21119ca56b8a18ad4822042995358f5932e5,11,4,37,merkle-reverified
hiddify-app-main,android/app/src/main/kotlin/com/hiddify/hiddify/bg,0562dd8a5a596701837da9c0dd1364c773c64096074b1817d9441ad002636ab5,14,0,14,merkle-reverified
hiddify-app-main,android/app/src/main/kotlin/com/hiddify/hiddify/constant,46e1f8a9d63ffa9e88cebeecf85bc75e2c92ec5c3d4e36c19cb3532a48e7e9a0,7,0,7,merkle-reverified
hiddify-app-main,android/app/src/main/kotlin/com/hiddify/hiddify/ktx,4cd8a301fafe11e1a7639619608170bb60059470ad4c7d22dc3d3b6511babc60,2,0,2,merkle-reverified
hiddify-app-main,android/app/src/main/kotlin/com/hiddify/hiddify/utils,d2e550defcdd4085ee020fd7d8356d9bdd56ee05fa4160e7c5902d29a0d0235e,3,0,3,merkle-reverified
hiddify-app-main,android/app/src/main/protos/extension,ecc6b5d3af43f88abfe0cfbdb129be0b540cc2dbdd68caa308654c01945cad5c,2,0,2,merkle-reverified
hiddify-app-main,android/app/src/main/protos/v2/config,70491977a91aad8faf742b154ef2d475beaacfbb2af4cfea3670fe2f30524333,1,0,1,merkle-reverified
hiddify-app-main,android/app/src/main/protos/v2/ezytel,77914ea2422d748e420bb816be0e67ffca33d1a98708c0d9994234105db33ddc,2,0,2,merkle-reverified
hiddify-app-main,android/app/src/main/protos/v2/hcommon,f7dad73a88ff6d6240393e341802cc6fbc4fdd868cb288afed87e7c6deda686d,1,0,1,merkle-reverified
hiddify-app-main,android/app/src/main/protos/v2/hcore,801d4dbc7be9ab77055acb981318def34bcc45f3aa80c4237c6d4435257100c3,2,1,4,merkle-reverified
hiddify-app-main,android/app/src/main/protos/v2/hcore/tunnelservice,2cfac97a7dc55adf4e82cc6c0cde8d8e2032bc69377bbb4d7c063cc17589b087,2,0,2,merkle-reverified
hiddify-app-main,android/app/src/main/protos/v2/hello,e8fda8edda43e1565da79d5e211833c69c0876c776e2b806a878eb43c12c8610,2,0,2,merkle-reverified
hiddify-app-main,android/app/src/main/protos/v2/hiddifyoptions,449eabc28ca5b8af4936b8cf3b7a9bbd3ad98d43938743393989ad3db1a6528b,1,0,1,merkle-reverified
hiddify-app-main,android/app/src/main/protos/v2/profile,6f9fb40b965bdecf0c15967e518dd7be79fde7600c646e205fb877ec0ff6ee4e,2,0,2,merkle-reverified
hiddify-app-main,android/app/src/main/res/drawable,4bce76b39e26b451c1013c0ad0bba27140caf9afc5026cab07810994a8514b44,6,0,6,merkle-reverified
hiddify-app-main,android/app/src/main/res/drawable-hdpi,13c45acb2f41bc3d112daba8c7673fc4e486a0012ba940d3327709f4c1c5428a,1,0,1,merkle-reverified
hiddify-app-main,android/app/src/main/res/drawable-mdpi,41dbbb9e71098b864ea1bbaea0093587aec5443f1fffaa5f414bb9100fd200b8,1,0,1,merkle-reverified
hiddify-app-main,android/app/src/main/res/drawable-v21,30c3b44424943df9f194728a68e5b1fabb9d3c883c1aeea937997bbe073906c2,2,0,2,merkle-reverified
hiddify-app-main,android/app/src/main/res/drawable-xxxhdpi,723f635019653ebad8f33bc26bc3014869667386ba76cb5acc798705a5da1c94,1,0,1,merkle-reverified
hiddify-app-main,android/app/src/main/res/mipmap-anydpi-v26,7ac414ee5722a512d10a822729a6e73507dcb8bde8631aba919f8fab58605106,3,0,3,merkle-reverified
hiddify-app-main,android/app/src/main/res/mipmap-hdpi,7d01f74e971d38ff888bd4fc9d10707c89870c8fd371b39b82390352095df8bc,2,0,2,merkle-reverified
hiddify-app-main,android/app/src/main/res/mipmap-mdpi,a794077cf89c9dd2f8fa31b40a1fa36dfdab7efc5114a38f9be23563c89edaa2,2,0,2,merkle-reverified
hiddify-app-main,android/app/src/main/res/mipmap-xhdpi,4ba841aa419c4afcdb95431e0e9a71d0edf27bd824b07ab32f0990ba3df8bdad,3,0,3,merkle-reverified
hiddify-app-main,android/app/src/main/res/mipmap-xxhdpi,0537e29a5ef6ed41f8f718b728fbecdb5e6173aae961dcec51b9ec491c858480,2,0,2,merkle-reverified
hiddify-app-main,android/app/src/main/res/mipmap-xxxhdpi,98bdb3b6a3fe2f25c763730243d931a3a6eafb750bf972526b60df763c5893e0,2,0,2,merkle-reverified
hiddify-app-main,android/app/src/main/res/values,4074fc887c7e3e46f865cc31d56779fc712fc91d4ae746fa785c7b3c89023cef,5,0,5,merkle-reverified
hiddify-app-main,android/app/src/main/res/values-night,b6281a0c51c1ead527b4053e6fc85b87ae43c31861d90738c5e4ed705e7b5f4f,1,0,1,merkle-reverified
hiddify-app-main,android/app/src/main/res/values-night-v31,b7dc259b506585f9cc10503efc6aaa8c59a27c899b1ed73fc16752d79e08acbc,1,0,1,merkle-reverified
hiddify-app-main,android/app/src/main/res/values-v31,a01595d5d0a009f5d246af5cd2589f20124369931382194e893432ff11e9ef55,1,0,1,merkle-reverified
hiddify-app-main,android/app/src/main/res/xml,73ebc7b0b22b9437f4cd9d6d8f0d0aa924dede6b2d6277bb8e0e260c4dcde4b9,2,0,2,merkle-reverified
hiddify-app-main,android/app/src/profile,5e618ad2fabe5be85942a45a5004a74f87cccc718cc4fe8b597b563607da9617,1,0,1,merkle-reverified
hiddify-app-main,android/gradle/wrapper,ac97cb9456c7ae956267fa6a5bab825c999c45b614d0e5330996348374eff81b,1,0,1,merkle-reverified
hiddify-app-main,assets/core,c986234defac43cd83187ed8a4419da818853c30a2efd4be9371cbfa6483128c,1,0,1,merkle-reverified
hiddify-app-main,assets/fonts,63542ab7f4935a311ee516a32338a193b42c745824b5f1c0601e3c256ca2afee,3,0,3,merkle-reverified
hiddify-app-main,assets/images,5f1282e92c16eeaf0d6df8f7ef97ffbd2bb22d7be59a0cf7606c39da07275f2f,14,1,20,merkle-reverified
hiddify-app-main,assets/images/source,5a89793daf991f564a7f694b747c0f22587f67be4c68e926444439cbed1aed84,6,0,6,merkle-reverified
hiddify-app-main,assets/translations,ffa65403ea89e99b805c7257440f223747b6a0a574e55cbe4d5c37e51bd00125,11,0,11,merkle-reverified
hiddify-app-main,docs,a804814c1ce200d3258d829423ed15ffe25bd143678f3241bf67e787c40c8dce,1,0,1,merkle-reverified
hiddify-app-main,ios,e67337da4b1c23498b3254b9a198f330573af14d0a4f18079de704acf092523f,6,10,67,merkle-reverified
hiddify-app-main,ios/Flutter,9c3649fe8b49abe0729ae1039bf170c02d5d91183733847b04f70c751e200847,3,0,3,merkle-reverified
hiddify-app-main,ios/Frameworks,af5034529b3033298a6e5c1b9161954f25c10eccdb2ab03203b4c86d36ec79bf,2,0,2,merkle-reverified
hiddify-app-main,ios/HiddifyPacketTunnel,80e935e4c0f78802cddd2e2aad890659830d40e43886f084cacc4409a8bd0f68,6,1,10,merkle-reverified
hiddify-app-main,ios/HiddifyPacketTunnel/SingBox,8c17210b8f9f521187f0ea2dc6b31454adf2528953d03f7e6260b545c456c668,4,0,4,merkle-reverified
hiddify-app-main,ios/Local Packages,149a658f59af57580c7d4c8a524ab4cd8a61519c2f602065176d19aff4c145f6,1,0,1,merkle-reverified
hiddify-app-main,ios/Runner,52ce78c6f2d54ca08486d3437f13112352ffd8b0994d9b25118741d68752d686,5,6,31,merkle-reverified
hiddify-app-main,ios/Runner/AppIcon.icon,4c8d34f650a28a849847f5d59ad0de90a808326272c9e48ad45f11a6047b9035,1,1,2,merkle-reverified
hiddify-app-main,ios/Runner/AppIcon.icon/Assets,68c9901e8a3417e1dc4bebbbf427beb3a3abb82d45875dcb270f08a10d0fcf86,1,0,1,merkle-reverified
hiddify-app-main,ios/Runner/Assets.xcassets,8aae7178c811837ad57b177e0609946e9e3eeac8289511c2679a5910b2ca082a,2,2,9,merkle-reverified
hiddify-app-main,ios/Runner/Assets.xcassets/LaunchBackground.imageset,4ede6fa9a3ff6a044174075c2a32becc28a907bbc3a6040c81970346106f4bde,2,0,2,merkle-reverified
hiddify-app-main,ios/Runner/Assets.xcassets/LaunchImage.imageset,4e2bcbce108bff3902cc1a1b61e6c2d305d02150c8b7b1f5072b9ac29ee844c3,5,0,5,merkle-reverified
hiddify-app-main,ios/Runner/Base.lproj,e423116893e89944a7336590307326a54ec58458af9d91d099a73da42bcbbcba,2,0,2,merkle-reverified
hiddify-app-main,ios/Runner/Extensions,06f5f1359875c6462fc5c10b17b7a25e28ffb5986a886418e489f8d8e6120022,1,0,1,merkle-reverified
hiddify-app-main,ios/Runner/Handlers,3e2fb0b4ccc1be90b5d3d428889cce5d4b995348d2fa2dfcef63fe4d8625e730,9,0,9,merkle-reverified
hiddify-app-main,ios/Runner/VPN,40c03f6693193a50f0ed24859f6a1301afffa15f7721ab9a4ddb393596b044dc,2,1,3,merkle-reverified
hiddify-app-main,ios/Runner/VPN/Helpers,37cb6b101bac7180b0782528bc3ac1a76a405205c4fec25dffe19eac8a087b31,1,0,1,merkle-reverified
hiddify-app-main,ios/Runner.xcodeproj,5bc324c4f6108031d14f61df081ff1b8c06fb6492b6e7e2b74606bf80c3fd5af,1,2,6,merkle-reverified
hiddify-app-main,ios/Runner.xcodeproj/project.xcworkspace,5f26c5dbb578fb76e21479bd88ad510f9da76d3b2b742ba9dc4975bc9dff1105,1,1,3,merkle-reverified
hiddify-app-main,ios/Runner.xcodeproj/project.xcworkspace/xcshareddata,5d01a54953c6b89e5fb91c549a842eb9a655056a260a835856524d7c30059cc2,2,0,2,merkle-reverified
hiddify-app-main,ios/Runner.xcodeproj/xcshareddata/xcschemes,462b68d30600ec2fc1f16c3618f4b53e5c915eb6c709b8b7e6e6c3ce68285e68,2,0,2,merkle-reverified
hiddify-app-main,ios/Runner.xcworkspace,7f67404b175fc69ed88e9cdc85d3b193f83cd2e3a7614b522f133573720c2973,1,1,3,merkle-reverified
hiddify-app-main,ios/Runner.xcworkspace/xcshareddata,347a194cf076e12871606f1b92d6ee59b73d536bd64e0f6847d4683de700daf1,2,0,2,merkle-reverified
hiddify-app-main,ios/RunnerTests,6f23ac229bab089386b9716d2253cf0530d41022ebacdb66d4cc9b6fab422a07,1,0,1,merkle-reverified
hiddify-app-main,ios/Shared,bad5cb5e2bfd0e5710f106f0f791d24103541442fb327ac5de7c078132b48098,3,0,3,merkle-reverified
