donor,path,sha256,size_bytes,classification,language,semantic_record_ids,resolution,notes
awesome-privacy-master.zip,awesome-privacy-master/readme.md,3e86fcef7afc662977e158c2f34bdb4421138b3700b52c5852a8c8fafb97b678,17465,documentation,markdown,S6-013,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
awesome-anti-censorship-master(1).zip,awesome-anti-censorship-master/LICENSE,e8737ef1a4a91227b4f4abbe2b449c8be897c798d10e7813b3417737d447dd4e,1076,license,,S6-012,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
awesome-anti-censorship-master(1).zip,awesome-anti-censorship-master/README.md,620fc4a4ed0b336cd43f7f97a2a5e2a81b6927db167d503e51396e9038243fa0,13569,documentation,markdown,S6-012,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
awesome-tor-master.zip,awesome-tor-master/.travis.yml,d9afec00c236ddd7c034d979c8fdd0d939b5e2b5e09c5083f69f5301b7308633,157,configuration,,S6-014,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
awesome-tor-master.zip,awesome-tor-master/CONTRIBUTING.md,c4fa05df2d9e59477062b300ec286cb1f6d586622d9a314157a7cdc6ec7ae42e,2926,documentation,markdown,S6-014,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
awesome-tor-master.zip,awesome-tor-master/README.md,3fad14fa8be44bc5a536d8d4e147878c26687ef730fead91e93bead2bf415a14,17701,documentation,markdown,S6-014,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
PowerShell-VPNGate-main.zip,PowerShell-VPNGate-main/LICENSE,ccdcf893959db4bd9894230bf470fb692523a00783d37609b73582a2848986fb,1063,license,,S6-006,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
PowerShell-VPNGate-main.zip,PowerShell-VPNGate-main/PowerShell-VPNGate.ps1,c21b5d4a20d43b9671ed2e3430391b8c4beaa4828add006b01f47cf2e9052eb0,8153,script,powershell,S6-006,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
PowerShell-VPNGate-main.zip,PowerShell-VPNGate-main/README.md,18e4aee0f23b4f22cfce27f9879c7e8b179b0da454991f5263de8576b0d35172,7158,documentation,markdown,S6-006,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
VUMP-limited-master.zip,VUMP-limited-master/.github/FUNDING.yml,ea357590a491b7cb58aa3f67e1fc1877359bc771fe4019fbfcac3278432ae4b0,136,deployment,,S6-017,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
VUMP-limited-master.zip,VUMP-limited-master/.gitignore,1192760139c9054c6a84b39e4e4198ef5624bc659da075ae9144cab94f8a0b78,7560,other,,S6-017,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
VUMP-limited-master.zip,VUMP-limited-master/LICENSE,d6c6e289082cf1b6fcf4fc3bfb4d35395e2687502480d3d92cec37c5fc568e29,1066,license,,S6-017,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
VUMP-limited-master.zip,VUMP-limited-master/README.md,366d38fb3ec0a980ec0acc2dd5631c78ab87d597c83b53dfd31d8ba3e9912ddb,133,documentation,markdown,S6-017,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
websocket-master.zip,websocket-master/README.md,f83bf663a1408c1a55d19eac04e3542cb3d2604dfea92370ea3c362762247f23,1341,documentation,markdown,S6-019,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
websocket-master.zip,websocket-master/lib/websocket.js,f9b811828546cd29836efa3958ea8e66bea8ca17256a67bc8d5471af3fbdf55b,5958,implementation,javascript,S6-019,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
OrbotIPtProxy-master.zip,OrbotIPtProxy-master/.gitignore,3f52551b9e8f89fb2071b6eaa654189cbf3e9bb39856bc98e50785cb2887b85b,3416,other,,S6-008,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
OrbotIPtProxy-master.zip,OrbotIPtProxy-master/.gitlab-ci.yml,a6191d9a1cecf279bc4a3ae18312ef2a1732290edf66cb3bcd0d3a92ebb03d2a,1796,configuration,,S6-008,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
OrbotIPtProxy-master.zip,OrbotIPtProxy-master/.gitmodules,37c0aefa6e1800631fe50a72e09e35b0121e26ad49fd6a6612325726349d9ba4,90,other,,S6-008,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
OrbotIPtProxy-master.zip,OrbotIPtProxy-master/CHANGELOG.md,27bda003feb203e1f178856f19c9f027fd50387ce08f8b286bc4fc67f76b931a,199,documentation,markdown,S6-008,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
OrbotIPtProxy-master.zip,OrbotIPtProxy-master/LICENSE,2f7b39363a07baaad988609ffac8e404145c16648524f23638f2d171230cecd4,1109,license,,S6-008,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
OrbotIPtProxy-master.zip,OrbotIPtProxy-master/OrbotTun.go/OrbotTun.go,9479e7d8f1ed857b190f67d1c8e661925ccbbd77a27cd8a6076f13fd62127eea,1459,implementation,go,S6-008,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
OrbotIPtProxy-master.zip,OrbotIPtProxy-master/OrbotTun.go/dns.go,1a970e09ac1bd20f4cda4fa49a1d98a4d0a45d87f2c97cdd771ef4601876136c,2273,implementation,go,S6-007,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
OrbotIPtProxy-master.zip,OrbotIPtProxy-master/README.md,562b2dfb71a7f830c5c89540edf116a12a9619eaa8c5abf73cb1c5e0f6171b5f,705,documentation,markdown,S6-007;S6-008,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
OrbotIPtProxy-master.zip,OrbotIPtProxy-master/Vagrantfile,e0c4e1d2543da7348064c3ea903bec2b97ce87207946c32f8bfb29831507475e,2321,other,,S6-008,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
OrbotIPtProxy-master.zip,OrbotIPtProxy-master/build-orbot.sh,2c5395ef6a88523fbddceb0fde1e49ba39352a47a48fc38764a1617cf58c5112,1019,script,shell,S6-008,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
onion-route-proxy-main.zip,onion-route-proxy-main/.github/MCzRRsjtnFFegB,555d39d7d7f49bdb249c1779989a16f6b978a7a8bf0363710c506a20b107c7fd,8552,deployment,,S6-016,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
onion-route-proxy-main.zip,onion-route-proxy-main/.github/workflows/rCDIRHslpXrK.yml,c4b437b15fd06ceba828ec923867c4b70c1e7a1f2c27390d8643202cd5ec2e80,3206,deployment,,S6-016,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
onion-route-proxy-main.zip,onion-route-proxy-main/README.md,02b333b37e93f34915f7028bf6ef7112cca6e9a990dcde425d1d9fcdaedaa5d3,11950,documentation,markdown,S6-015,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
onion-route-proxy-main.zip,onion-route-proxy-main/index.html,57b64a124b96092b5a5ccfb46e60cfed3a7b1fe6f3cdf11bf0e8e02384ce9621,25172,other,,S6-015,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
g2rayXHTTPS-master.zip,g2rayXHTTPS-master/.devcontainer/Dockerfile,280a877aef1700cbd9147d11ed21b4618dd4a75715a5a24939ec9b5cd60be046,2401,deployment,,S6-009,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
g2rayXHTTPS-master.zip,g2rayXHTTPS-master/.devcontainer/config.json,da0a330b225233daeff20d3a6e38b432d68b4db523a16bea4195395df5d4af0d,467,configuration,,S6-009,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
g2rayXHTTPS-master.zip,g2rayXHTTPS-master/.devcontainer/devcontainer.json,a00d6ed3bd7ddb56a471eec5d08dfd261b4e94db52eebe8b78400c7b5ca7c4dd,536,configuration,,S6-009,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
g2rayXHTTPS-master.zip,g2rayXHTTPS-master/.devcontainer/install.sh,4734be928db88dc03956c97693bb9fb8e4dcdeb0d48107ff31d40cd3d5c269eb,252,script,shell,S6-009,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
g2rayXHTTPS-master.zip,g2rayXHTTPS-master/README.md,70344965ba2b48ddbd0a8bd8950f6ebb605f8b7a3827fb13a877f8882f3afed0,3052,documentation,markdown,S6-009,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
g2rayXHTTPS-master.zip,g2rayXHTTPS-master/docs/screenshot.png,660be8b37ddd18b7226a85e1df28ac723bcf3f9f5dca8d59b6c49eea9bb42e3d,21754,media,,S6-009,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/.gitignore,f9edf31d8c83d8cef621e9a96aadf4228f75052996865727b73c802468bc4035,226,other,,S6-002;S6-003;S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/LICENSE,55426ddec0f3caf6092e3752b1107f5a7786cb7460747012a342c9b6718031e9,1543,license,,S6-002;S6-003;S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/README.md,30606ac650a25ac497212eea52214a5f27d6dca55a1b667d983657f01b3ce4f3,1692,documentation,markdown,S6-002;S6-003;S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/_config.yml,9286f9851199e6080a4ebec321bf0f5009ef16970e626ab49d962e692c00b0cb,27,configuration,,S6-002;S6-003;S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/ahmia/README.md,52f7d46d89290c466f4068d3215bbf739b7c9f3c807fb672e164d03e6891a270,245,documentation,markdown,S6-002;S6-003;S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/ahmia/ahmia/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,implementation,python,S6-002;S6-003;S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/ahmia/ahmia/example.env,19556229dff4a13bf05e54a7cc7b6686885cb0146e42f58e2902458f38b95b7f,180,configuration,,S6-002;S6-003;S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/ahmia/ahmia/items.py,664c17bb846116a41a63e2b462088a9c2eb3cc5e060cf64d9c54a9891b8d5605,1669,implementation,python,S6-003;S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/ahmia/ahmia/middlewares.py,e904f9072c9d52cc91c3b2f564ea735b55e91c3d2a9f0d3e06aca0c431f83eab,4635,implementation,python,S6-002,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/ahmia/ahmia/pipelines.py,2cb7bddc57ce25511549f83d5ae5002aa17dcd75672f74b03408494092ba3474,3113,implementation,python,S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/ahmia/ahmia/settings.py,8a06533baad3c13235b167daa4451016e2b869e0562a2430beea84db1ebbc526,4070,implementation,python,S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/ahmia/ahmia/spiders/__init__.py,50bc1e719931dff353a61933ef2fea89acc1794a071670825a72928e80c2663d,161,implementation,python,S6-002;S6-003;S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/ahmia/ahmia/spiders/onionspider.py,f176deba4fbc8a57f464b39c96df3c2851ec113e0be84f306b4f3c7a2d3cdea9,8353,implementation,python,S6-003;S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/ahmia/scrapy.cfg,2f3bba75c9834238c1a196a20966c01eafd7e2958fb7a1ea79a376a2e597a515,252,configuration,,S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/requirements.txt,f05804dba4e1aa60f51f1e70c53ed5d54bd62d45d7ec8678bdd857601e84d192,129,other,,S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/run.sh,71fd929e0646c2f3340bb10337bc71d023a293ee62a366fd77d44b5db50e9492,211,script,shell,S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/run_daily.sh,6ca52efc3a18ac9682173884615ecb9f979bb19ca74670de24f4e497250ecf35,211,script,shell,S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/torfleet/.gitignore,3caa4a6da7fc5115359dbcc84e6797c56a31d12c9881e0daa504dc7e883527ff,287,other,,S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/torfleet/README.md,9bf28ea79db81386662de047b1e156b0bd342935c18db1f55edc8ddd2135d06b,942,documentation,markdown,S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/torfleet/gharib.privoxy.config,0bfc02071bf861623e1a0448331af57cc3f2eb7c3617574be732275bb96db21a,462,other,,S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/torfleet/privoxy_configs/config,f6be019b4b7873bbbc38a15e8bbe9f120ad54e34a47bd2a602335c00a31a5a0f,332,other,,S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/torfleet/runfleet.sh,d0ebde402e3ea6b2bb91a1e5aacc491b76db207aecac43b4c2c831843c50f8ea,1348,script,shell,S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/torfleet/selectionlogic.py,2fc3ba54cb122bf481f2fdd840aed4fcb93567c47d36093d82f4878127332834,1193,implementation,python,S6-002,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
ahmia-crawler-master.zip,ahmia-crawler-master/torfleet/testall.sh,9cf5a0408fe6f73004de5a1ea7a154fa8ce271e666aed7548beebfcefa33db2d,266,test,shell,S6-027,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-bot-master.zip,node-bot-master/LICENSE.txt,6c08740c44aa391d6fe022c179bc74ba9b35be6bfb5f406fd5a3ee98a672d6d9,1057,license,,S6-024,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-bot-master.zip,node-bot-master/README.md,ca26a4a8d33a5fcdca1e1f7fa9e12c1f13da2d331c0c865ec104009b118ccacd,6813,documentation,markdown,S6-024,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-bot-master.zip,node-bot-master/lib/bot.js,d5c20bd998b03f15925b9ae157ac914b038ee01447ee47418d7db5ca5be5d860,2573,implementation,javascript,S6-024,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-bot-master.zip,node-bot-master/package.json,5ec3131d5af1cbc1547246e144bdfef661883a78272b69757793953d9771c13d,747,configuration,,S6-024,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-bot-master.zip,node-bot-master/test/tests.txt,95298e6aa44e846bbd1caad3ff696e05b913e368ad1c05e6521f72c38177c852,129725,test,,S6-024,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-gadgets-master.zip,node-gadgets-master/LICENSE.txt,6c08740c44aa391d6fe022c179bc74ba9b35be6bfb5f406fd5a3ee98a672d6d9,1057,license,,S6-023,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-gadgets-master.zip,node-gadgets-master/README.md,c717e59774253b2a0bee11144502196540258c7af7e1cdc48ad0254e3c741164,6037,documentation,markdown,S6-023,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-gadgets-master.zip,node-gadgets-master/lib/gadgets.js,6552c11ef0925669e2c5fb0126d75d7df788b1a7db96f994932467a251f4fa23,2544,implementation,javascript,S6-022;S6-023,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-gadgets-master.zip,node-gadgets-master/package.json,10f7ccabd35a7a0e7c82335cccd896255e3983397246eb2c5b41938ba8f44687,726,configuration,,S6-023,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-gadgets-master.zip,node-gadgets-master/test/tests.txt,95298e6aa44e846bbd1caad3ff696e05b913e368ad1c05e6521f72c38177c852,129725,test,,S6-022;S6-023,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
abstract-tls-master.zip,abstract-tls-master/README.md,54624fda73b56ee7f9db7de7c5aac140cf4b9761a9728294cb45f1e138fd1813,3784,documentation,markdown,S6-025,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
abstract-tls-master.zip,abstract-tls-master/bug/dataview.js,1456d6a4c2df027d893abc16c732c480e61ea88e449b152a008cebee38aa37e0,1330,implementation,javascript,S6-025,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
abstract-tls-master.zip,abstract-tls-master/lib/abstract-tls.js,ba4a711d062b8c5532daa27047ae9613d45f00b2a8469087bea6cc86bdeeb9b0,195388,implementation,javascript,S6-025,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
abstract-tls-master.zip,abstract-tls-master/lib/browser-tls.js,6505b8cae640d11ca38df96c8c3f27cae0bf9b8496134d6ed68ec4df528d822a,3548,implementation,javascript,S6-025,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-dom-master.zip,node-dom-master/LICENSE.txt,94d84351ba37f48b1f84de37264597c85dcdcb5d34e4cf6d69ffbb19b9d67d43,1059,license,,S6-021,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-dom-master.zip,node-dom-master/README.md,f53411a1b806f248251fca1b8653164eca9dedd6829f377b9838b865a7bd0de6,9059,documentation,markdown,S6-021,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-dom-master.zip,node-dom-master/lib/browser/domtohtml.js,02a83b96a188ef9a997f584ea511f5dd64b6f9745bad2aa094b43bbee9e5c2ef,5899,implementation,javascript,S6-020;S6-021,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-dom-master.zip,node-dom-master/lib/browser/html.js,fb2806e587793b216d811550872c603d8b5f6937998fc550a62e230426349360,6012,implementation,javascript,S6-021,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-dom-master.zip,node-dom-master/lib/browser/htmlencoding.js,fe146dcd8e5c679a9e1983f1e10e3b9f2a611883fe7b15bb4c84de4cb2b33c8e,33185,implementation,javascript,S6-020;S6-021,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-dom-master.zip,node-dom-master/lib/browser/htmltodom.js,5ad527ca247076d79d0cb88d77b237c423a06d8cc0b34d1fc0f5bc5a69c3d2e5,769,implementation,javascript,S6-020;S6-021,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
