path,change_type,seventh_order_sha256,current_sha256,accountability_class,eighth_order_record_ids,reason,verification_node
governance/convergence/peer-validation.md,modified,cca3ef7b95d67da077ee8dde408fd1f6c2518d7ac8d7e51570a065a705539cf7,160c53b2b6a02e5363031b660efe34feb4724e0e655e2e9ac05e9bca0f708bf0,historical-evidence-refresh,E8-0006,Refresh the active SEM014 current-target ownership/evidence to the eighth-order stable-ready supervisor semantics while preserving donor provenance and record identity.,scripts/checks/check_peer_convergence.py#main
governance/topology/relocations.json,modified,515ba2ef2a86f82022dbf85e65f10e6e4b0272a0ff01843d51b34d063bc5b98a,b4984690e17401b60f5535caa6b4b129b5f62c8e6e1dc3396f041ce4c15ecd75,repository-topology-provenance,E8-0003;E8-0005,Register the reviewed eighth-order DoH cache test transformation against the original topology baseline instead of weakening the topology gate.,scripts/checks/verify_repository_topology.py#main
scripts/checks/check_eighth_order_convergence.py,added,n/a,7391e3ea1a30fbfb8a07bf65f64c3af74fcff6202138d35001b8690d1c0f504c,convergence-governance,n/a,"Add the executable eighth-order omission, evidence, target-delta, live-invariant, historical-layering, and safety-veto gate.",scripts/checks/check_eighth_order_convergence.py#main
scripts/checks/check_seventh_order_convergence.py,modified,c864171203c3734f7f53766a244de77f9669f043aa9b7dc6e8eba93862bbbe9e,7355440c304838562f3e21bb5cf588b1d7e0d1a7ab6b572a5bb096949ab2bcd0,historical-baseline-layering,n/a,Preserve the delivered seventh-order evidence contract while allowing the frozen eighth-order successor baseline to define later target drift.,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/adapters/api/handlers_system_status.go,modified,438ab2d2f99b67c197d63f8ea5c8099f2174b60f0f27fa2d6e0444b72f4d0851,02ab9cfc9b7d98b24101c0928eaecde6f74b79b6b9e31c511f650556bc77c997,operator-observability,E8-0001;E8-0002,Expose aggregate secret-free remote mutation retry/cooldown telemetry through the existing system-status owner.,scripts/checks/check_eighth_order_convergence.py#main
src/apps/daemon/internal/adapters/api/types.go,modified,ae92516a50429763c7a1fa0d7ba5c24ba3cf7f51c849947043419938d58f4ae2,a607139d0440c202e046e2c02c9c2f86c2f073c1709716cd17973c0ab1164fbb,operator-observability,E8-0001;E8-0002,Expose aggregate secret-free remote mutation retry/cooldown telemetry through the existing system-status owner.,scripts/checks/check_eighth_order_convergence.py#main
src/apps/daemon/internal/foundation/remoteaction/remoteaction.go,modified,e598dc278f46b1e7a91ad3566d1cfdccffa4f160608748a94c445d57b8294e4c,982e8b6e832af6bd23205cab818ba07b170c5029c909a49c086cb5994ba11df4,runtime-mutation-resilience,E8-0001;E8-0002,"Add bounded action-scoped cross-call provider cooldown while preserving mutation safety classes, cancellation, reconciliation, and hard retry limits.",src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go#TestExecutorSharesRateLimitCooldownPerAction
src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,modified,5eb9859c53baec6019045bf52c467c2ac748934de990e11d0a168c96a6c6bfbc,8aa8ab2d63e2543be629de6809748d06ac6f1c61d9c7e415670eb8f8b7346da4,runtime-mutation-resilience,E8-0001;E8-0002,"Add bounded action-scoped cross-call provider cooldown while preserving mutation safety classes, cancellation, reconciliation, and hard retry limits.",src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go#TestExecutorSharesRateLimitCooldownPerAction
src/apps/daemon/internal/networking/dns/bounded_cache.go,added,n/a,66078590f5aca10189c9e7fd6f993b76a483ef80a77fefd103cf6b0d72c88bb5,dns-resilience-primitive,E8-0003;E8-0004;E8-0005,"Introduce one bounded TTL/LRU ownership primitive with fresh/stale deadlines, clone ownership, eviction accounting, and deterministic capacity.",src/apps/daemon/internal/networking/dns/bounded_cache_test.go#TestBoundedTTLCacheEvictsLRUAndClones
src/apps/daemon/internal/networking/dns/bounded_cache_test.go,added,n/a,6bf66128323c3df0764e6d045509e3414d7e0a62fb79e2c9ed5fe926586013ae,dns-resilience-primitive,E8-0003;E8-0004;E8-0005,"Introduce one bounded TTL/LRU ownership primitive with fresh/stale deadlines, clone ownership, eviction accounting, and deterministic capacity.",src/apps/daemon/internal/networking/dns/bounded_cache_test.go#TestBoundedTTLCacheEvictsLRUAndClones
src/apps/daemon/internal/networking/dns/doh_proxy.go,modified,3a1b462b6b6ccc154b163eb1d116f0075b71038001f9005c0f8da5a44061f7cf,a8df6fd963ac18f5f034838127c84daabed4ba1e63d98a5b71da63af2aa9f641,dns-weighted-proxy,E8-0003;E8-0004;E8-0005;E8-0011;E8-0012,Converge weighted DoH onto the shared bounded cache and make provider selection empty-set-safe and concurrency-safe.,src/apps/daemon/internal/networking/dns/doh_proxy_convergence_test.go#TestDoHProxyProviderSelectionIsConcurrencySafe
src/apps/daemon/internal/networking/dns/doh_proxy_convergence_test.go,added,n/a,aff331012225608c549fd8546b465a52151144022c62f1f3566c993009977fea,dns-weighted-proxy,E8-0003;E8-0004;E8-0005;E8-0011;E8-0012,Converge weighted DoH onto the shared bounded cache and make provider selection empty-set-safe and concurrency-safe.,src/apps/daemon/internal/networking/dns/doh_proxy_convergence_test.go#TestDoHProxyProviderSelectionIsConcurrencySafe
src/apps/daemon/internal/networking/dns/doh_resolver.go,modified,cf087ef3b1b3537123cc337febddacd450925ed66b06c64203e343e54e6d9c26,5b31d467bb888843dbcfb8842b7aff8604228af8ea8e06778201a886bae34a59,dns-failover-resolver,E8-0003;E8-0004;E8-0005;E8-0011;E8-0012,"Converge failover resolver cache ownership and harden provider/client snapshots, empty-provider failure, and concurrent reconfiguration.",src/apps/daemon/internal/networking/dns/doh_resolver_convergence_test.go#TestFailoverResolverProviderReconfigurationIsConcurrencySafe
src/apps/daemon/internal/networking/dns/doh_resolver_convergence_test.go,added,n/a,875c56dfa969784bdd02d320384724cffb4bbf613a473c3df4ee80a3f5a1ac6a,dns-failover-resolver,E8-0003;E8-0004;E8-0005;E8-0011;E8-0012,"Converge failover resolver cache ownership and harden provider/client snapshots, empty-provider failure, and concurrent reconfiguration.",src/apps/daemon/internal/networking/dns/doh_resolver_convergence_test.go#TestFailoverResolverProviderReconfigurationIsConcurrencySafe
src/apps/daemon/internal/networking/dns/dohcache.go,modified,46db735e244be6f4fab0ce709437aac024702d9c670f5b1dac1384cce251c7b8,ecca130c6564ded5ec73fe6d16444675b38d52b90ecbde1c36333ddcf4b65e6d,dns-http-cache,E8-0003;E8-0004;E8-0005;E8-0011;E8-0012,"Harden DoH cache admission, stale-on-refresh-failure, coalescing, canonical bounded keys, capacity, and cancellable maintenance.",src/apps/daemon/internal/networking/dns/dohcache_test.go#TestDoHCacheDoesNotCacheUpstreamHTTPFailure
src/apps/daemon/internal/networking/dns/dohcache_test.go,modified,21a8231a6c8d07b947cec29915a419ac2916109fe86e343f3c9649237614adcb,bd21499c87ae2e05edf28d738e0b9acbbdbf115b6a0150f44f3e2e486a11402f,dns-http-cache,E8-0003;E8-0004;E8-0005;E8-0011;E8-0012,"Harden DoH cache admission, stale-on-refresh-failure, coalescing, canonical bounded keys, capacity, and cancellable maintenance.",src/apps/daemon/internal/networking/dns/dohcache_test.go#TestDoHCacheDoesNotCacheUpstreamHTTPFailure
src/apps/daemon/internal/platform/system/process_supervisor.go,modified,04ba66225d033288a06183e82665ea6a6ef7b01fe41d67e495a9c7c91dfc722f,a5a9af5fc9aa9214ee3f8412b6127b8f80f0ad57981a12f2caa8994a4067f201,runtime-supervision,E8-0006;E8-0009;E8-0025,Separate stable-ready restart-debt reset from rolling circuit-breaker history and prune expired history on record/evaluation paths.,src/apps/daemon/internal/platform/system/process_supervisor_test.go#TestProcessSupervisorFailureWindowPrunesDuringLongStableRun
src/apps/daemon/internal/platform/system/process_supervisor_test.go,modified,16dc87ccbe40066793cc4cc8b4518d0040d8bdb2f780d51ee4c3b4ce842af936,4e3ba282f976545ccefcc724261b003454f5f5c89332c74bdeba6f376566d6b5,runtime-supervision,E8-0006;E8-0009;E8-0025,Separate stable-ready restart-debt reset from rolling circuit-breaker history and prune expired history on record/evaluation paths.,src/apps/daemon/internal/platform/system/process_supervisor_test.go#TestProcessSupervisorFailureWindowPrunesDuringLongStableRun
