donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,notes
luminet-baseline-d73453f,server/internal/proxy/geosite_routing_matcher.go,7c8facb577cdb4f61694809def5b9f6a6be9901d5f0c7f008e37a2f55dc64041,1489,regular,go,implementation,historical-authoritative,HVC-GEOSITE-001,Dynamic override value promoted to internal/domainrouting; proxy surface retained as facade.
luminet-baseline-d73453f,server/internal/proxy/billing_panel_adapter.go,bc13e131e4f34b06930e2e7076f1afc36c568b76bf2c61b2645975347ac2fa48,607,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-BILLING-PANEL-ADAPTER-BC13E131,Promoted to governed labs surface at labs/daemon/proxy/billing_panel_adapter.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/bpb_panel.go,674a22b944b276d48dd170241a15e60b8596dddaebcfeed7def3e433c7772688,30590,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-BPB-PANEL-674A22B9,Promoted to governed labs surface at labs/daemon/proxy/bpb_panel.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/brutal_cc.go,d1be7406b3ae5fc0f24238adb52dbd45eac90fa11ab04da68166059a3ebd5b97,8395,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-BRUTAL-CC-D1BE7406,Promoted to governed labs surface at labs/daemon/proxy/brutal_cc.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/candy_connect.go,71150a9406c11168657427fa09eb1b537e1cdb18d071711abf67ea5e477c8198,4116,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CANDY-CONNECT-71150A94,Promoted to governed labs surface at labs/daemon/proxy/candy_connect.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/candy_server.go,9ff892fcc7d12cb7cffb33924f24841fd1a2a4932a9d35d6466047631080bc60,3445,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CANDY-SERVER-9FF892FC,Promoted to governed labs surface at labs/daemon/proxy/candy_server.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/censorship_api.go,a251d8178a51ada0367839348ad66bdbff395ffbefafd82bf0f7e7f3312111ee,3070,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CENSORSHIP-API-A251D817,Promoted to governed labs surface at labs/daemon/proxy/censorship_api.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/censorship_api_test.go,580108f098dc487b02583b5c8cfaeabfbf1f08e88a4424a7272d33f24fdcb356,2056,regular,go,test,lab-non-authoritative,HVC-LAB-W20-CENSORSHIP-API-A251D817,Promoted to governed labs surface at labs/daemon/proxy/censorship_api_test.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/cf_bypass.go,44f0b978b89ebeb4e501f7af237cf1192f5606d029230532b7de1b443e3f242d,4636,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CF-BYPASS-44F0B978,Promoted to governed labs surface at labs/daemon/proxy/cf_bypass.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/cf_vless_socket.go,bbd62ddac95ff92ca4a54ec6e181c4ebb0b7b4ad6e7c9405ef079f72875bda15,6009,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CF-VLESS-SOCKET-BBD62DDA,Promoted to governed labs surface at labs/daemon/proxy/cf_vless_socket.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/cf_worker_dir.go,dfa4d604ba0bb3f99f7c882a3af2c4162cecd64a7af363f3b78312a54745e8c0,12755,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CF-WORKER-DIR-DFA4D604,Promoted to governed labs surface at labs/daemon/proxy/cf_worker_dir.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/cf_worker_gateway.go,b453db3378dd1c89ac8cd9230a71bed564a0f066918fdd041eaf57f5bae894e4,18475,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CF-WORKER-GATEWAY-B453DB33,Promoted to governed labs surface at labs/daemon/proxy/cf_worker_gateway.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/checksum.go,c2c6b388f0a77bf5a5a6f428878f9fdc73c39e92979ffb82a1589592e050dfbe,1243,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CHECKSUM-C2C6B388,Promoted to governed labs surface at labs/daemon/proxy/checksum.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/clash_dashboard_adapter.go,199e181879b8345e5812ae3ee3e9dd6de95ef230bd304ac507ccadd0d26214fe,6742,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CLASH-DASHBOARD-ADAPTER-199E1818,Promoted to governed labs surface at labs/daemon/proxy/clash_dashboard_adapter.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/clash_webui_adapter.go,ec02f151f0eddd3024999d707c6f68d64871491a70c2bfe6290d9ded58ee69c8,5064,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CLASH-WEBUI-ADAPTER-EC02F151,Promoted to governed labs surface at labs/daemon/proxy/clash_webui_adapter.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/cloudflare_bypass_proxy.go,34f0831b70b3e9c77e304247f88ddb236467f9e7a083f9938cfeaf571ddef3a7,9325,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CLOUDFLARE-BYPASS-PROXY-34F0831B,Promoted to governed labs surface at labs/daemon/proxy/cloudflare_bypass_proxy.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/cloudflare_worker_relay.go,8912904ecaacc083a3ec767aa22a60838c5920de26b7121a36b880130a57635b,688,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CLOUDFLARE-WORKER-RELAY-8912904E,Promoted to governed labs surface at labs/daemon/proxy/cloudflare_worker_relay.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/cloudflare_workers_proxy.go,f285ff291bb9170d847293295e09552a6a1ae37fc9755ba65ae83d9bba72d296,11614,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CLOUDFLARE-WORKERS-PROXY-F285FF29,Promoted to governed labs surface at labs/daemon/proxy/cloudflare_workers_proxy.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/conductor.go,8977992b7c403214a34068de712538f71512462c560f6479feffeb5719f144d0,2402,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CONDUCTOR-8977992B,Promoted to governed labs surface at labs/daemon/proxy/conductor.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/config_migration_helper.go,79a0b8885eda203ef8706cf0f77ff13aa67c987e1db5ea9c8f9fb9a3833f7b9f,528,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CONFIG-MIGRATION-HELPER-79A0B888,Promoted to governed labs surface at labs/daemon/proxy/config_migration_helper.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/connectivity_checker.go,ecf16e56bb61bbf9c1cb429d5aee7cea52a383a44c8b7e2346ead987940b206c,2310,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CONNECTIVITY-CHECKER-ECF16E56,Promoted to governed labs surface at labs/daemon/proxy/connectivity_checker.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/connectivity_checker_test.go,fb2571da2bd0272fe888ae44899132c121244736b4e76f205190b7eb5551dec5,1612,regular,go,test,lab-non-authoritative,HVC-LAB-W20-CONNECTIVITY-CHECKER-ECF16E56,Promoted to governed labs surface at labs/daemon/proxy/connectivity_checker_test.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/custom_routing_rules.go,0fb86082a9dc03b8268e67efe17376e907e2b5b66b7e77e15d33e4952450f4ee,2470,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-CUSTOM-ROUTING-RULES-0FB86082,Promoted to governed labs surface at labs/daemon/proxy/custom_routing_rules.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/direct_outbound_setup.go,a5dcb8dac7732021ffd25ea01c45de8f7c7f511566614e1bc77d7dbe2d46e17e,710,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-DIRECT-OUTBOUND-SETUP-A5DCB8DA,Promoted to governed labs surface at labs/daemon/proxy/direct_outbound_setup.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/dns_scaling.go,cef22d69d8893a647b6a76d589064799da3a4366f1dc63526932c7928e01719b,2691,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-DNS-SCALING-CEF22D69,Promoted to governed labs surface at labs/daemon/proxy/dns_scaling.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/dns_scanner.go,43ad620314f1d7f53bfa95ad847c4a48f453ca8971d0d7920e9894b6b1dc622f,8375,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-DNS-SCANNER-43AD6203,Promoted to governed labs surface at labs/daemon/proxy/dns_scanner.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/dns_scanner_test.go,8bd411697d73fd28abacb225d74d719fc15d62d7c460e5b32b162f668b652c51,2908,regular,go,test,lab-non-authoritative,HVC-LAB-W20-DNS-SCANNER-43AD6203,Promoted to governed labs surface at labs/daemon/proxy/dns_scanner_test.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/dns_spoof_blocklist_resolver.go,790710efb126959b61d339ffc01c1204b71650b2355c3ba57191a555857a985a,7002,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-DNS-SPOOF-BLOCKLIST-RESOLVER-790710EF,Promoted to governed labs surface at labs/daemon/proxy/dns_spoof_blocklist_resolver.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/dnstt.go,3fb22dc06d1e6d2488706ddd59e282c941b56af16eac0649122ae1bd517e5bc8,615,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-DNSTT-3FB22DC0,Promoted to governed labs surface at labs/daemon/proxy/dnstt.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/doh_worker.go,8db85dfea6bb6d4c30a816a5cdeff8ada97708561a52b46ad12e0be59d9a0f1f,6157,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-DOH-WORKER-8DB85DFE,Promoted to governed labs surface at labs/daemon/proxy/doh_worker.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/domainfront_gas.go,c5e49b3b278dcbac775ea2179ad8205ca2664224737bed93ddd3d9e7f0ef5427,682,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-DOMAINFRONT-GAS-C5E49B3B,Promoted to governed labs surface at labs/daemon/proxy/domainfront_gas.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/dual_proxy_server.go,645b0b7494e7aa44d412e03290e2388246ed95b41ddf48a93a7df563176ddd3b,8246,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-DUAL-PROXY-SERVER-645B0B74,Promoted to governed labs surface at labs/daemon/proxy/dual_proxy_server.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/dual_proxy_server_test.go,e79262b509759cc19ac51b863bd3c0c111ef8937f4d12ac9fa0444045fca0a96,2434,regular,go,test,lab-non-authoritative,HVC-LAB-W20-DUAL-PROXY-SERVER-645B0B74,Promoted to governed labs surface at labs/daemon/proxy/dual_proxy_server_test.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/ech_tunnel.go,dcfc8b6a1ee166c5e5e111bfaed840ea79bfe7ac5a3b5cc49dd203c5b05892ba,669,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-ECH-TUNNEL-DCFC8B6A,Promoted to governed labs surface at labs/daemon/proxy/ech_tunnel.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/edge_auth.go,fe7deeed0fc3c5051dd8dc3adcd63b6476fdd917b495255cbe7e49912d4b7c00,5967,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-EDGE-AUTH-FE7DEEED,Promoted to governed labs surface at labs/daemon/proxy/edge_auth.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/edge_auth_test.go,a6b8bfeff19a10d4097c1df55c46b429d7b46fc2067c0fa30f862f262b4b216e,6683,regular,go,test,lab-non-authoritative,HVC-LAB-W20-EDGE-AUTH-FE7DEEED,Promoted to governed labs surface at labs/daemon/proxy/edge_auth_test.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/edge_control_panel.go,d29aa59453a7ba90a548ef89b3e9bada8bdb7e78d7f8feccb40fd168d9e895a7,3583,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-EDGE-CONTROL-PANEL-D29AA594,Promoted to governed labs surface at labs/daemon/proxy/edge_control_panel.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/edge_trojan_gateway.go,d0bd2663227d7a50d99cf33973f35b914e663784d2be427d09b930560be43b43,893,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-EDGE-TROJAN-GATEWAY-D0BD2663,Promoted to governed labs surface at labs/daemon/proxy/edge_trojan_gateway.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/edgetunnel.go,b2333bef412311df5f39b94a5965f7cf0bb9ae60781ada16dca6bee5e7792ad8,8492,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-EDGETUNNEL-B2333BEF,Promoted to governed labs surface at labs/daemon/proxy/edgetunnel.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/ens_resolver.go,534cdaedb2f29d72e87f7f5c39fa762469bdc76f7dd0f0424e8f337881d97b6b,1902,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-ENS-RESOLVER-534CDAED,Promoted to governed labs surface at labs/daemon/proxy/ens_resolver.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/ens_resolver_test.go,b4ec0a969ddc564dcd13807b8a4dacbc84b8ce74f551d8ffe2573fafe2399185,1086,regular,go,test,lab-non-authoritative,HVC-LAB-W20-ENS-RESOLVER-534CDAED,Promoted to governed labs surface at labs/daemon/proxy/ens_resolver_test.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/env_drift.go,286644a204775c18f6be1b236d8ba249dad385b7856d5900c2ed51921c2d0817,1884,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-ENV-DRIFT-286644A2,Promoted to governed labs surface at labs/daemon/proxy/env_drift.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/envoy_proxy.go,558eca5df003b9c86ed63ceba050fc9013aee3217306708edeefe7e02f6bf74f,3730,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-ENVOY-PROXY-558ECA5D,Promoted to governed labs surface at labs/daemon/proxy/envoy_proxy.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/fallback_dns_pool.go,68a86e80d49e943c91b5e20cbe3ab8f889403abb7495d28709ee7fc505aca199,350,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-FALLBACK-DNS-POOL-68A86E80,Promoted to governed labs surface at labs/daemon/proxy/fallback_dns_pool.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/fec_codec.go,08557c257d441b7d3a0abdf0907998374274aa1edb9e4bd26c950ec7cd3c0653,2035,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-FEC-CODEC-08557C25,Promoted to governed labs surface at labs/daemon/proxy/fec_codec.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/fec_codec_test.go,e3c42732f5cd43a2804435d18bd2859b724a75598e4912a4fb02cf8660dc2c06,742,regular,go,test,lab-non-authoritative,HVC-LAB-W20-FEC-CODEC-08557C25,Promoted to governed labs surface at labs/daemon/proxy/fec_codec_test.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/firewalla.go,d0ca055e73b01e992576531fc6dd19fad8d6a8cf763f9fd8a67c761e4b863e47,594,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-FIREWALLA-D0CA055E,Promoted to governed labs surface at labs/daemon/proxy/firewalla.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/forcerun.go,7179b3b2fe9f1eecc5fce3e729340d61b4ea5041a2a61e1ca1d8a239d5ec1b23,6421,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-FORCERUN-7179B3B2,Promoted to governed labs surface at labs/daemon/proxy/forcerun.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/format_transform_proxy.go,7d74f6023a14bc95c735cbd9d5c249d7e1ca2b0779d959a8972a7071e9dcc8ef,586,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-FORMAT-TRANSFORM-PROXY-7D74F602,Promoted to governed labs surface at labs/daemon/proxy/format_transform_proxy.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/format_transformer.go,1f66b9ac21b3fe4d5c7c4f14a61a6a091a3267de743f845c7f1525c0230bfb28,8066,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-FORMAT-TRANSFORMER-1F66B9AC,Promoted to governed labs surface at labs/daemon/proxy/format_transformer.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/format_transformer_test.go,a0de5dbfc452f5fa10acb9335f6d530a8d12eebf137a64fb9bc32df3802ee0de,1197,regular,go,test,lab-non-authoritative,HVC-LAB-W20-FORMAT-TRANSFORMER-1F66B9AC,Promoted to governed labs surface at labs/daemon/proxy/format_transformer_test.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/fptn_codec.go,c4398f07333bc9a99276a3ced0366e11d4dc6a6fe9238aa33858f4c2b8914052,7085,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-FPTN-CODEC-C4398F07,Promoted to governed labs surface at labs/daemon/proxy/fptn_codec.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/fptn_codec_test.go,7d871332c614394a0c859cfc6fc9b36fb1db18dfd97842e5236847b8928994e0,2011,regular,go,test,lab-non-authoritative,HVC-LAB-W20-FPTN-CODEC-C4398F07,Promoted to governed labs surface at labs/daemon/proxy/fptn_codec_test.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/freenet.go,fb203404557c1b529a8b23e3f244c5857a92e0c0a3668854b9bb602dbeea9ffa,9709,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-FREENET-FB203404,Promoted to governed labs surface at labs/daemon/proxy/freenet.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/freenet_agent_runner.go,78cc5daff5c891ed0ff1f14d8fc437973e4235b7acca1a38e74d3027714855f0,651,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-FREENET-AGENT-RUNNER-78CC5DAF,Promoted to governed labs surface at labs/daemon/proxy/freenet_agent_runner.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/freenet_mail.go,e9880c47eb1d86f90b5ad6bf52cfa88959c3158dfc60fb239a52e0fde5f6e6d4,9344,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-FREENET-MAIL-E9880C47,Promoted to governed labs surface at labs/daemon/proxy/freenet_mail.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/frp.go,06cc5c9c82dc49e6951081358a364e426c62bf2bfd6b490dc63d3f0f7a1ecfb4,566,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-FRP-06CC5C9C,Promoted to governed labs surface at labs/daemon/proxy/frp.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/frp_tunnel.go,3bacc85b7278a0d52472415e0d9b73e65a60858c49b28e3a8a18e44e7fddb917,12358,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-FRP-TUNNEL-3BACC85B,Promoted to governed labs surface at labs/daemon/proxy/frp_tunnel.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/gas_relay_assets.go,fef3cec1d5943f17957307224dc4cdc8e684376e0845e9954783b232387a1afc,622,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-GAS-RELAY-ASSETS-FEF3CEC1,Promoted to governed labs surface at labs/daemon/proxy/gas_relay_assets.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/generic_proxy_tunnel.go,9a30362e72041f1a18eff96c926a49bcacc60e0934a666e52e90e2805d57b165,3909,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-GENERIC-PROXY-TUNNEL-9A30362E,Promoted to governed labs surface at labs/daemon/proxy/generic_proxy_tunnel.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/gfw_resist_https.go,75420071d5a23f8c6b40438764bbb9d37bb5251c154dd7c9484497b0410d623f,6470,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-GFW-RESIST-HTTPS-75420071,Promoted to governed labs surface at labs/daemon/proxy/gfw_resist_https.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/gfw_resist_tcp.go,6cb59c4000599cc6409107a7906651b66b51052761eb06349dd8157fb1de941a,2707,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-GFW-RESIST-TCP-6CB59C40,Promoted to governed labs surface at labs/daemon/proxy/gfw_resist_tcp.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/gfw_resist_tls.go,68d7b3fd24b1128d8a3e27996dbf9fa23478a93cbe7f977401155f48456a8844,570,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-GFW-RESIST-TLS-68D7B3FD,Promoted to governed labs surface at labs/daemon/proxy/gfw_resist_tls.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/gfw_whitelist.go,c8bde0de415d6055973ef106d4acd5323c10ac4cee33dfdb2e91ca6bfda5b637,588,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-GFW-WHITELIST-C8BDE0DE,Promoted to governed labs surface at labs/daemon/proxy/gfw_whitelist.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/gfwlist_parser.go,95541a686304ee897bdd7ffc883ea2d3b2c319da54ea75f5c23302516a08221d,5894,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-GFWLIST-PARSER-95541A68,Promoted to governed labs surface at labs/daemon/proxy/gfwlist_parser.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/go_cidr.go,bd0d876a60571feba0a42cedded28125b34a7e6502304b61d7b6cca0af5397d5,5443,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-GO-CIDR-BD0D876A,Promoted to governed labs surface at labs/daemon/proxy/go_cidr.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/go_cidr_test.go,c12ca21c7d12f2eaf318f5f32f4df217b00539766a104c881abf6a61a7fae168,1682,regular,go,test,lab-non-authoritative,HVC-LAB-W20-GO-CIDR-BD0D876A,Promoted to governed labs surface at labs/daemon/proxy/go_cidr_test.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/go_mitm_tls.go,e648eeeb289083b834f3e6192dd74a70402102e83dfe348902dc9dbaf59cf48b,535,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-GO-MITM-TLS-E648EEEB,Promoted to governed labs surface at labs/daemon/proxy/go_mitm_tls.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/go_mitmproxy.go,c42bcac7080a1548779304069b5619dadb5512b7a6c74802041efca342b163e8,689,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-GO-MITMPROXY-C42BCAC7,Promoted to governed labs surface at labs/daemon/proxy/go_mitmproxy.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/go_ss2.go,7d9d1a79473ea7dc0cfe0a91dd80b09ed72b500b7510a56d9c2b1b00d244ecff,538,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-GO-SS2-7D9D1A79,Promoted to governed labs surface at labs/daemon/proxy/go_ss2.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/go_tun2socks.go,a02956d83faf0e6eb32bd53e73a5801a3c68eaff52e3d847925fb9692f06271d,566,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-GO-TUN2SOCKS-A02956D8,Promoted to governed labs surface at labs/daemon/proxy/go_tun2socks.go; exact bytes retained.
