predecessor_wave,predecessor_record_id,donor,domain,value_unit,donor_path,donor_sha256,predecessor_disposition,predecessor_validation_status,post_refactor_228_status,post_refactor_228_record_ids,fresh_source_hash_verified,post_refactor_228_rationale
226,PR226-M050,shadowsocks-rust,snap,snap semantics,snap/snapcraft.yaml,510ee8c226b25e2460f695a7edd4226420d98c30e495eba766ea79939a95b48b,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M051,shadowsocks-rust,tests,tests semantics,tests/dns.rs,2e855a021f7f75b735d4af5e358f8e9391fa19d58ece2bb797fc82c0389413ca,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-R052,srsc,repository-accountability,SRSC complete repository accountability,.fpm_systemd,dd241cd482cc55b97ccb9572fb10e3b65f9c93769ecbfa24574b97cbcaec5d2f,reference-only,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M053,srsc,@root,@root semantics,.fpm_systemd,dd241cd482cc55b97ccb9572fb10e3b65f9c93769ecbfa24574b97cbcaec5d2f,superseded,reviewed,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M054,srsc,adapter,adapter semantics,adapter/cache.go,898b2b0ed382e40ade07c5ccc913e57404768edf45ac355e459429bf0919215b,adapted,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M055,srsc,cache,cache semantics,cache/cache.go,9747b9defb38192cb807e1d4fe7b9df2e7d7f7a162ff3d04231a37efe17b7d4b,superseded,reviewed,refined-with-new-record,PR228-CACHE001,true,Second-order review split/promoted a narrower independently meaningful unit; predecessor context remains preserved.
226,PR226-M056,srsc,cmd,cmd semantics,cmd/srsc/cmd.go,8078d5bd61cd881436ddf5d157583f261e6f7256793c1ca700b9d52790ee357a,superseded,reviewed,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M057,srsc,common,common semantics,common/semver/version.go,21fd9341fafa48b022979fb63b2ecb89d22cc2c572991d42cd0249422dd057cf,adapted,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M058,srsc,constant,constant semantics,constant/cache.go,581333391d3c94e03018d9522498244ee767d82eb8b8026b7a4ea55a54946697,superseded,reviewed,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M059,srsc,convertor-adguard,convertor adguard semantics,convertor/adguard/adguard.go,0e4562141ea966b5d346baee74b16dcb6c2d615ee8bc7f557bb4c85afdb5cd72,adapted,verified,refined-with-new-record,PR228-RULE001,true,Second-order review split/promoted a narrower independently meaningful unit; predecessor context remains preserved.
226,PR226-M060,srsc,convertor-binary.go,convertor binary.go semantics,convertor/binary.go,4e2d83dea180cadb3410f1ee6c07322380bae86367274417582bd284c1c43391,adapted,verified,refined-with-new-record,PR228-RULE001,true,Second-order review split/promoted a narrower independently meaningful unit; predecessor context remains preserved.
226,PR226-M061,srsc,convertor-clash,convertor clash semantics,convertor/clash/clash.go,5788beb8c95f3d9fe6e3605738324003a1cad1db0d8b4a3a4fd5eefc44486d10,adapted,verified,refined-with-new-record,PR228-RULE001,true,Second-order review split/promoted a narrower independently meaningful unit; predecessor context remains preserved.
226,PR226-M062,srsc,convertor-convertors.go,convertor convertors.go semantics,convertor/convertors.go,955cc13e8885b6e0b9caa560130446b8df826ba655eb561f0f59f8b4d4f3da1f,adapted,verified,refined-with-new-record,PR228-RULE001,true,Second-order review split/promoted a narrower independently meaningful unit; predecessor context remains preserved.
226,PR226-M063,srsc,convertor-internal,convertor internal semantics,convertor/internal/meta_cidr/ipcidr_set.go,388c7e911f406a2fcda8fcd936132aa412421e924b9fa45d6ecf3b8830e506f4,adapted,verified,refined-with-new-record,PR228-RULE001,true,Second-order review split/promoted a narrower independently meaningful unit; predecessor context remains preserved.
226,PR226-M064,srsc,convertor-source.go,convertor source.go semantics,convertor/source.go,8a3b5ce8bc3e34442ae69fea754af1fdb4d6a8d10baf946c08004fc4f7af3107,adapted,verified,refined-with-new-record,PR228-RULE001,true,Second-order review split/promoted a narrower independently meaningful unit; predecessor context remains preserved.
226,PR226-M065,srsc,convertor-surge.go,convertor surge.go semantics,convertor/surge.go,4c668a39b590d6c89785473cd2fc83d7590c549d153b2a4d3012512d2ac43c94,adapted,verified,refined-with-new-record,PR228-RULE001,true,Second-order review split/promoted a narrower independently meaningful unit; predecessor context remains preserved.
226,PR226-M066,srsc,docs,docs semantics,docs/installation/tools/install.sh,1479f69255c17df6f3a62eff07f6b7477c4d8a14c166f6c8bbf43e340ff53276,superseded,reviewed,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M067,srsc,endpoint,endpoint semantics,endpoint/file.go,00aaad325fcfd9c4383533232f79ecc4a1de410ac4feaf4e7cd9a9c63c114821,superseded,reviewed,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M068,srsc,option,option semantics,option/cache.go,26d9316232b79a945af2a548fe6fe9c66e19dd4e0ad925d1d72ea60279cd7e96,superseded,reviewed,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M069,srsc,release,release semantics,release/config/config.json,5115fcc2e8e6ad18a7076c13cdcb45051d654808ac6e7fb821d59342fd00efd3,superseded,reviewed,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M070,srsc,resource,resource semantics,resource/manager.go,a4b03e31022868d412b2b3b59ee4ac44d6f75ad504fb5359a767e78c8e5e049f,superseded,reviewed,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M071,srsc,source,source semantics,source/local.go,e7782196060ec2efd7b16146ead8e82e1db1bcc8f19891ee25b0c519afb6f278,adapted,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-R072,ssh,repository-accountability,x/crypto SSH complete repository accountability,.gitignore,97073bbbb95844ebad5210ce13888e3988e5d5b9b279606bc6ae8bed83db2d5c,reference-only,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M073,ssh,@root,@root semantics,benchmark_test.go,6a41b175ebd4909574293a7e00b22669b8077aca12be89c75c46fd9237fc2f89,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M074,ssh,agent,agent semantics,agent/client.go,41becc3fd7bac4940c09d75927020befb7a54534d26775256c40eeb4a39d1242,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M075,ssh,internal,internal semantics,internal/bcrypt_pbkdf/bcrypt_pbkdf.go,4694b500beb45c7f61c050b59bd7f7aef88f87790234fa49d78379b032d63d9a,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M076,ssh,knownhosts,knownhosts semantics,knownhosts/knownhosts.go,6ab66881953a48441821ee8e1d84a690bcf04e16fda4ca85301ffac67c4a255d,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M077,ssh,test,test semantics,test/agent_unix_test.go,f14982c775877c0029e04dd722bbee935050b5af7da0b05be51b929700199eb3,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M078,ssh,testdata,testdata semantics,testdata/doc.go,87058232d1b2b7ac23103650652b3f972518e43ae92ce4073a1a2e72997cf65a,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-R079,subconverter,repository-accountability,subconverter complete repository accountability,.github/ISSUE_TEMPLATE/bug_report.yml,e8c392810557501b853110ed995904daf295e4af38dc73d0581f467caee0f465,reference-only,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M080,subconverter,@root,@root semantics,.travis.yml,df190f6aa02b90970f283019af08a8d68541745606951cf7fe142ef80c99fcca,superseded,reviewed,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M081,subconverter,base-base,base base semantics,base/base/GeneralClashConfig.yml,9490133b2c718e9fcc8068622d862681e18c23b59bb0d6132885257e2b89e3d8,superseded,reviewed,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M082,subconverter,base-config,base config semantics,base/config/ACL4SSR.ini,9d8c002f1ca35db178026328f9d5260813641a7212125f59c09582fc32effcb1,superseded,reviewed,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M083,subconverter,base-generate.ini,base generate.ini semantics,base/generate.ini,c7a752517c66275c0cc15e1830576de260f2c4d986ee2a772c81aaab8b7d50c5,superseded,reviewed,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M084,subconverter,base-gistconf.ini,base gistconf.ini semantics,base/gistconf.ini,caf5436c00f1cc62e31fb9b28db8bd668a5f3f44b9906750021a770e150c7740,superseded,reviewed,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M085,subconverter,base-pref.example.ini,base pref.example.ini semantics,base/pref.example.ini,bb3d8885aa618c0db4e94e97472cbe42f861fdd9ced236add88d66688a0d41eb,superseded,reviewed,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
